id,sent,expected,tokens,logprobs,critical_token_idx,continuation_prob,type
1_dog_negation_negation_pref,John doesn't own a dog and Mark doesn't own a dog either. The dogs are very cute.,0,John| doesn|'t| own| a| dog| and| Mark| doesn|'t| own| a| dog| either|.| The| dogs| are| very| cute|.,"[-8.541175, -0.65515256, -6.331666, -1.3871005, -3.7860322, -3.1589444, -9.900236, -1.4375606, -0.016753338, -1.0527673, -0.18876077, -3.2659833, -2.5021098, -0.8775257, -3.5791411, -2.6343472, -1.1556382, -5.343822, -4.205927, -1.9041288]",14,6.687643279378537e-09,negation_negation_pref
1_dog_negation_negation_nonref,John doesn't own a dog and Mark doesn't own a dog either. It's not a big deal.,-1,John| doesn|'t| own| a| dog| and| Mark| doesn|'t| own| a| dog| either|.| It|'s| not| a| big| deal|.,"[-8.541175, -0.65515256, -6.331666, -1.3871005, -3.7860322, -3.1589444, -9.900236, -1.4375606, -0.016753338, -1.0527673, -0.18876077, -3.2659833, -2.5021098, -0.8775257, -3.6155324, -0.43697754, -2.5518491, -1.719996, -3.008117, -0.4687592, -1.1070491]",14,2.4774510221481007e-06,negation_negation_nonref
1_dog_know_doubt_sref,I know that John owns a dog but I doubt that Mark owns a dog. The dog is very cute.,1,I| know| that| John| owns| a| dog| but| I| doubt| that| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-3.9173858, -2.4399443, -7.674629, -9.132475, -1.0773295, -5.536667, -3.626525, -1.3341154, -4.7069335, -1.3265475, -8.352606, -1.6258013, -0.2610349, -0.88357484, -1.0437546, -3.743597, -2.2116077, -1.3096946, -4.933455, -3.1538923, -1.8899972]",15,3.2492914069928424e-08,know_doubt_sref
1_dog_know_doubt_pref,I know that John owns a dog but I doubt that Mark owns a dog. The dogs are very cute.,0,I| know| that| John| owns| a| dog| but| I| doubt| that| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-3.9173858, -2.4399443, -7.674629, -9.132475, -1.0773295, -5.536667, -3.626525, -1.3341154, -4.7069335, -1.3265475, -8.352606, -1.6258013, -0.2610349, -0.88357484, -1.0437546, -3.743597, -3.535834, -1.3501403, -4.2878065, -4.37173, -1.8232533]",15,5.0073395041278724e-09,know_doubt_pref
1_dog_know_doubt_nonref,I know that John owns a dog but I doubt that Mark owns a dog. It's not a big deal.,-1,I| know| that| John| owns| a| dog| but| I| doubt| that| Mark| owns| a| dog|.| It|'s| not| a| big| deal|.,"[-3.9173858, -2.4399443, -7.674629, -9.132475, -1.0773295, -5.536667, -3.626525, -1.3341154, -4.7069335, -1.3265475, -8.352606, -1.6258013, -0.2610349, -0.88357484, -1.0437546, -3.6088896, -1.5604287, -2.3137517, -2.2148004, -3.2314038, -0.5820671, -1.5640405]",15,2.836905515661771e-07,know_doubt_nonref
1_dog_know_know_sref,I know that John owns a dog and I know that Mark owns a different dog. The dog is very cute.,0,I| know| that| John| owns| a| dog| and| I| know| that| Mark| owns| a| different| dog|.| The| dog| is| very| cute|.,"[-3.9173858, -2.4399443, -7.674629, -9.132475, -1.0773295, -5.536667, -2.6598635, -2.0110047, -1.8305054, -0.3872892, -7.004587, -0.81360894, -0.08671169, -8.330432, -0.37972817, -1.0034685, -4.1127443, -2.1349385, -2.2462766, -4.1817374, -3.3984323, -1.4869]",16,2.362337615757027e-08,know_know_sref
1_dog_know_know_pref,I know that John owns a dog and I know that Mark owns a different dog. The dogs are very cute.,1,I| know| that| John| owns| a| dog| and| I| know| that| Mark| owns| a| different| dog|.| The| dogs| are| very| cute|.,"[-3.9173858, -2.4399443, -7.674629, -9.132475, -1.0773295, -5.536667, -2.6598635, -2.0110047, -1.8305054, -0.3872892, -7.004587, -0.81360894, -0.08671169, -8.330432, -0.37972817, -1.0034685, -4.1127443, -2.9690354, -1.0916281, -3.3480737, -4.6015916, -1.4589347]",16,2.313295066725246e-08,know_know_pref
1_dog_know_know_nonref,I know that John owns a dog and I know that Mark owns a different dog. It's not a big deal.,-1,I| know| that| John| owns| a| dog| and| I| know| that| Mark| owns| a| different| dog|.| It|'s| not| a| big| deal|.,"[-3.9173858, -2.4399443, -7.674629, -9.132475, -1.0773295, -5.536667, -2.6598635, -2.0110047, -1.8305054, -0.3872892, -7.004587, -0.81360894, -0.08671169, -8.330432, -0.37972817, -1.0034685, -3.9656017, -1.1396378, -1.7698592, -2.1269794, -2.1859517, -0.2206363, -0.9895457]",16,4.125960156710942e-06,know_know_nonref
1_dog_doubt_know_sref,I doubt that John owns a dog but I know that Mark owns a dog. The dog is very cute.,1,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-8.366251, -1.833771, -7.8916807, -9.942216, -0.9882798, -5.264287, -3.3722148, -1.928983, -3.1959398, -1.3924153, -6.830386, -1.429072, -0.36782432, -0.74100524, -0.9568707, -3.974138, -2.3040981, -1.0546539, -4.090055, -3.3974974, -1.4724689]",15,8.396117897409202e-08,doubt_know_sref
1_dog_doubt_know_pref,I doubt that John owns a dog but I know that Mark owns a dog. The dogs are very cute.,0,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-8.366251, -1.833771, -7.8916807, -9.942216, -0.9882798, -5.264287, -3.3722148, -1.928983, -3.1959398, -1.3924153, -6.830386, -1.429072, -0.36782432, -0.74100524, -0.9568707, -3.974138, -3.816391, -1.2873724, -3.426203, -4.252199, -1.4442272]",15,1.2462638355186467e-08,doubt_know_pref
1_dog_doubt_know_nonref,I doubt that John owns a dog but I know that Mark owns a dog. It's not a big deal.,-1,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| a| dog|.| It|'s| not| a| big| deal|.,"[-8.366251, -1.833771, -7.8916807, -9.942216, -0.9882798, -5.264287, -3.3722148, -1.928983, -3.1959398, -1.3924153, -6.830386, -1.429072, -0.36782432, -0.74100524, -0.9568707, -3.8461158, -1.4455643, -2.0388708, -1.7189113, -2.5561447, -0.37181437, -1.3340343]",15,1.6554203888515744e-06,doubt_know_nonref
1_dog_doubt_doubt_sref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. The dog is very cute.,0,I| doubt| that| John| owns| a| dog| and| I| doubt| that| Mark| owns| a| dog| as| well|.| The| dog| is| very| cute|.,"[-8.366251, -1.833771, -7.8916807, -9.942216, -0.9882798, -5.264287, -3.5570111, -2.5645022, -1.2371244, -0.35818797, -6.729178, -0.9770821, -0.14832696, -1.8672464, -4.59129, -0.28806177, -0.69060564, -3.6984906, -3.0205472, -1.5444119, -5.3710914, -3.8700051, -2.097286]",17,3.069251242640128e-09,doubt_doubt_sref
1_dog_doubt_doubt_pref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. The dogs are very cute.,0,I| doubt| that| John| owns| a| dog| and| I| doubt| that| Mark| owns| a| dog| as| well|.| The| dogs| are| very| cute|.,"[-8.366251, -1.833771, -7.8916807, -9.942216, -0.9882798, -5.264287, -3.5570111, -2.5645022, -1.2371244, -0.35818797, -6.729178, -0.9770821, -0.14832696, -1.8672464, -4.59129, -0.28806177, -0.69060564, -3.6984906, -3.4717171, -1.3178182, -5.0970817, -4.3879356, -2.0370715]",17,2.040410752691031e-09,doubt_doubt_pref
1_dog_doubt_doubt_nonref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. It's not a big deal.,-1,I| doubt| that| John| owns| a| dog| and| I| doubt| that| Mark| owns| a| dog| as| well|.| It|'s| not| a| big| deal|.,"[-8.366251, -1.833771, -7.8916807, -9.942216, -0.9882798, -5.264287, -3.5570111, -2.5645022, -1.2371244, -0.35818797, -6.729178, -0.9770821, -0.14832696, -1.8672464, -4.59129, -0.28806177, -0.69060564, -3.6988454, -1.6553092, -2.305933, -2.2071948, -3.1232595, -0.6710284, -1.4717715]",17,2.6771528247086853e-07,doubt_doubt_nonref
1_dog_managed_failed_sref,John managed to adopt a dog but Mark failed to adopt a dog. The dog is very cute.,1,John| managed| to| adopt| a| dog| but| Mark| failed| to| adopt| a| dog|.| The| dog| is| very| cute|.,"[-10.958787, -0.15635403, -9.278026, -1.3530074, -3.9121273, -4.856831, -10.4421625, -5.7389154, -0.5394733, -2.6582055, -0.6097563, -2.355598, -1.2371103, -3.4422297, -2.7107334, -3.088492, -4.0330048, -2.364998, -1.763562]",13,2.7667154097256245e-08,managed_failed_sref
1_dog_managed_failed_pref,John managed to adopt a dog but Mark failed to adopt a dog. The dogs are very cute.,0,John| managed| to| adopt| a| dog| but| Mark| failed| to| adopt| a| dog|.| The| dogs| are| very| cute|.,"[-10.958787, -0.15635403, -9.278026, -1.3530074, -3.9121273, -4.856831, -10.4421625, -5.7389154, -0.5394733, -2.6582055, -0.6097563, -2.355598, -1.2371103, -3.4422297, -3.8464737, -2.267195, -3.521428, -3.33299, -1.7049978]",13,1.3571223568421553e-08,managed_failed_pref
1_dog_managed_failed_nonref,John managed to adopt a dog but Mark failed to adopt a dog. It's not a big deal.,-1,John| managed| to| adopt| a| dog| but| Mark| failed| to| adopt| a| dog|.| It|'s| not| a| big| deal|.,"[-10.958787, -0.15635403, -9.278026, -1.3530074, -3.9121273, -4.856831, -10.4421625, -5.7389154, -0.5394733, -2.6582055, -0.6097563, -2.355598, -1.2371103, -3.6975856, -2.0257149, -2.0636964, -2.2220938, -2.2720158, -0.5467937, -1.8186134]",13,4.356121298375231e-07,managed_failed_nonref
1_dog_managed_managed_sref,John managed to adopt a dog and Mark managed to adopt a different dog. The dog is very cute.,0,John| managed| to| adopt| a| dog| and| Mark| managed| to| adopt| a| different| dog|.| The| dog| is| very| cute|.,"[-10.958787, -0.15635403, -9.278026, -1.3530074, -3.9121273, -2.709577, -12.01077, -3.7153072, -0.07381988, -0.6822267, -0.27662808, -8.003306, -0.7992571, -1.1504023, -3.1219459, -2.9252539, -3.5538893, -3.8937907, -2.6886754, -1.9476721]",14,1.335697255074464e-08,managed_managed_sref
1_dog_managed_managed_pref,John managed to adopt a dog and Mark managed to adopt a different dog. The dogs are very cute.,1,John| managed| to| adopt| a| dog| and| Mark| managed| to| adopt| a| different| dog|.| The| dogs| are| very| cute|.,"[-10.958787, -0.15635403, -9.278026, -1.3530074, -3.9121273, -2.709577, -12.01077, -3.7153072, -0.07381988, -0.6822267, -0.27662808, -8.003306, -0.7992571, -1.1504023, -3.1219459, -2.599821, -1.9163723, -3.3157241, -3.6243386, -1.9135164]",14,6.882365695639273e-08,managed_managed_pref
1_dog_managed_managed_nonref,John managed to adopt a dog and Mark managed to adopt a different dog. It's not a big deal.,-1,John| managed| to| adopt| a| dog| and| Mark| managed| to| adopt| a| different| dog|.| It|'s| not| a| big| deal|.,"[-10.958787, -0.15635403, -9.278026, -1.3530074, -3.9121273, -2.709577, -12.01077, -3.7153072, -0.07381988, -0.6822267, -0.27662808, -8.003306, -0.7992571, -1.1504023, -3.5240264, -2.8473537, -2.4851015, -2.1068692, -2.7758973, -0.6123036, -1.6698779]",14,1.10149246983915e-07,managed_managed_nonref
1_dog_failed_managed_sref,John failed to adopt a dog but Mark managed to adopt a dog. The dog is very cute.,1,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| a| dog|.| The| dog| is| very| cute|.,"[-10.64158, -0.30775416, -8.333904, -1.7830896, -3.4009676, -4.723863, -10.948818, -5.978339, -0.13258943, -2.0241933, -0.6112912, -1.4942915, -1.630911, -3.099712, -1.6574878, -2.2821083, -3.727527, -2.3666506, -1.7061124]",13,3.5912400150710175e-07,failed_managed_sref
1_dog_failed_managed_pref,John failed to adopt a dog but Mark managed to adopt a dog. The dogs are very cute.,0,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| a| dog|.| The| dogs| are| very| cute|.,"[-10.64158, -0.30775416, -8.333904, -1.7830896, -3.4009676, -4.723863, -10.948818, -5.978339, -0.13258943, -2.0241933, -0.6112912, -1.4942915, -1.630911, -3.099712, -3.7076588, -1.941408, -2.8031554, -3.515567, -1.6714486]",13,5.374851490471856e-08,failed_managed_pref
1_dog_failed_managed_nonref,John failed to adopt a dog but Mark managed to adopt a dog. It's not a big deal.,-1,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| a| dog|.| It|'s| not| a| big| deal|.,"[-10.64158, -0.30775416, -8.333904, -1.7830896, -3.4009676, -4.723863, -10.948818, -5.978339, -0.13258943, -2.0241933, -0.6112912, -1.4942915, -1.630911, -3.5455403, -2.5258238, -2.3546004, -1.9542953, -2.9610698, -0.77125645, -1.6240611]",13,1.4644042448541966e-07,failed_managed_nonref
1_dog_failed_failed_sref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dog is very cute.,0,John| failed| to| adopt| a| dog| and| Mark| failed| to| adopt| a| dog| as| well|.| The| dog| is| very| cute|.,"[-10.64158, -0.30775416, -8.333904, -1.7830896, -3.4009676, -2.6807818, -10.483631, -2.6944454, -0.040523887, -0.61832094, -0.22457457, -4.655954, -4.272489, -0.46642944, -0.63568354, -3.4128077, -3.3156073, -3.2471933, -4.3062687, -2.8093853, -1.7834518]",15,6.3506154974932796e-09,failed_failed_sref
1_dog_failed_failed_pref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dogs are very cute.,0,John| failed| to| adopt| a| dog| and| Mark| failed| to| adopt| a| dog| as| well|.| The| dogs| are| very| cute|.,"[-10.64158, -0.30775416, -8.333904, -1.7830896, -3.4009676, -2.6807818, -10.483631, -2.6944454, -0.040523887, -0.61832094, -0.22457457, -4.655954, -4.272489, -0.46642944, -0.63568354, -3.4128077, -3.5818474, -2.380261, -4.002106, -3.1354904, -1.7541597]",15,1.166500853263589e-08,failed_failed_pref
1_dog_failed_failed_nonref,John failed to adopt a dog and Mark failed to adopt a dog as well. It's not a big deal.,-1,John| failed| to| adopt| a| dog| and| Mark| failed| to| adopt| a| dog| as| well|.| It|'s| not| a| big| deal|.,"[-10.64158, -0.30775416, -8.333904, -1.7830896, -3.4009676, -2.6807818, -10.483631, -2.6944454, -0.040523887, -0.61832094, -0.22457457, -4.655954, -4.272489, -0.46642944, -0.63568354, -3.8106148, -1.8913392, -2.3324249, -2.2085574, -2.0330377, -0.30922395, -1.159029]",15,1.0738857452343266e-06,failed_failed_nonref
2_car_affirmative_negation_sref,Lucy has a car but Ethan doesn't have a car. The car has a self-driving mode.,1,Luc|y| has| a| car| but| Ethan| doesn|'t| have| a| car|.| The| car| has| a| self|-driving| mode|.,"[-3.6595187, -4.281044, -2.0999892, -7.275957, -4.039594, -10.715555, -2.1969552, -0.56337214, -2.8269439, -0.34237936, -0.6983217, -1.0479492, -4.04455, -2.8200853, -3.8618088, -1.3232813, -8.495489, -1.1246233, -2.4666684, -1.4265312]",12,7.908861312086548e-12,affirmative_negation_sref
2_car_affirmative_negation_pref,Lucy has a car but Ethan doesn't have a car. The cars have a self-driving mode.,0,Luc|y| has| a| car| but| Ethan| doesn|'t| have| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-3.6595187, -4.281044, -2.0999892, -7.275957, -4.039594, -10.715555, -2.1969552, -0.56337214, -2.8269439, -0.34237936, -0.6983217, -1.0479492, -4.04455, -5.352124, -3.6726465, -2.3950658, -9.5946045, -0.9815379, -2.7210362, -1.369019]",12,8.212089533952801e-14,affirmative_negation_pref
2_car_affirmative_negation_nonref,Lucy has a car but Ethan doesn't have a car. It's not a big deal.,-1,Luc|y| has| a| car| but| Ethan| doesn|'t| have| a| car|.| It|'s| not| a| big| deal|.,"[-3.6595187, -4.281044, -2.0999892, -7.275957, -4.039594, -10.715555, -2.1969552, -0.56337214, -2.8269439, -0.34237936, -0.6983217, -1.0479492, -4.1292124, -0.5140101, -2.335877, -1.7794213, -1.4558904, -0.2760857, -1.4664652]",12,6.414419211529897e-06,affirmative_negation_nonref
2_car_affirmative_affirmative_sref,Lucy has a car and Ethan has a different car. The car has a self-driving mode.,0,Luc|y| has| a| car| and| Ethan| has| a| different| car|.| The| car| has| a| self|-driving| mode|.,"[-3.6595187, -4.281044, -2.0999892, -7.275957, -1.956048, -10.317319, -1.0140783, -0.4685421, -8.402806, -1.2347925, -0.92058873, -3.42139, -1.8198528, -3.634184, -1.199349, -8.389168, -1.2545437, -2.2714777, -1.3988822]",11,6.955888888821219e-11,affirmative_affirmative_sref
2_car_affirmative_affirmative_pref,Lucy has a car and Ethan has a different car. The cars have a self-driving mode.,1,Luc|y| has| a| car| and| Ethan| has| a| different| car|.| The| cars| have| a| self|-driving| mode|.,"[-3.6595187, -4.281044, -2.0999892, -7.275957, -1.956048, -10.317319, -1.0140783, -0.4685421, -8.402806, -1.2347925, -0.92058873, -3.42139, -4.1132507, -2.6389904, -2.4204187, -9.897701, -1.1408932, -2.300166, -1.3261517]",11,1.4507191745593254e-12,affirmative_affirmative_pref
2_car_affirmative_affirmative_nonref,Lucy has a car and Ethan has a different car. It's not a big deal.,-1,Luc|y| has| a| car| and| Ethan| has| a| different| car|.| It|'s| not| a| big| deal|.,"[-3.6595187, -4.281044, -2.0999892, -7.275957, -1.956048, -10.317319, -1.0140783, -0.4685421, -8.402806, -1.2347925, -0.92058873, -3.6965337, -1.1741481, -2.4371681, -1.737493, -2.2298803, -0.339878, -1.1456608]",11,2.8712531094020696e-06,affirmative_affirmative_nonref
2_car_negation_affirmative_sref,Lucy doesn't have a car but Ethan has a car. The car has a self-driving mode.,1,Luc|y| doesn|'t| have| a| car| but| Ethan| has| a| car|.| The| car| has| a| self|-driving| mode|.,"[-3.6595187, -6.7334557, -0.58063674, -2.3082874, -1.3479072, -4.5879397, -3.549375, -12.006472, -2.2901578, -0.92317796, -1.3679144, -1.2662375, -4.0865784, -2.9123693, -3.1187634, -1.0987717, -8.040973, -0.9522631, -2.1904893, -1.172752]",12,5.786200293844636e-11,negation_affirmative_sref
2_car_negation_affirmative_pref,Lucy doesn't have a car but Ethan has a car. The cars have a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| but| Ethan| has| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-3.6595187, -6.7334557, -0.58063674, -2.3082874, -1.3479072, -4.5879397, -3.549375, -12.006472, -2.2901578, -0.92317796, -1.3679144, -1.2662375, -4.0865784, -5.177047, -3.2804601, -2.0004752, -9.527924, -0.8461715, -2.0715103, -1.2456414]",12,5.461908708190789e-13,negation_affirmative_pref
2_car_negation_affirmative_nonref,Lucy doesn't have a car but Ethan has a car. It's not a big deal.,-1,Luc|y| doesn|'t| have| a| car| but| Ethan| has| a| car|.| It|'s| not| a| big| deal|.,"[-3.6595187, -6.7334557, -0.58063674, -2.3082874, -1.3479072, -4.5879397, -3.549375, -12.006472, -2.2901578, -0.92317796, -1.3679144, -1.2662375, -3.8381329, -0.3639207, -2.5876298, -1.4905769, -2.9096637, -1.4309411, -1.4031713]",12,8.117800563822651e-07,negation_affirmative_nonref
2_car_negation_negation_sref,Lucy doesn't have a car and Ethan doesn't have a car either. The car has a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| and| Ethan| doesn|'t| have| a| car| either|.| The| car| has| a| self|-driving| mode|.,"[-3.6595187, -6.7334557, -0.58063674, -2.3082874, -1.3479072, -4.5879397, -2.775127, -9.876972, -2.2600393, -0.014660652, -1.2902765, -0.35787487, -2.740524, -2.1865597, -0.8289756, -3.966763, -4.1441445, -4.449294, -2.039029, -8.436012, -0.9916473, -2.1443822, -1.7912759]",15,7.178269296314798e-13,negation_negation_sref
2_car_negation_negation_pref,Lucy doesn't have a car and Ethan doesn't have a car either. The cars have a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| and| Ethan| doesn|'t| have| a| car| either|.| The| cars| have| a| self|-driving| mode|.,"[-3.6595187, -6.7334557, -0.58063674, -2.3082874, -1.3479072, -4.5879397, -2.775127, -9.876972, -2.2600393, -0.014660652, -1.2902765, -0.35787487, -2.740524, -2.1865597, -0.8289756, -3.966763, -6.161417, -3.7366502, -3.3517056, -9.145006, -1.0843322, -2.4340706, -1.6318507]",15,2.0634843828847266e-14,negation_negation_pref
2_car_negation_negation_nonref,Lucy doesn't have a car and Ethan doesn't have a car either. It's not a big deal.,-1,Luc|y| doesn|'t| have| a| car| and| Ethan| doesn|'t| have| a| car| either|.| It|'s| not| a| big| deal|.,"[-3.6595187, -6.7334557, -0.58063674, -2.3082874, -1.3479072, -4.5879397, -2.775127, -9.876972, -2.2600393, -0.014660652, -1.2902765, -0.35787487, -2.740524, -2.1865597, -0.8289756, -4.116134, -0.5111814, -2.6314378, -2.0218015, -1.728008, -0.3074061, -1.4865507]",15,2.753825560714369e-06,negation_negation_nonref
2_car_know_doubt_sref,I know that Lucy has a car but I doubt that Ethan has a car. The car has a self-driving mode.,1,I| know| that| Lucy| has| a| car| but| I| doubt| that| Ethan| has| a| car|.| The| car| has| a| self|-driving| mode|.,"[-3.9173858, -2.4399443, -10.579468, -2.6765795, -1.9178108, -6.6596317, -3.2623267, -1.2710806, -4.682002, -1.4609717, -10.029987, -2.3280854, -0.97236645, -0.42841527, -1.0792365, -4.1174994, -2.9231439, -4.2424774, -2.423538, -8.120989, -1.7856345, -2.1250849, -1.702083]",15,1.2099402956201067e-12,know_doubt_sref
2_car_know_doubt_pref,I know that Lucy has a car but I doubt that Ethan has a car. The cars have a self-driving mode.,0,I| know| that| Lucy| has| a| car| but| I| doubt| that| Ethan| has| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-3.9173858, -2.4399443, -10.579468, -2.6765795, -1.9178108, -6.6596317, -3.2623267, -1.2710806, -4.682002, -1.4609717, -10.029987, -2.3280854, -0.97236645, -0.42841527, -1.0792365, -4.1174994, -5.568955, -4.3623195, -3.2063298, -8.006151, -1.915945, -2.3139777, -1.722958]",15,2.7789020451896995e-14,know_doubt_pref
2_car_know_doubt_nonref,I know that Lucy has a car but I doubt that Ethan has a car. It's not a big deal.,-1,I| know| that| Lucy| has| a| car| but| I| doubt| that| Ethan| has| a| car|.| It|'s| not| a| big| deal|.,"[-3.9173858, -2.4399443, -10.579468, -2.6765795, -1.9178108, -6.6596317, -3.2623267, -1.2710806, -4.682002, -1.4609717, -10.029987, -2.3280854, -0.97236645, -0.42841527, -1.0792365, -3.8942175, -1.5484797, -2.0644603, -2.3983688, -2.5175014, -0.8628483, -1.8801312]",15,2.5911154300104474e-07,know_doubt_nonref
2_car_know_know_sref,I know that Lucy has a car and I know that Ethan has a different car. The car has a self-driving mode.,0,I| know| that| Lucy| has| a| car| and| I| know| that| Ethan| has| a| different| car|.| The| car| has| a| self|-driving| mode|.,"[-3.9173858, -2.4399443, -10.579468, -2.6765795, -1.9178108, -6.6596317, -1.9823442, -2.02936, -1.7554835, -0.38063982, -8.258579, -0.7846802, -0.23600431, -8.36343, -0.73970187, -1.3715762, -4.301159, -1.9868716, -4.3607063, -1.3408054, -9.222746, -1.559784, -2.4770546, -1.383865]",16,2.712929957353182e-12,know_know_sref
