id,type,sample,order,model,prompt,generation,tokens,log_probs
1_dog_know_doubt_ref,know_doubt,2,2,GPT-3,I know that John owns a cat but I doubt that he owns a dog. The,I know that John owns a cat but I doubt that he owns a dog. The cat is not a wild animal.,I| know| that| John| owns| a| cat| but| I| doubt| that| he| owns| a| dog|.| The| cat| is| not| a| wild| animal|.| It,-4.2620225|-2.3903484|-7.724775|-8.196027|-1.0020491|-6.7764654|-3.838142|-0.7511319|-5.6096973|-0.72944933|-0.69108063|-1.4804169|-0.4731692|-1.0109202|-0.7441541|-4.8604417|-2.000183|-0.9823091|-3.378069|-2.1603184|-5.789154|-0.17638998|-0.93927383|-1.9372339
1_dog_doubt_know_ref,doubt_know,1,1,GPT-3,I doubt that John owns a dog but I know that he owns a cat. The,I doubt that John owns a dog but I know that he owns a cat. The cat is the only animal (that) John owns.,"I| doubt| that| John| owns| a| dog| but| I| know| that| he| owns| a| cat|.| The| cat| is| the| only| animal| (|that|)| John| owns|.|
|
|The| cat| is",-8.07153|-1.9219655|-7.739353|-9.354292|-0.96239096|-5.0878143|-4.2903743|-1.5654365|-3.2048306|-0.99869204|-0.80742544|-2.9788725|-0.4289244|-1.0620637|-0.8376499|-5.102415|-1.3161505|-0.8746312|-4.334253|-2.0449378|-1.1269965|-6.3676095|-1.04028|-0.16073084|-0.61820495|-0.42599595|-0.1378256|-0.7526882|-0.0008298151|-2.0687318|-1.4295546|-0.18506812
1_dog_doubt_know_ref,doubt_know,2,1,GPT-3,I doubt that John owns a dog but I know that he owns a cat. The,I doubt that John owns a dog but I know that he owns a cat. The cat is black.,I| doubt| that| John| owns| a| dog| but| I| know| that| he| owns| a| cat|.| The| cat| is| black|.| John| likes| to| play,-8.07153|-1.9219655|-7.739353|-9.354292|-0.96239096|-5.0878143|-4.2903743|-1.5654365|-3.2048306|-0.99869204|-0.80742544|-2.9788725|-0.4289244|-1.0620637|-0.8376499|-5.102415|-1.3161507|-0.8746312|-2.1123478|-0.7826318|-2.2701156|-3.3529167|-1.8910011|-1.3561251
1_dog_doubt_know_ref,doubt_know,1,2,GPT-3,I doubt that John owns a cat but I know that he owns a dog. The,I doubt that John owns a cat but I know that he owns a dog. The dog is a golden retriever.,"I| doubt| that| John| owns| a| cat| but| I| know| that| he| owns| a| dog|.| The| dog| is| a| golden| retri|ever|.|
",-8.071746|-1.9195465|-7.756426|-9.356451|-0.9633229|-5.5348163|-4.4868736|-1.556571|-3.1803908|-0.97988224|-0.81587726|-2.7651713|-0.41999778|-1.0143695|-0.8638168|-4.9711227|-1.2213917|-0.9179639|-2.1005208|-3.312694|-0.10264813|-0.0050219186|-0.53194|-1.7907047
1_dog_doubt_know_ref,doubt_know,2,2,GPT-3,I doubt that John owns a cat but I know that he owns a dog. The,I doubt that John owns a cat but I know that he owns a dog. The cat is not mine.,"I| doubt| that| John| owns| a| cat| but| I| know| that| he| owns| a| dog|.| The| cat| is| not| mine|.|
|
|John",-8.071746|-1.9195465|-7.756426|-9.356451|-0.9633229|-5.5348163|-4.4868736|-1.556571|-3.1803908|-0.97988224|-0.81587726|-2.7651713|-0.41999778|-1.0143695|-0.8638168|-4.9711227|-2.313612|-1.0880563|-2.9530237|-2.296338|-0.70485264|-1.5150919|-0.0009883279|-3.1523685
1_dog_affirmative_modal_ref,affirmative_modal,1,1,GPT-3,John owns a dog but he wants to own a cat. The,John owns a dog but he wants to own a cat. The cat feels like a dog.,"John| owns| a| dog| but| he| wants| to| own| a| cat|.| The| cat| feels| like| a| dog|.|
|
",-12.050832|-1.2368007|-5.741445|-4.9296227|-1.5241529|-5.0541778|-0.6396902|-2.1910462|-0.3478148|-0.4681505|-0.7766298|-4.014858|-1.4155344|-7.498492|-2.9817512|-2.7799344|-0.4437901|-0.8122973|-1.7770163|-0.0012432437
1_dog_affirmative_modal_ref,affirmative_modal,2,1,GPT-3,John owns a dog but he wants to own a cat. The,John owns a dog but he wants to own a cat. The cat he wants to own is not a wild cat.,John| owns| a| dog| but| he| wants| to| own| a| cat|.| The| cat| he| wants| to| own| is| not| a| wild| cat|.| It| is| a| tame| cat,-12.050832|-1.2368007|-5.741445|-4.9296227|-1.5241529|-5.0541778|-0.6396902|-2.1910462|-0.3478148|-0.4681505|-0.7766298|-4.014858|-1.4155307|-3.3402834|-0.4884888|-0.2790522|-0.17544581|-0.24878745|-3.1695602|-1.6124828|-3.9718146|-0.26731238|-1.2054441|-1.263723|-0.2734474|-0.48634443|-1.6256977|-0.15003882
1_dog_affirmative_modal_ref,affirmative_modal,1,2,GPT-3,John owns a cat but he wants to own a dog. The,John owns a cat but he wants to own a dog. The cat is white and has a long tail.,"John| owns| a| cat| but| he| wants| to| own| a| dog|.| The| cat| is| white| and| has| a| long| tail|.| (|No|,| it|'s| not| a",-12.05098|-1.2384863|-7.2031407|-4.7811503|-1.6242256|-4.6104107|-0.79044163|-1.314145|-0.2104722|-0.24808921|-0.6767462|-4.1717343|-0.8897285|-0.9818414|-2.831702|-1.0389982|-2.5995138|-1.536164|-1.447826|-0.110156275|-0.22934946|-6.241687|-5.824366|-2.769997|-1.8924681|-1.4809982|-0.12634662|-0.61313516
1_dog_affirmative_modal_ref,affirmative_modal,2,2,GPT-3,John owns a cat but he wants to own a dog. The,John owns a cat but he wants to own a dog. The cat is old.,John| owns| a| cat| but| he| wants| to| own| a| dog|.| The| cat| is| old|.| John| is| not| old,-12.05098|-1.2384863|-7.2031407|-4.7811503|-1.6242256|-4.6104107|-0.79044163|-1.314145|-0.2104722|-0.24808921|-0.6767462|-4.1717343|-0.8897285|-0.9818414|-3.356101|-1.6089813|-1.8908614|-2.1750312|-2.3109827|-1.1989964
1_dog_modal_affirmative_ref,modal_affirmative,1,1,GPT-3,John wants to own a dog but he owns a cat. The,John wants to own a dog but he owns a cat. The cat feels like a dog.,John| wants| to| own| a| dog| but| he| owns| a| cat|.| The| cat| feels| like| a| dog|.| John| is,-10.13092|-0.41619095|-7.4626465|-0.9898837|-4.4242415|-2.4264991|-2.0394158|-7.6036634|-0.3680438|-0.40368864|-0.7940797|-3.6881483|-0.72723|-7.209716|-3.4442925|-1.619913|-0.43819326|-0.93148273|-1.9169863|-2.4282346
1_dog_modal_affirmative_ref,modal_affirmative,2,1,GPT-3,John wants to own a dog but he owns a cat. The,"John wants to own a dog but he owns a cat. The cat is named ""Loud"".","John| wants| to| own| a| dog| but| he| owns| a| cat|.| The| cat| is| named| ""|L|oud|"".| John",-10.13092|-0.41619095|-7.4626465|-0.9898837|-4.4242415|-2.4264991|-2.0394158|-7.6036634|-0.3680438|-0.40368864|-0.7940797|-3.6881483|-0.7272301|-1.008615|-2.7166855|-3.9409783|-4.0511255|-5.5577006|-2.053782|-1.5297986
1_dog_modal_affirmative_ref,modal_affirmative,1,2,GPT-3,John wants to own a cat but he owns a dog. The,John wants to own a cat but he owns a dog. The dog feels like a cat.,John| wants| to| own| a| cat| but| he| owns| a| dog|.| The| dog| feels| like| a| cat|.| John| is,-10.131155|-0.4167318|-7.461055|-0.9902062|-6.0825267|-2.3259292|-2.044954|-6.6388006|-0.23289064|-0.44832903|-0.7647855|-3.700632|-0.82711047|-7.446194|-3.481716|-1.4402066|-0.43620598|-0.7337636|-1.6670988|-2.4446523
1_dog_modal_affirmative_ref,modal_affirmative,2,2,GPT-3,John wants to own a cat but he owns a dog. The,John wants to own a cat but he owns a dog. The cat he wants is a Siamese.,"John| wants| to| own| a| cat| but| he| owns| a| dog|.| The| cat| he| wants| is| a| Si|ames|e|.| However|,| his| family| doesn|'t| allow",-10.131155|-0.4167318|-7.461055|-0.9902062|-6.0825267|-2.3259292|-2.044954|-6.6388006|-0.23289064|-0.44832903|-0.7647855|-3.700632|-1.499157|-3.32783|-0.56325567|-1.588885|-1.5283401|-2.3516283|-0.00039866925|-0.0010018698|-0.9687098|-5.430653|-0.15072495|-2.2648787|-3.0033321|-2.763031|-0.5393922|-1.7044705
1_dog_managed_failed_ref,managed_failed,1,1,GPT-3,John managed to adopt a dog but failed to adopt a cat. The,"John managed to adopt a dog but failed to adopt a cat. The first time John tried to adopt a cat (he failed), he adopted a dog (he succeeded).","John| managed| to| adopt| a| dog| but| failed| to| adopt| a| cat|.| The| first| time| John| tried| to| adopt| a| cat| (|he| failed|),| he| adopted| a| dog| (|he| succeeded|).| The| second| time| John",-10.89269|-0.40499207|-10.022665|-0.534893|-8.738105|-4.5113487|-5.7768617|-0.31084004|-4.302066|-0.55474174|-0.84922016|-0.9132187|-3.2094288|-4.6091795|-2.2354298|-1.6705383|-1.6738425|-0.09705981|-0.055246625|-0.1579189|-0.22176827|-5.264038|-3.1965988|-2.995813|-0.86247414|-0.814593|-2.0729213|-0.36224565|-0.27401754|-2.3934283|-0.6186188|-0.35202065|-0.23304224|-1.4490588|-0.34106743|-0.021989893|-0.34445
1_dog_managed_failed_ref,managed_failed,2,1,GPT-3,John managed to adopt a dog but failed to adopt a cat. The,John managed to adopt a dog but failed to adopt a cat. The dog is not John’s favorite pet.,"John| managed| to| adopt| a| dog| but| failed| to| adopt| a| cat|.| The| dog| is| not| John|bytes:\xe2\x80|bytes:\x99|s| favorite| pet|.|
|
|The| cat| that| is",-10.89269|-0.40499207|-10.022665|-0.534893|-8.738105|-4.5113487|-5.7768617|-0.31084004|-4.302066|-0.55474174|-0.84922016|-0.9132187|-3.2094288|-2.094375|-1.8683742|-3.0322998|-4.360447|-1.0352458|-0.002570969|-0.0014479051|-2.197148|-1.2125521|-0.60622406|-1.5390644|-0.0003803027|-2.6056597|-0.9656344|-3.2124872|-2.6425087
1_dog_managed_failed_ref,managed_failed,1,2,GPT-3,John managed to adopt a cat but failed to adopt a dog. The,John managed to adopt a cat but failed to adopt a dog. The cat died a few days after he adopted it.,"John| managed| to| adopt| a| cat| but| failed| to| adopt| a| dog|.| The| cat| died| a| few| days| after| he| adopted| it|.|
|
|John| is| a| needy",-10.892505|-0.40397462|-10.020674|-0.5373544|-8.511934|-4.3339252|-5.933401|-0.34403783|-4.0163293|-0.4335974|-0.6008297|-0.84773785|-3.3155491|-1.6673149|-3.4649143|-2.8749585|-0.92091256|-1.2636808|-1.0948254|-1.5926088|-0.5960987|-0.24790627|-0.36276776|-1.5425452|-0.0034438255|-1.3173804|-2.8765848|-1.5884877|-11.087736
1_dog_managed_failed_ref,managed_failed,2,2,GPT-3,John managed to adopt a cat but failed to adopt a dog. The,"John managed to adopt a cat but failed to adopt a dog. The dog is too cute to not have one, so you need to help John to find a way to have one

Charming Cat Escape is a point and click type escape game developed by Games 2 Rule.","John| managed| to| adopt| a| cat| but| failed| to| adopt| a| dog|.| The| dog| is| too| cute| to| not| have| one|,| so| you| need| to| help| John| to| find| a| way| to| have| one|
|
|Ch|arming| Cat| Escape| is| a| point| and| click| type| escape| game| developed| by| Games| 2| Rule|.| In| this| escape| game|,| you",-10.892505|-0.40397462|-10.020674|-0.5373544|-8.511934|-4.3339252|-5.933401|-0.34403783|-4.0163293|-0.4335974|-0.6008297|-0.84773785|-3.3155491|-2.547404|-2.4301462|-4.1817613|-2.5466826|-1.7530851|-2.7009773|-2.3892448|-1.867443|-2.3485878|-1.3208747|-3.727787|-2.4735818|-0.056676913|-1.1025624|-0.7729784|-1.4595181|-1.870884|-1.0449222|-1.8673162|-0.13228507|-2.4565516|-1.6984001|-6.1429267|-0.0019450181|-6.0462008|-2.3146646|-3.0823948|-2.097408|-1.2816571|-0.6756688|-1.1638576|-0.04977756|-0.0076499777|-1.3046693|-1.572709|-0.19034949|-0.69380623|-0.006181275|-1.7692719|-0.87402797|-0.63138026|-0.3780999|-1.8951068|-0.15277757|-1.0106171|-0.033863425|-0.22313435|-0.5030111
1_dog_failed_managed_ref,failed_managed,1,1,GPT-3,John failed to adopt a dog but managed to adopt a cat. The,"John failed to adopt a dog but managed to adopt a cat. The cat, named after his wife, was the only cat in the shelter, so John was very lucky.","John| failed| to| adopt| a| dog| but| managed| to| adopt| a| cat|.| The| cat|,| named| after| his| wife|,| was| the| only| cat| in| the| shelter|,| so| John| was| very| lucky|.|

|
|
",-11.397097|-0.61306083|-8.957351|-1.5584714|-5.883603|-4.5784526|-4.877177|-0.031011138|-2.6125252|-0.4969647|-1.6080135|-1.2734144|-2.7735257|-0.49504226|-2.8828206|-1.8495351|-4.4884415|-1.9637209|-2.663744|-0.633871|-1.9270548|-3.4505143|-1.6252221|-2.5993059|-1.413587|-0.26158354|-1.4716768|-2.756453|-1.99348|-1.1636325|-1.9110827|-3.2401342|-1.353674|-0.69147414|-3.1884496|-0.22220787|-0.31849658
1_dog_failed_managed_ref,failed_managed,2,1,GPT-3,John failed to adopt a dog but managed to adopt a cat. The,"John failed to adopt a dog but managed to adopt a cat. The cat, that John adopted, was called Otto.","John| failed| to| adopt| a| dog| but| managed| to| adopt| a| cat|.| The| cat|,| that| John| adopted|,| was| called| Otto|.|
|
|The| cat| that| John",-11.397097|-0.61306083|-8.957351|-1.5584714|-5.883603|-4.5784526|-4.877177|-0.031011138|-2.6125252|-0.4969647|-1.6080135|-1.2734144|-2.7735257|-0.49504226|-2.883837|-5.497698|-2.3108897|-2.047233|-0.49213493|-0.8637874|-2.9389763|-8.473189|-0.23306894|-1.5597917|-0.002497052|-2.9344559|-1.0737271|-2.4517603|-0.09373672
1_dog_failed_managed_ref,failed_managed,1,2,GPT-3,John failed to adopt a cat but managed to adopt a dog. The,"John failed to adopt a cat but managed to adopt a dog. The dog, a Labrador-Siberian Husky mix, was named Sam, and John couldn’t have been happier.","John| failed| to| adopt| a| cat| but| managed| to| adopt| a| dog|.| The| dog|,| a| Labrador|-|S|iber|ian| Hus|ky| mix|,| was| named| Sam|,| and| John| couldn|bytes:\xe2\x80|bytes:\x99|t| have| been| happier|.| Sam| was| a| sweet| dog|,",-11.397872|-0.61195976|-8.954975|-1.5605785|-7.476802|-4.5949507|-4.8700957|-0.04740389|-2.392983|-0.4601271|-1.7332618|-1.2993504|-2.699448|-0.45665482|-2.8263466|-2.1652453|-3.5557315|-2.3616326|-4.2860813|-0.40342307|-0.0010534205|-0.27744016|-0.015434293|-0.4365102|-0.42941874|-1.0670775|-1.4664322|-4.959137|-1.7951866|-1.0309815|-1.4913536|-4.821557|-0.8424282|-0.0011970546|-6.265847e-05|-1.1923248|-0.12993161|-0.2918061|-0.41430622|-2.242954|-0.6662783|-1.0974487|-3.3636248|-1.0772942|-0.92902225
1_dog_failed_managed_ref,failed_managed,2,2,GPT-3,John failed to adopt a cat but managed to adopt a dog. The,"John failed to adopt a cat but managed to adopt a dog. The dog, that John adopted, was called Otto.","John| failed| to| adopt| a| cat| but| managed| to| adopt| a| dog|.| The| dog|,| that| John| adopted|,| was| called| Otto|.|
|
|The| dog| that| John",-11.397872|-0.61195976|-8.954975|-1.5605785|-7.476802|-4.5949507|-4.8700957|-0.04740389|-2.392983|-0.4601271|-1.7332618|-1.2993504|-2.699448|-0.45665482|-2.825787|-5.8691688|-2.334538|-2.082193|-0.4635658|-0.7950232|-3.5606601|-7.9534583|-0.22983305|-1.5977085|-0.0028897147|-2.924524|-1.0848206|-2.277996|-0.1217076
2_car_affirmative_negation_ref,affirmative_negation,1,1,GPT-3,Lucy has a car but she doesn't have a bike. The,Lucy has a car but she doesn't have a bike. The bike is too small.,"Lu|cy| has| a| car| but| she| doesn|'t| have| a| bike|.| The| bike| is| too| small|.|
|
|I",-1.6448754|-5.2160096|-1.9237833|-7.1992636|-4.0938873|-1.2842664|-1.625308|-0.41165984|-1.4755805|-0.28558508|-6.9406486|-1.0455837|-4.6721654|-2.7557054|-1.2279439|-3.3820314|-1.6313004|-1.4575332|-1.6999303|-0.0013683996|-2.6580691
2_car_affirmative_negation_ref,affirmative_negation,2,1,GPT-3,Lucy has a car but she doesn't have a bike. The,Lucy has a car but she doesn't have a bike. The car has a lot of space and can carry a lot of things.,Lu|cy| has| a| car| but| she| doesn|'t| have| a| bike|.| The| car| has| a| lot| of| space| and| can| carry| a| lot| of| things|.| The| car,-1.6448754|-5.2160096|-1.9237833|-7.1992636|-4.0938873|-1.2842664|-1.625308|-0.41165984|-1.4755805|-0.28558508|-6.9406486|-1.0455837|-4.6721654|-2.3928437|-2.88226|-0.8478389|-4.047215|-0.08469262|-2.673239|-2.5618088|-2.5915463|-1.304519|-0.8393079|-0.11399589|-0.16113718|-0.7777212|-0.4975181|-1.7136775|-0.9705827
2_car_affirmative_negation_ref,affirmative_negation,1,2,GPT-3,Lucy has a bike but she doesn't have a car. The,Lucy has a bike but she doesn't have a car. The bike is too small for me to ride.,"Lu|cy| has| a| bike| but| she| doesn|'t| have| a| car|.| The| bike| is| too| small| for| me| to| ride|.| I| have| to| walk| a| long|,",-1.6451175|-5.222613|-1.9242642|-9.127618|-4.4394345|-1.4070309|-1.4981905|-0.5045757|-2.1305916|-0.32096252|-4.283674|-1.1072185|-4.6637588|-2.5239727|-0.79349005|-4.201899|-0.5977515|-0.5485967|-2.3514872|-1.3886414|-0.41709158|-0.81177765|-1.6783924|-2.3844287|-0.99504995|-1.1411229|-4.267317|-0.94388396|-3.9227483
2_car_affirmative_negation_ref,affirmative_negation,2,2,GPT-3,Lucy has a bike but she doesn't have a car. The,Lucy has a bike but she doesn't have a car. The car belongs to her brother.,Lu|cy| has| a| bike| but| she| doesn|'t| have| a| car|.| The| car| belongs| to| her| brother|.| Lucy|'s,-1.6451175|-5.222613|-1.9242642|-9.127618|-4.4394345|-1.4070309|-1.4981905|-0.5045757|-2.1305916|-0.32096252|-4.283674|-1.1072185|-4.6637588|-2.2852983|-2.326199|-0.007947436|-0.65664303|-2.6323347|-0.64779216|-2.162775|-2.0741115
2_car_negation_affirmative_ref,negation_affirmative,1,1,GPT-3,Lucy doesn't have a car but she has a bike. The,Lucy doesn't have a car but she has a bike. The bike is a bit rusty but it's still rideable.,Lu|cy| doesn|'t| have| a| car| but| she| has| a| bike|.| The| bike| is| a| bit| rusty| but| it|'s| still| ride|able|.| Lucy|'s| bike| is,-1.6430336|-7.2905636|-0.39797613|-2.692889|-1.3786583|-4.0428395|-4.0145082|-1.1302832|-2.1432767|-0.68945694|-1.7030982|-1.0932564|-4.0479517|-1.7149469|-0.8022202|-1.6876881|-3.2282288|-2.02204|-1.046956|-0.53749573|-1.391588|-1.6382264|-3.5041733|-0.08965625|-0.25128955|-1.7892405|-2.7082386|-1.4951617|-0.9647885
2_car_negation_affirmative_ref,negation_affirmative,2,1,GPT-3,Lucy doesn't have a car but she has a bike. The,"Lucy doesn't have a car but she has a bike. The tires are flat, but she doesn't care.","Lu|cy| doesn|'t| have| a| car| but| she| has| a| bike|.| The| tires| are| flat|,| but| she| doesn|'t| care|.| She|'s| had| enough| of| cars",-1.6430336|-7.2905636|-0.39797613|-2.692889|-1.3786583|-4.0428395|-4.0145082|-1.1302832|-2.1432767|-0.68945694|-1.7030982|-1.0932564|-4.0479517|-5.4147115|-0.4487011|-0.88320863|-1.8289982|-1.1595126|-0.82730514|-2.1727982|-0.0018437349|-1.2663504|-0.30391797|-0.7124108|-2.0124357|-5.102354|-2.351894|-0.2925404|-1.8307294
2_car_negation_affirmative_ref,negation_affirmative,1,2,GPT-3,Lucy doesn't have a bike but she has a car. The,Lucy doesn't have a bike but she has a car. The Volvo is a luxury vehicle.,Lu|cy| doesn|'t| have| a| bike| but| she| has| a| car|.| The| Volvo| is| a| luxury| vehicle|.| She| can,-1.643035|-7.2905617|-0.39797613|-2.6928809|-1.3786598|-6.995983|-3.9712338|-1.0200953|-2.0609765|-0.66758925|-3.4460998|-1.1597819|-3.9383898|-7.735393|-1.197333|-1.9774684|-5.334213|-2.5688655|-1.812578|-2.4450424|-3.1267316
