id,sentence,type,expected,order,tokens,log_probs
1_dog_negation_affirmative_nonref,John doesn't own a dog but he owns a cat. The dog that he liked had been adopted by someone else.,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-9.736197|-9.505437|-12.800133|-9.397233|-9.519599|-10.752347|-12.074513|-8.91519|-8.2557745|-9.45949|-7.9566965|-5.5837374|-8.736567|-12.926035|-11.274387|-10.808781|-10.325385|-10.872883|-11.656929
1_dog_negation_affirmative_nonref,John doesn't own a dog but he owns a cat. The cat that he liked had been adopted by someone else.,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-9.736197|-9.505437|-12.800133|-9.397233|-9.519599|-10.752347|-12.074513|-8.078675|-8.326398|-9.5438795|-7.925753|-5.4349995|-8.516246|-12.843112|-11.036878|-10.415054|-10.306396|-10.762154|-11.686184
1_dog_negation_affirmative_ref,John doesn't own a cat but he owns a dog. His dog follows him everywhere he goes.,negation_affirmative,1,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-9.677197|-9.796637|-9.463891|-12.886697|-9.264831|-8.659855|-10.838055|-13.586902|-8.350092|-12.525908|-12.469174|-7.270488|-14.656378|-13.782444|-10.621658|-11.606949
1_dog_negation_affirmative_ref,John doesn't own a cat but he owns a dog. His cat follows him everywhere he goes.,negation_affirmative,0,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-9.677197|-9.796637|-9.463891|-12.886697|-9.264831|-8.659855|-10.838055|-13.586902|-7.9210634|-13.259009|-12.155047|-7.330291|-14.869072|-13.705083|-10.71824|-11.609579
1_dog_negation_affirmative_nonref,John doesn't own a cat but he owns a dog. The cat that he liked had been adopted by someone else.,negation_affirmative,1,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-9.677197|-9.796637|-9.463891|-12.886697|-9.264831|-8.659855|-10.838055|-11.738617|-8.318055|-8.396234|-9.40215|-7.741416|-5.5248003|-8.633664|-12.911976|-11.201387|-10.6793785|-10.277197|-10.866177|-11.668433
1_dog_negation_affirmative_nonref,John doesn't own a cat but he owns a dog. The dog that he liked had been adopted by someone else.,negation_affirmative,0,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-9.677197|-9.796637|-9.463891|-12.886697|-9.264831|-8.659855|-10.838055|-11.738617|-8.9924135|-8.129326|-9.501965|-8.123621|-5.479706|-8.478585|-12.699059|-11.05061|-10.4416275|-10.294258|-10.805513|-11.66252
1_dog_know_doubt_ref,I know that John owns a dog but I doubt that he owns a cat. His dog follows him everywhere he goes.,know_doubt,1,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-8.936043|-10.04911|-14.128611|-4.832615|-9.455109|-12.685445|-9.179419|-9.395579|-9.748531|-13.557041|-7.3403726|-13.038729|-11.658091|-7.459942|-14.437281|-12.38105|-9.925384|-11.470398
1_dog_know_doubt_ref,I know that John owns a dog but I doubt that he owns a cat. His cat follows him everywhere he goes.,know_doubt,0,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-8.936043|-10.04911|-14.128611|-4.832615|-9.455109|-12.685445|-9.179419|-9.395579|-9.748531|-13.557041|-8.213221|-13.528979|-11.693344|-7.310275|-14.451396|-12.350203|-9.84403|-11.4639
1_dog_know_doubt_nonref,I know that John owns a dog but I doubt that he owns a cat. The cat that he liked had been adopted by someone else.,know_doubt,1,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-8.936043|-10.04911|-14.128611|-4.832615|-9.455109|-12.685445|-9.179419|-9.395579|-9.748531|-10.492183|-8.388186|-7.874186|-9.769894|-7.4807506|-5.9668603|-8.371592|-12.810036|-10.81021|-10.78894|-9.7494545|-9.777224|-11.4878645
1_dog_know_doubt_nonref,I know that John owns a dog but I doubt that he owns a cat. The dog that he liked had been adopted by someone else.,know_doubt,0,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-8.936043|-10.04911|-14.128611|-4.832615|-9.455109|-12.685445|-9.179419|-9.395579|-9.748531|-10.492183|-7.4920535|-7.864787|-9.798735|-7.6658497|-5.960173|-8.355307|-12.81619|-10.928108|-10.957489|-9.815693|-9.906195|-11.50592
1_dog_know_doubt_ref,I know that John owns a cat but I doubt that he owns a dog. His cat follows him everywhere he goes.,know_doubt,1,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-8.529767|-8.896353|-10.094039|-14.52227|-5.1517954|-9.411364|-12.524065|-9.288826|-9.482294|-9.731121|-13.597818|-7.8152604|-13.642084|-11.780367|-7.4660406|-14.545561|-12.264654|-9.843471|-11.485075
1_dog_know_doubt_ref,I know that John owns a cat but I doubt that he owns a dog. His dog follows him everywhere he goes.,know_doubt,0,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-8.529767|-8.896353|-10.094039|-14.52227|-5.1517954|-9.411364|-12.524065|-9.288826|-9.482294|-9.731121|-13.597818|-7.098232|-13.211964|-11.729422|-7.2042146|-14.362545|-12.308803|-9.832532|-11.434362
1_dog_know_doubt_nonref,I know that John owns a cat but I doubt that he owns a dog. The dog that he liked had been adopted by someone else.,know_doubt,1,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-8.529767|-8.896353|-10.094039|-14.52227|-5.1517954|-9.411364|-12.524065|-9.288826|-9.482294|-9.731121|-10.560926|-7.4618278|-7.743421|-9.788585|-7.868656|-6.0845714|-8.336929|-12.751768|-10.783449|-10.871953|-9.772228|-9.817161|-11.471158
1_dog_know_doubt_nonref,I know that John owns a cat but I doubt that he owns a dog. The cat that he liked had been adopted by someone else.,know_doubt,0,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-8.529767|-8.896353|-10.094039|-14.52227|-5.1517954|-9.411364|-12.524065|-9.288826|-9.482294|-9.731121|-10.560926|-8.051257|-8.112103|-9.681585|-7.4275074|-5.893729|-8.34674|-12.809083|-10.996704|-10.949107|-9.870085|-9.835353|-11.515358
1_dog_doubt_know_ref,I doubt that John owns a dog but I know that he owns a cat. His cat follows him everywhere he goes.,doubt_know,1,1,I|##doubt|##that|##John|##owns|##a|##dog|##but|##I|##know|##that|##he|##owns|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-8.3403225|-9.096941|-9.757798|-11.952702|-6.223292|-9.140129|-11.873108|-9.519206|-9.153637|-10.209289|-14.025124|-6.9548087|-13.524172|-12.28435|-7.2296805|-14.504094|-12.7189045|-10.428483|-11.640922
1_dog_doubt_know_ref,I doubt that John owns a dog but I know that he owns a cat. His dog follows him everywhere he goes.,doubt_know,0,1,I|##doubt|##that|##John|##owns|##a|##dog|##but|##I|##know|##that|##he|##owns|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-8.3403225|-9.096941|-9.757798|-11.952702|-6.223292|-9.140129|-11.873108|-9.519206|-9.153637|-10.209289|-14.025124|-7.433498|-13.090945|-11.868983|-7.2505746|-14.503347|-12.722639|-10.387753|-11.584861
1_dog_doubt_know_nonref,I doubt that John owns a dog but I know that he owns a cat. The dog that he liked had been adopted by someone else.,doubt_know,1,1,I|##doubt|##that|##John|##owns|##a|##dog|##but|##I|##know|##that|##he|##owns|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-8.3403225|-9.096941|-9.757798|-11.952702|-6.223292|-9.140129|-11.873108|-9.519206|-9.153637|-10.209289|-11.041853|-7.851692|-7.984007|-9.487343|-7.9818316|-5.9540763|-8.45529|-12.91809|-10.789363|-10.702681|-9.812259|-10.391041|-11.617623
1_dog_doubt_know_nonref,I doubt that John owns a dog but I know that he owns a cat. The cat that he liked had been adopted by someone else.,doubt_know,0,1,I|##doubt|##that|##John|##owns|##a|##dog|##but|##I|##know|##that|##he|##owns|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-8.3403225|-9.096941|-9.757798|-11.952702|-6.223292|-9.140129|-11.873108|-9.519206|-9.153637|-10.209289|-11.041853|-7.92488|-8.07963|-9.498766|-7.9534225|-5.833289|-8.327658|-12.825647|-10.58611|-10.3861885|-9.734786|-10.440958|-11.658756
1_dog_doubt_know_ref,I doubt that John owns a cat but I know that he owns a dog. His dog follows him everywhere he goes.,doubt_know,1,2,I|##doubt|##that|##John|##owns|##a|##cat|##but|##I|##know|##that|##he|##owns|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-9.221825|-9.128721|-9.817778|-12.1056795|-6.3784823|-9.13518|-12.410576|-9.253636|-8.726355|-10.339826|-13.602959|-7.4329486|-13.12406|-12.171113|-7.171374|-14.341609|-12.628448|-10.429503|-11.609186
1_dog_doubt_know_ref,I doubt that John owns a cat but I know that he owns a dog. His cat follows him everywhere he goes.,doubt_know,0,2,I|##doubt|##that|##John|##owns|##a|##cat|##but|##I|##know|##that|##he|##owns|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-9.221825|-9.128721|-9.817778|-12.1056795|-6.3784823|-9.13518|-12.410576|-9.253636|-8.726355|-10.339826|-13.602959|-8.261942|-13.663022|-11.907861|-7.3857865|-14.575868|-12.620051|-10.316883|-11.600599
1_dog_doubt_know_nonref,I doubt that John owns a cat but I know that he owns a dog. The cat that he liked had been adopted by someone else.,doubt_know,1,2,I|##doubt|##that|##John|##owns|##a|##cat|##but|##I|##know|##that|##he|##owns|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-9.221825|-9.128721|-9.817778|-12.1056795|-6.3784823|-9.13518|-12.410576|-9.253636|-8.726355|-10.339826|-11.007662|-8.421644|-8.132126|-9.499094|-7.810712|-5.8666406|-8.405674|-12.947334|-10.824423|-10.665085|-9.743765|-10.32141|-11.628948
1_dog_doubt_know_nonref,I doubt that John owns a cat but I know that he owns a dog. The dog that he liked had been adopted by someone else.,doubt_know,0,2,I|##doubt|##that|##John|##owns|##a|##cat|##but|##I|##know|##that|##he|##owns|##a|##dog|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-9.221825|-9.128721|-9.817778|-12.1056795|-6.3784823|-9.13518|-12.410576|-9.253636|-8.726355|-10.339826|-11.007662|-7.9267054|-7.910989|-9.488013|-8.196852|-6.004956|-8.286599|-12.75132|-10.556405|-10.406874|-9.671826|-10.418978|-11.636929
1_dog_affirmative_modal_ref,John owns a dog but he wants to own a cat. His dog follows him everywhere he goes.,affirmative_modal,1,1,John|##owns|##a|##dog|##but|##he|##wants|##to|##own|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-13.727778|-8.466784|-10.177349|-9.308405|-9.217686|-9.9959545|-13.452864|-7.248702|-12.961085|-11.9947405|-7.134959|-14.599245|-13.0940895|-10.525306|-11.616026
1_dog_affirmative_modal_ref,John owns a dog but he wants to own a cat. His cat follows him everywhere he goes.,affirmative_modal,0,1,John|##owns|##a|##dog|##but|##he|##wants|##to|##own|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-13.727778|-8.466784|-10.177349|-9.308405|-9.217686|-9.9959545|-13.452864|-6.5568013|-13.082436|-12.060827|-7.079546|-14.641165|-13.011618|-10.346714|-11.603449
1_dog_affirmative_modal_nonref,John owns a dog but he wants to own a cat. The cat that he liked had been adopted by someone else.,affirmative_modal,1,1,John|##owns|##a|##dog|##but|##he|##wants|##to|##own|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-13.727778|-8.466784|-10.177349|-9.308405|-9.217686|-9.9959545|-11.106369|-6.8414683|-7.806662|-9.812353|-7.021402|-5.7017713|-8.849184|-13.224371|-11.334728|-10.892839|-9.883648|-10.459251|-11.707999
1_dog_affirmative_modal_nonref,John owns a dog but he wants to own a cat. The dog that he liked had been adopted by someone else.,affirmative_modal,0,1,John|##owns|##a|##dog|##but|##he|##wants|##to|##own|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-13.727778|-8.466784|-10.177349|-9.308405|-9.217686|-9.9959545|-11.106369|-7.713358|-8.034393|-9.613738|-7.09047|-5.540717|-8.938635|-13.176133|-11.561889|-11.111006|-9.976943|-10.508033|-11.724661
1_dog_affirmative_modal_ref,John owns a cat but he wants to own a dog. His cat follows him everywhere he goes.,affirmative_modal,1,2,John|##owns|##a|##cat|##but|##he|##wants|##to|##own|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-13.591555|-8.64006|-9.949975|-9.589285|-10.041032|-10.019338|-13.368992|-6.6477165|-13.47733|-12.054747|-6.9297533|-14.710163|-12.876921|-10.423303|-11.60674
1_dog_affirmative_modal_ref,John owns a cat but he wants to own a dog. His dog follows him everywhere he goes.,affirmative_modal,0,2,John|##owns|##a|##cat|##but|##he|##wants|##to|##own|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-13.591555|-8.64006|-9.949975|-9.589285|-10.041032|-10.019338|-13.368992|-7.1315126|-12.6109085|-12.081692|-6.9245343|-14.601693|-12.909677|-10.29943|-11.536679
1_dog_affirmative_modal_nonref,John owns a cat but he wants to own a dog. The dog that he liked had been adopted by someone else.,affirmative_modal,1,2,John|##owns|##a|##cat|##but|##he|##wants|##to|##own|##a|##dog|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-13.591555|-8.64006|-9.949975|-9.589285|-10.041032|-10.019338|-11.119101|-7.9378424|-7.6672425|-9.808911|-7.389893|-5.672885|-8.758274|-13.115048|-11.4000845|-10.925096|-9.9099045|-10.467559|-11.660267
1_dog_affirmative_modal_nonref,John owns a cat but he wants to own a dog. The cat that he liked had been adopted by someone else.,affirmative_modal,0,2,John|##owns|##a|##cat|##but|##he|##wants|##to|##own|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-13.591555|-8.64006|-9.949975|-9.589285|-10.041032|-10.019338|-11.119101|-7.0233097|-8.288892|-9.366065|-6.8580914|-5.465635|-8.867884|-13.12802|-11.538752|-10.99501|-9.979438|-10.469536|-11.716083
1_dog_modal_affirmative_ref,John wants to own a dog but he owns a cat. His cat follows him everywhere he goes.,modal_affirmative,1,1,John|##wants|##to|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-6.6353726|-8.823832|-9.81348|-12.98328|-8.906555|-10.389048|-10.308228|-14.049461|-6.901879|-13.532772|-12.044186|-7.2520533|-14.6094475|-13.188721|-10.490693|-11.731591
1_dog_modal_affirmative_ref,John wants to own a dog but he owns a cat. His dog follows him everywhere he goes.,modal_affirmative,0,1,John|##wants|##to|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-6.6353726|-8.823832|-9.81348|-12.98328|-8.906555|-10.389048|-10.308228|-14.049461|-7.6815696|-13.006863|-11.973378|-7.349958|-14.738317|-13.281369|-10.726477|-11.710741
1_dog_modal_affirmative_nonref,John wants to own a dog but he owns a cat. The dog that he liked had been adopted by someone else.,modal_affirmative,1,1,John|##wants|##to|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-6.6353726|-8.823832|-9.81348|-12.98328|-8.906555|-10.389048|-10.308228|-11.897971|-8.151297|-8.274453|-9.490115|-6.856153|-5.8841486|-8.758472|-13.390388|-11.426127|-11.119448|-10.029385|-10.771547|-11.76822
1_dog_modal_affirmative_nonref,John wants to own a dog but he owns a cat. The cat that he liked had been adopted by someone else.,modal_affirmative,0,1,John|##wants|##to|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-6.6353726|-8.823832|-9.81348|-12.98328|-8.906555|-10.389048|-10.308228|-11.897971|-7.188388|-8.322267|-9.433161|-6.908147|-5.7386427|-8.621017|-13.331205|-11.221848|-10.845381|-9.9888115|-10.707882|-11.780601
1_dog_modal_affirmative_ref,John wants to own a cat but he owns a dog. His dog follows him everywhere he goes.,modal_affirmative,1,2,John|##wants|##to|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-7.6078787|-8.824133|-9.739636|-13.268209|-8.92682|-10.22947|-10.301219|-14.25008|-7.827879|-13.12909|-11.983196|-7.359468|-14.492257|-13.167219|-10.482997|-11.691074
1_dog_modal_affirmative_ref,John wants to own a cat but he owns a dog. His cat follows him everywhere he goes.,modal_affirmative,0,2,John|##wants|##to|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-7.6078787|-8.824133|-9.739636|-13.268209|-8.92682|-10.22947|-10.301219|-14.25008|-7.0967126|-13.284075|-11.918157|-7.2800612|-14.745256|-13.098773|-10.599291|-11.706417
1_dog_modal_affirmative_nonref,John wants to own a cat but he owns a dog. The cat that he liked had been adopted by someone else.,modal_affirmative,1,2,John|##wants|##to|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-7.6078787|-8.824133|-9.739636|-13.268209|-8.92682|-10.22947|-10.301219|-11.763473|-6.9876876|-8.443355|-9.402676|-6.636886|-5.7961545|-8.747613|-13.357472|-11.395916|-10.9947605|-10.006245|-10.671187|-11.760486
