id,type,sample,order,model,prompt,generation
1_dog_managed_failed_ref,managed_failed,1,1,gpt2-xl,John managed to adopt a dog but failed to adopt a cat. The,John managed to adopt a dog but failed to adopt a cat. The animals lived in a small wooden enclosure in the back.
1_dog_managed_failed_ref,managed_failed,2,1,gpt2-xl,John managed to adopt a dog but failed to adopt a cat. The,"John managed to adopt a dog but failed to adopt a cat. The first thing this man did after acquiring his cat was kill it, and when faced with the choice of killing another cat or killing someone, he chose the latter."
1_dog_managed_failed_ref,managed_failed,1,2,gpt2-xl,John managed to adopt a cat but failed to adopt a dog. The,John managed to adopt a cat but failed to adopt a dog. The latter would be his true love and his new family.
1_dog_managed_failed_ref,managed_failed,2,2,gpt2-xl,John managed to adopt a cat but failed to adopt a dog. The,John managed to adopt a cat but failed to adopt a dog. The cat eventually died of sickness.
1_dog_failed_managed_ref,failed_managed,1,1,gpt2-xl,John failed to adopt a dog but managed to adopt a cat. The,"John failed to adopt a dog but managed to adopt a cat. The cat, named Daisy, was actually named after his daughter when she had her first year of college because she thought it would be a funny idea for a joke."
1_dog_failed_managed_ref,failed_managed,2,1,gpt2-xl,John failed to adopt a dog but managed to adopt a cat. The,"John failed to adopt a dog but managed to adopt a cat. The last family was a man who raised a cat for 10 years, despite his own difficulties with depression."
1_dog_failed_managed_ref,failed_managed,1,2,gpt2-xl,John failed to adopt a cat but managed to adopt a dog. The,John failed to adopt a cat but managed to adopt a dog. The two were adopted together.
1_dog_failed_managed_ref,failed_managed,2,2,gpt2-xl,John failed to adopt a cat but managed to adopt a dog. The,"John failed to adopt a cat but managed to adopt a dog. The reason? One of the dogs, Max, was missing a leg, and John gave him to the vet to amputate it."
2_car_affirmative_negation_ref,affirmative_negation,1,1,gpt2-xl,Lucy has a car but she doesn't have a bike. The,Lucy has a car but she doesn't have a bike. The two were the only members of their community to get a bicycle.
2_car_affirmative_negation_ref,affirmative_negation,2,1,gpt2-xl,Lucy has a car but she doesn't have a bike. The,"Lucy has a car but she doesn't have a bike. The bike comes with a bike carrier, but the car needs a trailer."
2_car_affirmative_negation_ref,affirmative_negation,1,2,gpt2-xl,Lucy has a bike but she doesn't have a car. The,Lucy has a bike but she doesn't have a car. The bike is parked out back on a lot of land owned by her grandfather.
2_car_affirmative_negation_ref,affirmative_negation,2,2,gpt2-xl,Lucy has a bike but she doesn't have a car. The,"Lucy has a bike but she doesn't have a car. The cost is £9,000."
2_car_negation_affirmative_ref,negation_affirmative,1,1,gpt2-xl,Lucy doesn't have a car but she has a bike. The,"Lucy doesn't have a car but she has a bike. The bike is on wheels, she uses the bike to get to school, the bus stop, the cafe, grocery stores and shops."
2_car_negation_affirmative_ref,negation_affirmative,2,1,gpt2-xl,Lucy doesn't have a car but she has a bike. The,"Lucy doesn't have a car but she has a bike. The one she took from his father, who's a professor, and it is a great bicycle."
2_car_negation_affirmative_ref,negation_affirmative,1,2,gpt2-xl,Lucy doesn't have a bike but she has a car. The,Lucy doesn't have a bike but she has a car. The family can use that car to get around the world.
2_car_negation_affirmative_ref,negation_affirmative,2,2,gpt2-xl,Lucy doesn't have a bike but she has a car. The,"Lucy doesn't have a bike but she has a car. The car can be a bus, a taxi or a car or motorcycle."
2_car_know_doubt_ref,know_doubt,1,1,gpt2-xl,I know that Lucy has a car but I doubt that she has a bike. The,I know that Lucy has a car but I doubt that she has a bike. The problem with this scenario is that if I was actually the owner of Lucy's car I would have to find a job in order to afford a car.
2_car_know_doubt_ref,know_doubt,2,1,gpt2-xl,I know that Lucy has a car but I doubt that she has a bike. The,"I know that Lucy has a car but I doubt that she has a bike. The family have two cars – a minibus and a pick up truck which are both owned by the same man, and who is often gone."
2_car_know_doubt_ref,know_doubt,1,2,gpt2-xl,I know that Lucy has a bike but I doubt that she has a car. The,"I know that Lucy has a bike but I doubt that she has a car. The thing is, I can't really understand how I am still on this earth."
2_car_know_doubt_ref,know_doubt,2,2,gpt2-xl,I know that Lucy has a bike but I doubt that she has a car. The,I know that Lucy has a bike but I doubt that she has a car. The point about Lucy being stuck in your life is an interesting one for a number of reasons: Firstly she makes the very point that being stuck in her life means there's something wrong with her that needs solving.
2_car_doubt_know_ref,doubt_know,1,1,gpt2-xl,I doubt that Lucy has a car but I know that she has a bike. The,I doubt that Lucy has a car but I know that she has a bike. The only way she is able to move around the house is in a walking or running gear so I have to think that she does have a bicycle.
2_car_doubt_know_ref,doubt_know,2,1,gpt2-xl,I doubt that Lucy has a car but I know that she has a bike. The,I doubt that Lucy has a car but I know that she has a bike. The key word in this question is 'likely'.
2_car_doubt_know_ref,doubt_know,1,2,gpt2-xl,I doubt that Lucy has a bike but I know that she has a car. The,I doubt that Lucy has a bike but I know that she has a car. The whole time I have been here she was sitting in the taxi.
2_car_doubt_know_ref,doubt_know,2,2,gpt2-xl,I doubt that Lucy has a bike but I know that she has a car. The,I doubt that Lucy has a bike but I know that she has a car. The question is whether she drives it.
2_car_affirmative_modal_ref,affirmative_modal,1,1,gpt2-xl,Lucy has a car but she wants to have a bike. The,"Lucy has a car but she wants to have a bike. The question should be, why do we make it seem like the car is a better option than biking? Because it keeps people from getting more healthful, sustainable choices?

One thing I've found about our culture and society is this idea of ""getting rid of cars."
2_car_affirmative_modal_ref,affirmative_modal,2,1,gpt2-xl,Lucy has a car but she wants to have a bike. The,Lucy has a car but she wants to have a bike. The driver of the car is going to be furious.
2_car_affirmative_modal_ref,affirmative_modal,1,2,gpt2-xl,Lucy has a bike but she wants to have a car. The,Lucy has a bike but she wants to have a car. The bike looks great.
2_car_affirmative_modal_ref,affirmative_modal,2,2,gpt2-xl,Lucy has a bike but she wants to have a car. The,"Lucy has a bike but she wants to have a car. The bike's not hers, but the bike's a pretty nice bike, right? So this is how to get yourself into position and start planning."
2_car_modal_affirmative_ref,modal_affirmative,1,1,gpt2-xl,Lucy wants to have a car but she has a bike. The,Lucy wants to have a car but she has a bike. The bike is expensive and not the type of bike you do if you have to ride to or from work.
2_car_modal_affirmative_ref,modal_affirmative,2,1,gpt2-xl,Lucy wants to have a car but she has a bike. The,"Lucy wants to have a car but she has a bike. The car, however, is not suitable and we make a deal to give her a bike."
2_car_modal_affirmative_ref,modal_affirmative,1,2,gpt2-xl,Lucy wants to have a bike but she has a car. The,Lucy wants to have a bike but she has a car. The same is true of most couples.
2_car_modal_affirmative_ref,modal_affirmative,2,2,gpt2-xl,Lucy wants to have a bike but she has a car. The,"Lucy wants to have a bike but she has a car. The two girls who lived at their house at that time are now adults, but the story is essentially the same."
2_car_managed_failed_ref,managed_failed,1,1,gpt2-xl,Lucy managed to rent a car but she failed to rent a bike. The,Lucy managed to rent a car but she failed to rent a bike. The car cost 20 euros but she spent €35 on bike hire.
2_car_managed_failed_ref,managed_failed,2,1,gpt2-xl,Lucy managed to rent a car but she failed to rent a bike. The,Lucy managed to rent a car but she failed to rent a bike. The bikes were not available on Craigslist.
2_car_managed_failed_ref,managed_failed,1,2,gpt2-xl,Lucy managed to rent a bike but she failed to rent a car. The,Lucy managed to rent a bike but she failed to rent a car. The couple said they thought they might have to move temporarily.
2_car_managed_failed_ref,managed_failed,2,2,gpt2-xl,Lucy managed to rent a bike but she failed to rent a car. The,"Lucy managed to rent a bike but she failed to rent a car. The following week, she came across a listing for a bicycle for under $20 dollars in a classified ad in the paper."
2_car_failed_managed_ref,failed_managed,1,1,gpt2-xl,Lucy failed to rent a car but she managed to rent a bike. The,"Lucy failed to rent a car but she managed to rent a bike. The pair arrived in San Francisco at about 4am on March 6, and after going on their way from SF the pair took a bus to Oakland (she) at about 6p."
2_car_failed_managed_ref,failed_managed,2,1,gpt2-xl,Lucy failed to rent a car but she managed to rent a bike. The,"Lucy failed to rent a car but she managed to rent a bike. The day after the attack she received a text stating that the car was for rent at a nearby dealership and it was her friend from the school, Jia Zhang and her daughter Liao Yu."
2_car_failed_managed_ref,failed_managed,1,2,gpt2-xl,Lucy failed to rent a bike but she managed to rent a car. The,"Lucy failed to rent a bike but she managed to rent a car. The car's owner offered to lend her the car during a two-week break, so she could complete the work in her free time."
2_car_failed_managed_ref,failed_managed,2,2,gpt2-xl,Lucy failed to rent a bike but she managed to rent a car. The,"Lucy failed to rent a bike but she managed to rent a car. The driver told her she would need to find another vehicle and that she could park her vehicle, but Lucy refused to get out of the car, according to police."
3_bear_affirmative_negation_ref,affirmative_negation,1,1,gpt2-xl,Carol saw a bear at the zoo but she didn't see a monkey. The,Carol saw a bear at the zoo but she didn't see a monkey. The bear was still there.
3_bear_affirmative_negation_ref,affirmative_negation,2,1,gpt2-xl,Carol saw a bear at the zoo but she didn't see a monkey. The,Carol saw a bear at the zoo but she didn't see a monkey. The monkey was too heavy and big.
3_bear_affirmative_negation_ref,affirmative_negation,1,2,gpt2-xl,Carol saw a monkey at the zoo but she didn't see a bear. The,Carol saw a monkey at the zoo but she didn't see a bear. The zoo has said that animals were running loose last night.
3_bear_affirmative_negation_ref,affirmative_negation,2,2,gpt2-xl,Carol saw a monkey at the zoo but she didn't see a bear. The,Carol saw a monkey at the zoo but she didn't see a bear. The animal was actually a bear that was born in the zoo.
3_bear_negation_affirmative_ref,negation_affirmative,1,1,gpt2-xl,Carol didn't see a bear at the zoo but she saw a monkey. The,Carol didn't see a bear at the zoo but she saw a monkey. The bear was just lounging on the rocks.
3_bear_negation_affirmative_ref,negation_affirmative,2,1,gpt2-xl,Carol didn't see a bear at the zoo but she saw a monkey. The,Carol didn't see a bear at the zoo but she saw a monkey. The monkey jumped into a nearby water dish to escape the zoo's lion who had taken a bite out of its cub's neck.
3_bear_negation_affirmative_ref,negation_affirmative,1,2,gpt2-xl,Carol didn't see a monkey at the zoo but she saw a bear. The,Carol didn't see a monkey at the zoo but she saw a bear. The bear came in the front door.
3_bear_negation_affirmative_ref,negation_affirmative,2,2,gpt2-xl,Carol didn't see a monkey at the zoo but she saw a bear. The,Carol didn't see a monkey at the zoo but she saw a bear. The bear came up and knocked her down.
3_bear_know_doubt_ref,know_doubt,1,1,gpt2-xl,I know that Carol saw a bear at the zoo but I doubt that she saw a monkey. The,I know that Carol saw a bear at the zoo but I doubt that she saw a monkey. The photo on the left shows the monkey sitting on a tree trunk while the ape is sitting on a bush.
3_bear_know_doubt_ref,know_doubt,2,1,gpt2-xl,I know that Carol saw a bear at the zoo but I doubt that she saw a monkey. The,I know that Carol saw a bear at the zoo but I doubt that she saw a monkey. The fact that they were not wearing hats or gloves made me think that they might not have been wearing shoes or were wearing them so far up their shins they weren't visible.
3_bear_know_doubt_ref,know_doubt,1,2,gpt2-xl,I know that Carol saw a monkey at the zoo but I doubt that she saw a bear. The,I know that Carol saw a monkey at the zoo but I doubt that she saw a bear. The only bear she saw was this one in San Francisco.
3_bear_know_doubt_ref,know_doubt,2,2,gpt2-xl,I know that Carol saw a monkey at the zoo but I doubt that she saw a bear. The,I know that Carol saw a monkey at the zoo but I doubt that she saw a bear. The bear's the real culprit in my opinion.
3_bear_doubt_know_ref,doubt_know,1,1,gpt2-xl,I doubt that Carol saw a bear at the zoo but I know that she saw a monkey. The,"I doubt that Carol saw a bear at the zoo but I know that she saw a monkey. The bear and the monkey were standing on the same box, she would see one and then the other at the same time."
3_bear_doubt_know_ref,doubt_know,2,1,gpt2-xl,I doubt that Carol saw a bear at the zoo but I know that she saw a monkey. The,"I doubt that Carol saw a bear at the zoo but I know that she saw a monkey. The bear was a bit unusual because that sort of animal was not normally encountered by people at all in Africa, and in the summer in the zoo where she did not see one I think."
3_bear_doubt_know_ref,doubt_know,1,2,gpt2-xl,I doubt that Carol saw a monkey at the zoo but I know that she saw a bear. The,I doubt that Carol saw a monkey at the zoo but I know that she saw a bear. The bear had a funny face.
3_bear_doubt_know_ref,doubt_know,2,2,gpt2-xl,I doubt that Carol saw a monkey at the zoo but I know that she saw a bear. The,I doubt that Carol saw a monkey at the zoo but I know that she saw a bear. The bear didn't really care that Carol saw him.
3_bear_affirmative_modal_ref,affirmative_modal,1,1,gpt2-xl,Carol saw a bear at the zoo but she wanted to see a monkey. The,Carol saw a bear at the zoo but she wanted to see a monkey. The boy said he was too cold.
3_bear_affirmative_modal_ref,affirmative_modal,2,1,gpt2-xl,Carol saw a bear at the zoo but she wanted to see a monkey. The,Carol saw a bear at the zoo but she wanted to see a monkey. The monkey was also at the zoo.
3_bear_affirmative_modal_ref,affirmative_modal,1,2,gpt2-xl,Carol saw a monkey at the zoo but she wanted to see a bear. The,"Carol saw a monkey at the zoo but she wanted to see a bear. The bear was not available in the zoo and a boy at the park would have been disappointed if she'd asked him to take her, so she went to the lion house where the lionesses were kept."
3_bear_affirmative_modal_ref,affirmative_modal,2,2,gpt2-xl,Carol saw a monkey at the zoo but she wanted to see a bear. The,Carol saw a monkey at the zoo but she wanted to see a bear. The people in the car gave her a bear.
3_bear_modal_affirmative_ref,modal_affirmative,1,1,gpt2-xl,Carol wanted to see a bear at the zoo but she saw a monkey. The,"Carol wanted to see a bear at the zoo but she saw a monkey. The monkey would not leave her side""


This is how the zoo told me, not in English

""I saw a girl from England."
3_bear_modal_affirmative_ref,modal_affirmative,2,1,gpt2-xl,Carol wanted to see a bear at the zoo but she saw a monkey. The,Carol wanted to see a bear at the zoo but she saw a monkey. The bear was a real treat because it was only about 2 feet tall.
3_bear_modal_affirmative_ref,modal_affirmative,1,2,gpt2-xl,Carol wanted to see a monkey at the zoo but she saw a bear. The,"Carol wanted to see a monkey at the zoo but she saw a bear. The little boy was screaming ""My brother is out here!!!"" She ran off, and she heard the bear calling after her."
3_bear_modal_affirmative_ref,modal_affirmative,2,2,gpt2-xl,Carol wanted to see a monkey at the zoo but she saw a bear. The,Carol wanted to see a monkey at the zoo but she saw a bear. The bear was very aggressive and wanted to go next to her.
3_bear_managed_failed_ref,managed_failed,1,1,gpt2-xl,Carol managed to see a bear at the zoo but failed to see a monkey. The,Carol managed to see a bear at the zoo but failed to see a monkey. The animals were in the zoo due to the fact their habitat was not in proper condition.
3_bear_managed_failed_ref,managed_failed,2,1,gpt2-xl,Carol managed to see a bear at the zoo but failed to see a monkey. The,"Carol managed to see a bear at the zoo but failed to see a monkey. The monkey may be the most important animal present, as a member of the species is crucial in maintaining the animal's health."
3_bear_managed_failed_ref,managed_failed,1,2,gpt2-xl,Carol managed to see a monkey at the zoo but failed to see a bear. The,"Carol managed to see a monkey at the zoo but failed to see a bear. The bear, Carol, looked at her as if she was an animal and even bit her hand and arm in annoyance when she tried to shake it away."
3_bear_managed_failed_ref,managed_failed,2,2,gpt2-xl,Carol managed to see a monkey at the zoo but failed to see a bear. The,Carol managed to see a monkey at the zoo but failed to see a bear. The bear had disappeared into the bushes by the time she got back.
3_bear_failed_managed_ref,failed_managed,1,1,gpt2-xl,Carol failed to see a bear at the zoo but managed to see a monkey. The,Carol failed to see a bear at the zoo but managed to see a monkey. The bear went to bed early the next morning and left the monkey alone.
3_bear_failed_managed_ref,failed_managed,2,1,gpt2-xl,Carol failed to see a bear at the zoo but managed to see a monkey. The,Carol failed to see a bear at the zoo but managed to see a monkey. The zoo said in a report that the monkey had tried to get into her pants and had scratched her.
3_bear_failed_managed_ref,failed_managed,1,2,gpt2-xl,Carol failed to see a monkey at the zoo but managed to see a bear. The,Carol failed to see a monkey at the zoo but managed to see a bear. The two monkeys were kept together in a crate and Carol was not allowed to have them go anywhere.
3_bear_failed_managed_ref,failed_managed,2,2,gpt2-xl,Carol failed to see a monkey at the zoo but managed to see a bear. The,Carol failed to see a monkey at the zoo but managed to see a bear. The bear ate the monkey and brought it back to the zoo.
4_book_affirmative_negation_ref,affirmative_negation,1,1,gpt2-xl,Susan published a book but she didn't publish an article in the New Yorker. The,"Susan published a book but she didn't publish an article in the New Yorker. The editor has been fired from her job for plagiarism in her book but she didn't take any action against a former employee who stole from Harvard Business Review without attribution, nor did she take action against her husband, who plagiarized from the New York Times."
4_book_affirmative_negation_ref,affirmative_negation,2,1,gpt2-xl,Susan published a book but she didn't publish an article in the New Yorker. The,Susan published a book but she didn't publish an article in the New Yorker. The New Yorker is something out there.
4_book_affirmative_negation_ref,affirmative_negation,1,2,gpt2-xl,Susan published an article in the New Yorker but she didn't publish a book. The,"Susan published an article in the New Yorker but she didn't publish a book. The truth is, she was never even going to publish a book."
4_book_affirmative_negation_ref,affirmative_negation,2,2,gpt2-xl,Susan published an article in the New Yorker but she didn't publish a book. The,"Susan published an article in the New Yorker but she didn't publish a book. The story is on sale right now as ""The Devil: An American Lyric."
4_book_negation_affirmative_ref,negation_affirmative,1,1,gpt2-xl,Susan didn't publish a book but she published an article in the New Yorker. The,Susan didn't publish a book but she published an article in the New Yorker. The book was a collection of her essays.
4_book_negation_affirmative_ref,negation_affirmative,2,1,gpt2-xl,Susan didn't publish a book but she published an article in the New Yorker. The,"Susan didn't publish a book but she published an article in the New Yorker. The New Yorker, which had been supportive of the administration and supportive of her earlier claims about Susan's relationship with the president, had not published an article at all about Susan, who claimed to have been on the phone with the president to tell him that his wife's death was an accident, since Susan had not been allowed to see him."
4_book_negation_affirmative_ref,negation_affirmative,1,2,gpt2-xl,Susan didn't publish an article in the New Yorker but she published a book. The,"Susan didn't publish an article in the New Yorker but she published a book. The book, a memoir of her mother's mental illness and the life it led her through, is called ""Mothers of a Happy Marriage: A Memoir of Madness and Wonder."
4_book_negation_affirmative_ref,negation_affirmative,2,2,gpt2-xl,Susan didn't publish an article in the New Yorker but she published a book. The,Susan didn't publish an article in the New Yorker but she published a book. The book was not published until after she made her first public foray into the world of internet writing in 2013.
4_book_know_doubt_ref,know_doubt,1,1,gpt2-xl,I know that Susan published a book but I doubt that she published an article in the New Yorker. The,I know that Susan published a book but I doubt that she published an article in the New Yorker. The New Yorker should publish something like a letter from her to the French ambassador in Washington.
4_book_know_doubt_ref,know_doubt,2,1,gpt2-xl,I know that Susan published a book but I doubt that she published an article in the New Yorker. The,"I know that Susan published a book but I doubt that she published an article in the New Yorker. The New Yorker has had a long, very rich tradition of using nonfiction to critique art,"" he continued."
4_book_know_doubt_ref,know_doubt,1,2,gpt2-xl,I know that Susan published an article in the New Yorker but I doubt that she published a book. The,"I know that Susan published an article in the New Yorker but I doubt that she published a book. The New Yorker article, you know, it's an investigative magazine."
4_book_know_doubt_ref,know_doubt,2,2,gpt2-xl,I know that Susan published an article in the New Yorker but I doubt that she published a book. The,"I know that Susan published an article in the New Yorker but I doubt that she published a book. The person who did, and who published the book, was Peter Bienauer, the former chief rabbi of the US."
4_book_doubt_know_ref,doubt_know,1,1,gpt2-xl,I doubt that Susan published a book but I know that she published an article in the New Yorker. The,I doubt that Susan published a book but I know that she published an article in the New Yorker. The article was about this woman's book that was published before she wrote her book.
4_book_doubt_know_ref,doubt_know,2,1,gpt2-xl,I doubt that Susan published a book but I know that she published an article in the New Yorker. The,"I doubt that Susan published a book but I know that she published an article in the New Yorker. The article contained four sentences that read: 'For people who care about the truth, the book is an irresistible read."
4_book_doubt_know_ref,doubt_know,1,2,gpt2-xl,I doubt that Susan published an article in the New Yorker but I know that she published  a book. The,I doubt that Susan published an article in the New Yorker but I know that she published  a book. The book is called It Takes a Village and it's published by the University of Chicago Press.
4_book_doubt_know_ref,doubt_know,2,2,gpt2-xl,I doubt that Susan published an article in the New Yorker but I know that she published  a book. The,I doubt that Susan published an article in the New Yorker but I know that she published  a book. The book is a book of love poems.
4_book_affirmative_modal_ref,affirmative_modal,1,1,gpt2-xl,Susan published a book but she wanted to publish an article in the New Yorker. The,Susan published a book but she wanted to publish an article in the New Yorker. The publishers were having trouble getting a second-prayer permission for this article.
4_book_affirmative_modal_ref,affirmative_modal,2,1,gpt2-xl,Susan published a book but she wanted to publish an article in the New Yorker. The,Susan published a book but she wanted to publish an article in the New Yorker. The book publisher said 'No way.
4_book_affirmative_modal_ref,affirmative_modal,1,2,gpt2-xl,Susan published an article in the New Yorker but she wanted to publish a book. The,Susan published an article in the New Yorker but she wanted to publish a book. The idea for the book came up after the publication.
4_book_affirmative_modal_ref,affirmative_modal,2,2,gpt2-xl,Susan published an article in the New Yorker but she wanted to publish a book. The,"Susan published an article in the New Yorker but she wanted to publish a book. The book, a book that has already become a movie and would make a movie of itself, was published in 1997."
4_book_modal_affirmative_ref,modal_affirmative,1,1,gpt2-xl,Susan wanted to publish a book but she published an article in the New Yorker. The,"Susan wanted to publish a book but she published an article in the New Yorker. The writer was a liberal, someone who would have been in my circle of friends."
4_book_modal_affirmative_ref,modal_affirmative,2,1,gpt2-xl,Susan wanted to publish a book but she published an article in the New Yorker. The,Susan wanted to publish a book but she published an article in the New Yorker. The editor had a hard time with it.
4_book_modal_affirmative_ref,modal_affirmative,1,2,gpt2-xl,Susan wanted to publish an article in the New Yorker but she published a book. The,Susan wanted to publish an article in the New Yorker but she published a book. The first chapter appeared in The New Yorker in the spring of 1985.
4_book_modal_affirmative_ref,modal_affirmative,2,2,gpt2-xl,Susan wanted to publish an article in the New Yorker but she published a book. The,"Susan wanted to publish an article in the New Yorker but she published a book. The last book that the New Yorker ran was by a guy who got to the end of his book and it was really well written, but it was so terrible—it was a total disaster."
4_book_managed_failed_ref,managed_failed,1,1,gpt2-xl,Susan managed to write a book but failed to write an article for the New Yorker. The,"Susan managed to write a book but failed to write an article for the New Yorker. The failure of the New Yorker in the 1960s and 1970s to publish anything by women was the result of ""men's fear of women."
4_book_managed_failed_ref,managed_failed,2,1,gpt2-xl,Susan managed to write a book but failed to write an article for the New Yorker. The,Susan managed to write a book but failed to write an article for the New Yorker. The New Yorker is a magazine not usually written by men.
4_book_managed_failed_ref,managed_failed,1,2,gpt2-xl,Susan managed to write an article for the New Yorker but failed to write a book. The,"Susan managed to write an article for the New Yorker but failed to write a book. The following month, she was working on a pilot called, ""The Lizzie McGuire Story."
4_book_managed_failed_ref,managed_failed,2,2,gpt2-xl,Susan managed to write an article for the New Yorker but failed to write a book. The,"Susan managed to write an article for the New Yorker but failed to write a book. The first thing she tried to hide was her writing and personality, so she wrote something very long-winded, full of the usual bullshit, where she would show little respect to her own ideas or her own experiences."
4_book_failed_managed_ref,failed_managed,1,1,gpt2-xl,Susan failed to write a book but managed to write an article for the New Yorker. The,"Susan failed to write a book but managed to write an article for the New Yorker. The piece was titled ""The Secret 'Toxic' Menace That Is Underselling Rape Culture."
4_book_failed_managed_ref,failed_managed,2,1,gpt2-xl,Susan failed to write a book but managed to write an article for the New Yorker. The,Susan failed to write a book but managed to write an article for the New Yorker. The article was based on her life as a teenager in rural Louisiana and the difficulties in finding quality education outside the public system.
4_book_failed_managed_ref,failed_managed,1,2,gpt2-xl,Susan failed to write an article for the New Yorker but managed to write a book. The,"Susan failed to write an article for the New Yorker but managed to write a book. The other issue that Susan's book and memoir didn't address, however, was an entirely different aspect of her personal life: sex."
