id,sentence,type,pronoun,tokens,log_probs,continuation_log_prob,critical_token_idx
2_car_negated,Lucy doesn't have a car and it's not a big deal.,negated,subj,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.863075|-10.874321|-16.754318|-10.814362|-10.84639|-9.449844|-7.5603943|-7.284134|-11.02327|-10.9964905|-7.792618|-8.7388|-7.417038|-13.024635|-11.720306|-12.6423645,-70.7131575,8
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-9.323471|-9.252785|-8.47699|-8.033691|-11.541809|-14.499184|-9.517708|-7.8748016|-9.582539|-9.031338|-13.424255|-5.4192657|-11.332855|-12.8418045,-80.68194629999999,8
2_car_know,I know that Lucy has a car. It's not a big deal.,know,subj,I|##know|##that|##Lucy|##has|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-9.323471|-9.252785|-8.47699|-8.033691|-11.541809|-14.499184|-11.529861|-7.901184|-8.499191|-6.7619324|-13.3534775|-11.658356|-12.881409,-74.2031859,8
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-9.44252|-9.468262|-9.021919|-7.9410095|-11.3936615|-14.910919|-9.696495|-7.723213|-9.936594|-8.646408|-13.843018|-5.015007|-11.310394|-12.789238,-81.082048,8
2_car_doubt,I doubt that Lucy has a car. It's not a big deal.,doubt,subj,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-9.44252|-9.468262|-9.021919|-7.9410095|-11.3936615|-14.910919|-11.71801|-8.135193|-8.643372|-7.003586|-13.459099|-11.575989|-12.841759,-75.446168,8
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.863075|-10.874321|-12.87767|-8.84903|-9.989441|-8.656227|-7.1705017|-6.976227|-10.459633|-9.827454|-7.825836|-9.3779335|-9.326973|-14.002113|-6.112709|-10.96286|-12.519089,-77.8955115,8
2_car_modal,Lucy wants to have a car and it's not a big deal.,modal,subj,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.863075|-10.874321|-12.87767|-8.84903|-9.989441|-8.656227|-7.1705017|-6.976227|-10.459633|-10.549538|-7.249008|-8.556763|-7.592453|-12.323921|-11.433655|-12.569199,-68.164971,8
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,Lu|cy|##managed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.863075|-10.874321|-11.551296|-9.205223|-8.614685|-7.87265|-8.340576|-11.761948|-15.2465515|-9.512741|-7.7789307|-9.811249|-9.51363|-14.186829|-5.820801|-11.3989105|-12.810478,-83.2696427,8
2_car_managed,Lucy managed to rent a car. It's not a big deal.,managed,subj,Lu|cy|##managed|##to|##rent|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.863075|-10.874321|-11.551296|-9.205223|-8.614685|-7.87265|-8.340576|-11.761948|-15.2465515|-11.727722|-8.1276245|-8.827805|-7.845688|-12.819077|-12.013657|-12.85701,-76.608125,8
2_car_failed,Lucy failed to rent a car. It has a self-driving mode.,failed,it,Lu|cy|##failed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.863075|-10.874321|-11.56036|-9.502281|-7.1687164|-8.933228|-7.740074|-11.433281|-15.467873|-9.7473755|-7.7884064|-10.965166|-9.267757|-14.320442|-5.8042374|-11.177246|-12.676582,-84.5385033,8
2_car_failed,Lucy failed to rent a car. It's not a big deal.,failed,subj,Lu|cy|##failed|##to|##rent|##a|##car|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.863075|-10.874321|-11.56036|-9.502281|-7.1687164|-8.933228|-7.740074|-11.433281|-15.467873|-11.987762|-8.328133|-9.180405|-7.6831284|-13.099159|-11.734497|-12.790901,-77.48095740000001,8
3_bear_affirmative,Carol saw a bear at the zoo and it was taller than she expected.,affirmative,it,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.958357|-7.6957626|-10.561432|-8.935852|-6.108917|-8.797424|-8.0581665|-7.4526825|-7.9953156|-9.907715|-9.418312|-11.847015|-12.264648|-9.701279|-11.449364|-11.075066|-12.769577,-75.663399,9
3_bear_affirmative,Carol saw a bear at the zoo and it's not a big deal.,affirmative,subj,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.958357|-7.6957626|-10.561432|-8.935852|-6.108917|-8.797424|-8.0581665|-7.4526825|-7.9953156|-9.907715|-9.856255|-7.272812|-8.381287|-6.113716|-13.105476|-11.682571|-12.688416,-66.31983199999999,9
3_bear_negated,Carol didn't see a bear at the zoo and it was taller than she expected.,negated,it,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.958357|-7.6957626|-16.958405|-10.782867|-10.787636|-9.499306|-7.193878|-9.196037|-8.251106|-8.497681|-7.695053|-10.16568|-9.370407|-10.686409|-11.9272|-10.244926|-11.052017|-11.33432|-12.725021,-74.780959,11
3_bear_negated,Carol didn't see a bear at the zoo and it's not a big deal.,negated,subj,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.958357|-7.6957626|-16.958405|-10.782867|-10.787636|-9.499306|-7.193878|-9.196037|-8.251106|-8.497681|-7.695053|-10.16568|-10.772858|-8.119431|-8.804337|-6.5058517|-13.549652|-11.631363|-12.652786,-69.54917270000001,11
3_bear_know,I know that Carol saw a bear at the zoo. It was taller than she expected.,know,it,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-7.390785|-11.2647705|-9.030014|-5.9344254|-9.151558|-8.198044|-8.923004|-11.184814|-14.683678|-9.266785|-11.142921|-11.623383|-9.3536|-12.324791|-11.199005|-12.8161545,-79.59416300000001,11
3_bear_know,I know that Carol saw a bear at the zoo. It's not a big deal.,know,subj,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-7.390785|-11.2647705|-9.030014|-5.9344254|-9.151558|-8.198044|-8.923004|-11.184814|-14.683678|-11.270821|-7.4467697|-8.49855|-6.21035|-13.96151|-11.465668|-12.785019,-73.5373467,11
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It was taller than she expected.,doubt,it,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-7.0434723|-11.473518|-9.240738|-6.243698|-9.241585|-8.142334|-8.886017|-11.542587|-14.89035|-9.354576|-10.65052|-11.256775|-9.310516|-12.458618|-11.450821|-12.791786,-79.372176,11
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It's not a big deal.,doubt,subj,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-7.0434723|-11.473518|-9.240738|-6.243698|-9.241585|-8.142334|-8.886017|-11.542587|-14.89035|-11.854355|-7.825287|-8.648705|-6.6093597|-14.137726|-11.567871|-12.778061,-75.5336537,11
3_bear_modal,Carol wants to see a bear at the zoo and it was taller than she expected.,modal,it,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.958357|-7.6957626|-12.701069|-9.1050415|-9.905304|-8.423775|-5.5977173|-8.031052|-8.07563|-8.153633|-7.751831|-10.403099|-8.94693|-11.902016|-11.577324|-10.242775|-10.644333|-11.150299|-12.6538925,-74.866776,11
3_bear_modal,Carol wants to see a bear at the zoo and it's not a big deal.,modal,subj,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.958357|-7.6957626|-12.701069|-9.1050415|-9.905304|-8.423775|-5.5977173|-8.031052|-8.07563|-8.153633|-7.751831|-10.403099|-10.160294|-7.0961456|-8.584717|-6.97258|-13.00766|-11.603958|-12.625534,-67.8284536,11
3_bear_managed,Carol managed to see a bear at the zoo. It was taller than she expected.,managed,it,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.958357|-7.6957626|-11.533333|-9.131294|-10.556091|-9.147697|-5.974144|-8.914207|-8.072166|-7.4995575|-11.640579|-14.552124|-9.141983|-11.228363|-11.941109|-9.394554|-11.584728|-11.593185|-12.793297,-79.436046,11
3_bear_managed,Carol managed to see a bear at the zoo. It's not a big deal.,managed,subj,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.958357|-7.6957626|-11.533333|-9.131294|-10.556091|-9.147697|-5.974144|-8.914207|-8.072166|-7.4995575|-11.640579|-14.552124|-10.740242|-7.580559|-8.5913315|-6.33934|-13.2589035|-12.00499|-12.734634,-73.06749,11
3_bear_failed,Carol failed to see a bear at the zoo. It was taller than she expected.,failed,it,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.958357|-7.6957626|-11.128014|-9.500694|-10.708244|-9.283714|-7.093132|-8.696053|-8.117477|-7.4578857|-11.606201|-14.612923|-9.186295|-11.05983|-11.767868|-9.387527|-11.328411|-11.610313|-12.679298,-78.95316700000001,11
3_bear_failed,Carol failed to see a bear at the zoo. It's not a big deal.,failed,subj,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-7.958357|-7.6957626|-11.128014|-9.500694|-10.708244|-9.283714|-7.093132|-8.696053|-8.117477|-7.4578857|-11.606201|-14.612923|-11.214737|-8.228661|-8.734047|-6.853653|-13.584625|-11.818771|-12.653023,-75.04741700000001,11
4_book_affirmative,Susan published a book and it is a real page-turner.,affirmative,it,Susan|##published|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-11.559263|-8.415894|-8.463844|-8.377846|-7.6917267|-9.489403|-9.307014|-8.681351|-7.7832108|-7.253311|-10.906738|-18.24509|-11.446495|-11.306519|-12.575821,-94.4191318,5
4_book_affirmative,Susan published a book and it's not a big deal.,affirmative,subj,Susan|##published|##a|##book|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.559263|-8.415894|-8.463844|-8.377846|-7.6917267|-9.489403|-11.010971|-7.1288986|-8.554443|-7.984955|-12.165039|-11.611496|-12.633087,-67.9452056,5
4_book_negated,Susan didn't publish a book and it is a real page-turner.,negated,it,Susan|##didn|'t|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-11.559263|-14.715042|-10.882751|-12.715828|-9.542213|-8.100937|-7.548935|-10.20182|-9.496033|-8.196587|-7.649666|-6.888321|-9.590157|-18.270782|-11.7428055|-11.007019|-12.628906,-93.0431905,7
4_book_negated,Susan didn't publish a book and it's not a big deal.,negated,subj,Susan|##didn|'t|##publish|##a|##book|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.559263|-14.715042|-10.882751|-12.715828|-9.542213|-8.100937|-7.548935|-10.20182|-10.958618|-7.457855|-8.337372|-7.7407684|-12.597618|-11.242233|-12.718353,-68.5362844,7
4_book_know,I know that Susan published a book. It is a real page-turner.,know,it,I|##know|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-8.348755|-9.8203125|-9.077026|-8.693649|-11.165817|-14.137672|-9.160843|-8.548416|-7.409012|-7.178673|-10.322212|-17.787495|-11.866882|-11.115128|-12.858368,-97.52633300000001,8
4_book_know,I know that Susan published a book. It's not a big deal.,know,subj,I|##know|##that|##Susan|##published|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-8.348755|-9.8203125|-9.077026|-8.693649|-11.165817|-14.137672|-11.717644|-7.3756027|-8.266632|-7.824234|-13.26503|-11.501358|-12.931725,-74.0881727,8
4_book_doubt,I doubt that Susan published a book. It is a real page-turner.,doubt,it,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-8.092445|-9.470276|-9.229446|-8.442566|-11.443451|-14.9344635|-9.839928|-8.493042|-8.004547|-7.0799637|-9.944771|-17.810257|-12.128151|-11.087662|-12.852844,-99.3227852,8
4_book_doubt,I doubt that Susan published a book. It's not a big deal.,doubt,subj,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-8.092445|-9.470276|-9.229446|-8.442566|-11.443451|-14.9344635|-12.183273|-7.636078|-8.492043|-8.294968|-13.620941|-11.5286255|-12.97113,-76.690392,8
4_book_modal,Susan wants to publish a book and it is a real page-turner.,modal,it,Susan|##wants|##to|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-11.559263|-12.380867|-8.816895|-11.138535|-8.893608|-8.053787|-7.5167923|-9.761864|-8.922569|-8.237869|-7.3126373|-7.002983|-9.298302|-18.40342|-11.588753|-10.688873|-12.45916,-91.2172703,7
4_book_modal,Susan wants to publish a book and it's not a big deal.,modal,subj,Susan|##wants|##to|##publish|##a|##book|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.559263|-12.380867|-8.816895|-11.138535|-8.893608|-8.053787|-7.5167923|-9.761864|-10.605705|-7.274399|-8.277878|-7.448784|-12.000504|-11.364944|-12.521904,-66.734078,7
4_book_managed,Susan managed to write a book. It is a real page-turner.,managed,it,Susan|##managed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-11.559263|-11.269215|-9.106491|-11.074379|-8.703697|-7.8409195|-11.379265|-12.510048|-9.200867|-8.434067|-7.7395477|-7.8666077|-10.473282|-18.151154|-11.683205|-11.495377|-12.613342,-97.55415540000001,7
4_book_managed,Susan managed to write a book. It's not a big deal.,managed,subj,Susan|##managed|##to|##write|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.559263|-11.269215|-9.106491|-11.074379|-8.703697|-7.8409195|-11.379265|-12.510048|-11.61969|-7.502121|-8.581062|-7.8812256|-12.937355|-12.058533|-12.6840515,-73.0900346,7
4_book_failed,Susan failed to write a book. It is a real page-turner.,failed,it,Susan|##failed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-11.559263|-10.3498|-9.272476|-10.899559|-9.021912|-8.155579|-11.275841|-14.405914|-9.336136|-8.544243|-8.544601|-7.8289337|-9.901543|-17.730831|-11.950134|-11.294632|-12.539192,-99.53696769999999,7
4_book_failed,Susan failed to write a book. It's not a big deal.,failed,subj,Susan|##failed|##to|##write|##a|##book|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.559263|-10.3498|-9.272476|-10.899559|-9.021912|-8.155579|-11.275841|-14.405914|-11.870132|-7.879135|-8.863472|-8.223465|-13.290039|-11.83905|-12.675972,-76.371207,7
5_shirt_affirmative,Mary found a shirt at the store and it looks amazing on her.,affirmative,it,Mary|##found|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-10.624546|-9.174278|-8.416077|-7.4352493|-9.483288|-8.441521|-7.1777573|-7.6759567|-10.173607|-12.631401|-11.3162|-10.224007|-8.490402|-11.140121|-12.562088,-63.975738,8
5_shirt_affirmative,Mary found a shirt at the store and it's not a big deal.,affirmative,subj,Mary|##found|##a|##shirt|##at|##the|##store|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-10.624546|-9.174278|-8.416077|-7.4352493|-9.483288|-8.441521|-7.1777573|-7.6759567|-10.173607|-10.397224|-7.669922|-8.064743|-8.065247|-12.295425|-11.635193|-12.641243,-68.301361,8
5_shirt_negated,Mary didn't find a shirt at the store and it looks amazing on her.,negated,it,Mary|##didn|'t|##find|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-10.624546|-14.175858|-10.691528|-11.274826|-8.897545|-7.087227|-9.338028|-8.175735|-8.082733|-7.5181274|-10.473518|-13.0214615|-11.337532|-9.754845|-8.40107|-10.805237|-12.609024,-63.7936635,10
5_shirt_negated,Mary didn't find a shirt at the store and it's not a big deal.,negated,subj,Mary|##didn|'t|##find|##a|##shirt|##at|##the|##store|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-10.624546|-14.175858|-10.691528|-11.274826|-8.897545|-7.087227|-9.338028|-8.175735|-8.082733|-7.5181274|-10.473518|-10.864655|-7.8190613|-8.582214|-8.014328|-12.544075|-11.270248|-12.660027,-69.5680993,10
5_shirt_know,I know that Mary found a shirt at the store. It looks amazing on her.,know,it,I|##know|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|##looks|##amazing|##on|##her|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.461792|-9.71521|-8.455109|-7.8139267|-8.987473|-8.220291|-8.089615|-10.827972|-14.782265|-12.313934|-11.5494|-9.7604065|-8.460167|-10.677948|-12.710709,-67.54412049999999,11
5_shirt_know,I know that Mary found a shirt at the store. It's not a big deal.,know,subj,I|##know|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.461792|-9.71521|-8.455109|-7.8139267|-8.987473|-8.220291|-8.089615|-10.827972|-14.782265|-11.464027|-7.770767|-8.296715|-7.980606|-13.062508|-11.221619|-12.770088,-74.578507,11
5_shirt_doubt,I doubt that Mary found a shirt at the store. It looks amazing on her.,doubt,it,I|##doubt|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|##looks|##amazing|##on|##her|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-6.1407623|-10.146843|-8.935318|-7.170166|-8.957596|-7.965103|-8.188484|-11.0746|-14.777832|-12.098335|-11.934746|-9.652611|-8.328888|-10.771378|-12.680214,-67.56379,11
5_shirt_doubt,I doubt that Mary found a shirt at the store. It's not a big deal.,doubt,subj,I|##doubt|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-6.1407623|-10.146843|-8.935318|-7.170166|-8.957596|-7.965103|-8.188484|-11.0746|-14.777832|-11.795479|-7.9368744|-8.573761|-7.708832|-13.395424|-11.320618|-12.759979,-75.50882039999999,11
5_shirt_modal,Mary wants to find a shirt at the store and it looks amazing on her.,modal,it,Mary|##wants|##to|##find|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-10.624546|-12.489601|-8.930542|-10.627434|-8.563705|-7.5217285|-8.703873|-7.9942245|-7.1461105|-7.303772|-10.117889|-12.529266|-11.443611|-9.806442|-8.437927|-10.735062|-12.458282,-63.07019700000001,10
5_shirt_modal,Mary wants to find a shirt at the store and it's not a big deal.,modal,subj,Mary|##wants|##to|##find|##a|##shirt|##at|##the|##store|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-10.624546|-12.489601|-8.930542|-10.627434|-8.563705|-7.5217285|-8.703873|-7.9942245|-7.1461105|-7.303772|-10.117889|-10.393593|-7.3980865|-8.237427|-8.7524185|-12.123215|-11.2247925|-12.474442,-68.2474215,10
5_shirt_managed,Mary managed to find a shirt at the store. It looks amazing on her.,managed,it,Mary|##managed|##to|##find|##a|##shirt|##at|##the|##store|.|##It|##looks|##amazing|##on|##her|.|<|endoftext|>,-10.624546|-11.198399|-9.027107|-10.603737|-8.54245|-7.424965|-9.163689|-8.184448|-7.534958|-11.523514|-15.237343|-12.384399|-11.348892|-10.083359|-8.757957|-11.29895|-12.559883,-69.1109,10
