pair_id,sentence,type,pronoun,preferred,noun,verb
0,James owned a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,own
51,Jessica didn't kick a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,kick
52,Barbara kicked a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,kick
52,Barbara didn't kick a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,kick
53,Barbara kicked a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,kick
53,Barbara didn't kick a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,kick
54,Barbara kicked a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,kick
54,Barbara didn't kick a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,kick
55,Barbara kicked a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,kick
55,Barbara didn't kick a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,kick
56,Barbara kicked a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,kick
56,Barbara didn't kick a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,kick
57,Barbara kicked a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,kick
57,Barbara didn't kick a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,kick
58,Susan kicked a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,kick
58,Susan didn't kick a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,kick
59,Susan kicked a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,kick
59,Susan didn't kick a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,kick
60,Barbara brought a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,bring
60,Barbara didn't bring a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,bring
61,Barbara brought a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,bring
61,Barbara didn't bring a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,bring
62,Susan brought a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,bring
62,Susan didn't bring a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,bring
63,Susan brought a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,bring
63,Susan didn't bring a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,bring
64,James brought a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,bring
64,James didn't bring a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,bring
65,James brought a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,bring
65,James didn't bring a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,bring
66,Linda brought a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,bring
66,Linda didn't bring a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,bring
67,Linda brought a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,bring
67,Linda didn't bring a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,bring
68,Joseph brought a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,bring
68,Joseph didn't bring a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,bring
69,Joseph brought a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,bring
69,Joseph didn't bring a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,bring
70,James brought a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,bring
70,James didn't bring a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,bring
71,James brought a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,bring
71,James didn't bring a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,bring
72,Nancy brought a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,bring
72,Nancy didn't bring a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,bring
73,Nancy brought a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,bring
73,Nancy didn't bring a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,bring
74,James brought a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,bring
74,James didn't bring a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,bring
75,James brought a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,bring
75,James didn't bring a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,bring
76,James brought a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,bring
76,James didn't bring a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,bring
77,James brought a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,bring
77,James didn't bring a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,bring
78,Karen brought a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,bring
78,Karen didn't bring a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,bring
79,Karen brought a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,bring
79,Karen didn't bring a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,bring
80,Elizabeth got a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,get
80,Elizabeth didn't get a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,get
81,Elizabeth got a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,get
81,Elizabeth didn't get a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,get
82,Bob got a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,get
82,Bob didn't get a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,get
83,Bob got a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,get
83,Bob didn't get a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,get
84,Thomas got a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,get
84,Thomas didn't get a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,get
85,Thomas got a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,get
85,Thomas didn't get a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,get
86,Bob got a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,get
86,Bob didn't get a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,get
87,Bob got a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,get
87,Bob didn't get a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,get
88,Joseph got a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,get
88,Joseph didn't get a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,get
89,Joseph got a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,get
89,Joseph didn't get a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,get
90,James got a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,get
90,James didn't get a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,get
91,James got a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,get
91,James didn't get a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,get
92,Michael got a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,get
92,Michael didn't get a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,get
93,Michael got a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,get
93,Michael didn't get a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,get
94,Jennifer got a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,get
94,Jennifer didn't get a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,get
95,Jennifer got a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,get
95,Jennifer didn't get a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,get
96,James got a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,get
96,James didn't get a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,get
97,James got a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,get
97,James didn't get a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,get
98,Karen got a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,get
98,Karen didn't get a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,get
99,Karen got a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,get
99,Karen didn't get a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,get
100,Chris bought a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,buy
100,Chris didn't buy a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,buy
101,Chris bought a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,buy
101,Chris didn't buy a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,buy
102,Susan bought a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,buy
102,Susan didn't buy a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,buy
103,Susan bought a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,buy
103,Susan didn't buy a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,buy
104,Jennifer bought a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,buy
104,Jennifer didn't buy a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,buy
105,Jennifer bought a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,buy
105,Jennifer didn't buy a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,buy
106,Nancy bought a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,buy
106,Nancy didn't buy a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,buy
107,Nancy bought a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,buy
107,Nancy didn't buy a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,buy
108,Sarah bought a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,buy
108,Sarah didn't buy a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,buy
109,Sarah bought a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,buy
109,Sarah didn't buy a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,buy
110,Bill bought a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,buy
110,Bill didn't buy a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,buy
111,Bill bought a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,buy
111,Bill didn't buy a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,buy
112,Sarah bought a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,buy
112,Sarah didn't buy a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,buy
113,Sarah bought a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,buy
113,Sarah didn't buy a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,buy
114,David bought a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,buy
114,David didn't buy a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,buy
115,David bought a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,buy
115,David didn't buy a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,buy
116,Richard bought a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,buy
116,Richard didn't buy a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,buy
117,Richard bought a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,buy
117,Richard didn't buy a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,buy
118,Nancy bought a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,buy
118,Nancy didn't buy a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,buy
119,Nancy bought a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,buy
119,Nancy didn't buy a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,buy
120,John mentioned a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,mention
120,John didn't mention a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,mention
121,John mentioned a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,mention
121,John didn't mention a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,mention
122,Sarah mentioned a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,mention
122,Sarah didn't mention a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,mention
123,Sarah mentioned a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,mention
123,Sarah didn't mention a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,mention
124,Jessica mentioned a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,mention
124,Jessica didn't mention a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,mention
125,Jessica mentioned a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,mention
125,Jessica didn't mention a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,mention
126,Bill mentioned a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,mention
126,Bill didn't mention a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,mention
127,Bill mentioned a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,mention
127,Bill didn't mention a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,mention
128,Jennifer mentioned a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,mention
128,Jennifer didn't mention a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,mention
129,Jennifer mentioned a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,mention
129,Jennifer didn't mention a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,mention
130,Thomas mentioned a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,mention
130,Thomas didn't mention a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,mention
131,Thomas mentioned a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,mention
131,Thomas didn't mention a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,mention
132,Bob mentioned a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,mention
132,Bob didn't mention a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,mention
133,Bob mentioned a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,mention
133,Bob didn't mention a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,mention
134,Susan mentioned a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,mention
134,Susan didn't mention a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,mention
135,Susan mentioned a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,mention
135,Susan didn't mention a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,mention
136,Bill mentioned a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,mention
136,Bill didn't mention a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,mention
137,Bill mentioned a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,mention
137,Bill didn't mention a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,mention
138,Chris mentioned a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,mention
138,Chris didn't mention a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,mention
139,Chris mentioned a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,mention
139,Chris didn't mention a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,mention
140,Nancy visited a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,visit
140,Nancy didn't visit a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,visit
141,Nancy visited a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,visit
141,Nancy didn't visit a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,visit
142,Jennifer visited a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,visit
142,Jennifer didn't visit a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,visit
143,Jennifer visited a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,visit
143,Jennifer didn't visit a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,visit
144,Nancy visited a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,visit
144,Nancy didn't visit a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,visit
145,Nancy visited a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,visit
145,Nancy didn't visit a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,visit
146,Jessica visited a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,visit
146,Jessica didn't visit a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,visit
147,Jessica visited a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,visit
147,Jessica didn't visit a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,visit
148,Barbara visited a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,visit
148,Barbara didn't visit a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,visit
149,Barbara visited a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,visit
149,Barbara didn't visit a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,visit
150,Nancy visited a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,visit
150,Nancy didn't visit a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,visit
151,Nancy visited a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,visit
151,Nancy didn't visit a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,visit
152,Nancy visited a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,visit
152,Nancy didn't visit a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,visit
153,Nancy visited a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,visit
153,Nancy didn't visit a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,visit
154,Bill visited a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,visit
154,Bill didn't visit a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,visit
155,Bill visited a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,visit
155,Bill didn't visit a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,visit
156,Thomas visited a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,visit
156,Thomas didn't visit a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,visit
