sentence,type,pronoun,preferred
Nancy owned a dog. It liked to swim in lakes.,negation,1,1
Nancy didn't own a dog. It liked to swim in lakes.,negation,1,0
Susan owned a dog. The dog loved cheese.,negation,0,1
Susan didn't own a dog. The dog loved cheese.,negation,0,0
Susan owned a dog. It loved cheese.,negation,1,1
Susan didn't own a dog. It loved cheese.,negation,1,0
Michael saw a dog. The dog had a long tail.,negation,0,1
Michael didn't see a dog. The dog had a long tail.,negation,0,0
Michael saw a dog. It had a long tail.,negation,1,1
Michael didn't see a dog. It had a long tail.,negation,1,0
Jennifer saw a dog. The dog had a red collar.,negation,0,1
Jennifer didn't see a dog. The dog had a red collar.,negation,0,0
Jennifer saw a dog. It had a red collar.,negation,1,1
Jennifer didn't see a dog. It had a red collar.,negation,1,0
Jessica saw a dog. The dog had a blind eye.,negation,0,1
Jessica didn't see a dog. The dog had a blind eye.,negation,0,0
Jessica saw a dog. It had a blind eye.,negation,1,1
Jessica didn't see a dog. It had a blind eye.,negation,1,0
Michael saw a dog. The dog had a shrill voice.,negation,0,1
Michael didn't see a dog. The dog had a shrill voice.,negation,0,0
Michael saw a dog. It had a shrill voice.,negation,1,1
Michael didn't see a dog. It had a shrill voice.,negation,1,0
Nancy saw a dog. The dog had a colorful back.,negation,0,1
Nancy didn't see a dog. The dog had a colorful back.,negation,0,0
Nancy saw a dog. It had a colorful back.,negation,1,1
Nancy didn't see a dog. It had a colorful back.,negation,1,0
Richard saw a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Richard didn't see a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Richard saw a dog. It enjoyed frolicking in the forest.,negation,1,1
Richard didn't see a dog. It enjoyed frolicking in the forest.,negation,1,0
James saw a dog. The dog preferred fish over other food.,negation,0,1
James didn't see a dog. The dog preferred fish over other food.,negation,0,0
James saw a dog. It preferred fish over other food.,negation,1,1
James didn't see a dog. It preferred fish over other food.,negation,1,0
John saw a dog. The dog's name was Fido.,negation,0,1
John didn't see a dog. The dog's name was Fido.,negation,0,0
John saw a dog. Its name was Fido.,negation,1,1
John didn't see a dog. Its name was Fido.,negation,1,0
John saw a dog. The dog liked to swim in lakes.,negation,0,1
John didn't see a dog. The dog liked to swim in lakes.,negation,0,0
John saw a dog. It liked to swim in lakes.,negation,1,1
John didn't see a dog. It liked to swim in lakes.,negation,1,0
Linda saw a dog. The dog loved cheese.,negation,0,1
Linda didn't see a dog. The dog loved cheese.,negation,0,0
Linda saw a dog. It loved cheese.,negation,1,1
Linda didn't see a dog. It loved cheese.,negation,1,0
Jennifer kicked a dog. The dog had a long tail.,negation,0,1
Jennifer didn't kick a dog. The dog had a long tail.,negation,0,0
Jennifer kicked a dog. It had a long tail.,negation,1,1
Jennifer didn't kick a dog. It had a long tail.,negation,1,0
Thomas kicked a dog. The dog had a red collar.,negation,0,1
Thomas didn't kick a dog. The dog had a red collar.,negation,0,0
Thomas kicked a dog. It had a red collar.,negation,1,1
Thomas didn't kick a dog. It had a red collar.,negation,1,0
Karen kicked a dog. The dog had a blind eye.,negation,0,1
Karen didn't kick a dog. The dog had a blind eye.,negation,0,0
Karen kicked a dog. It had a blind eye.,negation,1,1
Karen didn't kick a dog. It had a blind eye.,negation,1,0
Jennifer kicked a dog. The dog had a shrill voice.,negation,0,1
Jennifer didn't kick a dog. The dog had a shrill voice.,negation,0,0
Jennifer kicked a dog. It had a shrill voice.,negation,1,1
Jennifer didn't kick a dog. It had a shrill voice.,negation,1,0
Joseph kicked a dog. The dog had a colorful back.,negation,0,1
Joseph didn't kick a dog. The dog had a colorful back.,negation,0,0
Joseph kicked a dog. It had a colorful back.,negation,1,1
Joseph didn't kick a dog. It had a colorful back.,negation,1,0
Bob kicked a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Bob didn't kick a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Bob kicked a dog. It enjoyed frolicking in the forest.,negation,1,1
Bob didn't kick a dog. It enjoyed frolicking in the forest.,negation,1,0
Bob kicked a dog. The dog preferred fish over other food.,negation,0,1
Bob didn't kick a dog. The dog preferred fish over other food.,negation,0,0
Bob kicked a dog. It preferred fish over other food.,negation,1,1
Bob didn't kick a dog. It preferred fish over other food.,negation,1,0
Mary kicked a dog. The dog's name was Fido.,negation,0,1
Mary didn't kick a dog. The dog's name was Fido.,negation,0,0
Mary kicked a dog. Its name was Fido.,negation,1,1
Mary didn't kick a dog. Its name was Fido.,negation,1,0
Elizabeth kicked a dog. The dog liked to swim in lakes.,negation,0,1
Elizabeth didn't kick a dog. The dog liked to swim in lakes.,negation,0,0
Elizabeth kicked a dog. It liked to swim in lakes.,negation,1,1
Elizabeth didn't kick a dog. It liked to swim in lakes.,negation,1,0
Barbara kicked a dog. The dog loved cheese.,negation,0,1
Barbara didn't kick a dog. The dog loved cheese.,negation,0,0
Barbara kicked a dog. It loved cheese.,negation,1,1
Barbara didn't kick a dog. It loved cheese.,negation,1,0
Jennifer brought a dog. The dog had a long tail.,negation,0,1
Jennifer didn't bring a dog. The dog had a long tail.,negation,0,0
Jennifer brought a dog. It had a long tail.,negation,1,1
Jennifer didn't bring a dog. It had a long tail.,negation,1,0
Thomas brought a dog. The dog had a red collar.,negation,0,1
Thomas didn't bring a dog. The dog had a red collar.,negation,0,0
Thomas brought a dog. It had a red collar.,negation,1,1
Thomas didn't bring a dog. It had a red collar.,negation,1,0
John brought a dog. The dog had a blind eye.,negation,0,1
John didn't bring a dog. The dog had a blind eye.,negation,0,0
John brought a dog. It had a blind eye.,negation,1,1
John didn't bring a dog. It had a blind eye.,negation,1,0
David brought a dog. The dog had a shrill voice.,negation,0,1
David didn't bring a dog. The dog had a shrill voice.,negation,0,0
David brought a dog. It had a shrill voice.,negation,1,1
David didn't bring a dog. It had a shrill voice.,negation,1,0
Chris brought a dog. The dog had a colorful back.,negation,0,1
Chris didn't bring a dog. The dog had a colorful back.,negation,0,0
Chris brought a dog. It had a colorful back.,negation,1,1
Chris didn't bring a dog. It had a colorful back.,negation,1,0
Jessica brought a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Jessica didn't bring a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Jessica brought a dog. It enjoyed frolicking in the forest.,negation,1,1
Jessica didn't bring a dog. It enjoyed frolicking in the forest.,negation,1,0
David brought a dog. The dog preferred fish over other food.,negation,0,1
David didn't bring a dog. The dog preferred fish over other food.,negation,0,0
David brought a dog. It preferred fish over other food.,negation,1,1
David didn't bring a dog. It preferred fish over other food.,negation,1,0
Linda brought a dog. The dog's name was Fido.,negation,0,1
Linda didn't bring a dog. The dog's name was Fido.,negation,0,0
Linda brought a dog. Its name was Fido.,negation,1,1
Linda didn't bring a dog. Its name was Fido.,negation,1,0
Barbara brought a dog. The dog liked to swim in lakes.,negation,0,1
Barbara didn't bring a dog. The dog liked to swim in lakes.,negation,0,0
Barbara brought a dog. It liked to swim in lakes.,negation,1,1
Barbara didn't bring a dog. It liked to swim in lakes.,negation,1,0
Barbara brought a dog. The dog loved cheese.,negation,0,1
Barbara didn't bring a dog. The dog loved cheese.,negation,0,0
Barbara brought a dog. It loved cheese.,negation,1,1
Barbara didn't bring a dog. It loved cheese.,negation,1,0
Susan got a dog. The dog had a long tail.,negation,0,1
Susan didn't get a dog. The dog had a long tail.,negation,0,0
Susan got a dog. It had a long tail.,negation,1,1
Susan didn't get a dog. It had a long tail.,negation,1,0
Linda got a dog. The dog had a red collar.,negation,0,1
Linda didn't get a dog. The dog had a red collar.,negation,0,0
Linda got a dog. It had a red collar.,negation,1,1
Linda didn't get a dog. It had a red collar.,negation,1,0
David got a dog. The dog had a blind eye.,negation,0,1
David didn't get a dog. The dog had a blind eye.,negation,0,0
David got a dog. It had a blind eye.,negation,1,1
David didn't get a dog. It had a blind eye.,negation,1,0
Bob got a dog. The dog had a shrill voice.,negation,0,1
Bob didn't get a dog. The dog had a shrill voice.,negation,0,0
Bob got a dog. It had a shrill voice.,negation,1,1
Bob didn't get a dog. It had a shrill voice.,negation,1,0
Sarah got a dog. The dog had a colorful back.,negation,0,1
Sarah didn't get a dog. The dog had a colorful back.,negation,0,0
Sarah got a dog. It had a colorful back.,negation,1,1
Sarah didn't get a dog. It had a colorful back.,negation,1,0
Bob got a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Bob didn't get a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Bob got a dog. It enjoyed frolicking in the forest.,negation,1,1
Bob didn't get a dog. It enjoyed frolicking in the forest.,negation,1,0
Thomas got a dog. The dog preferred fish over other food.,negation,0,1
Thomas didn't get a dog. The dog preferred fish over other food.,negation,0,0
Thomas got a dog. It preferred fish over other food.,negation,1,1
Thomas didn't get a dog. It preferred fish over other food.,negation,1,0
Bill got a dog. The dog's name was Fido.,negation,0,1
Bill didn't get a dog. The dog's name was Fido.,negation,0,0
Bill got a dog. Its name was Fido.,negation,1,1
Bill didn't get a dog. Its name was Fido.,negation,1,0
Mary got a dog. The dog liked to swim in lakes.,negation,0,1
Mary didn't get a dog. The dog liked to swim in lakes.,negation,0,0
Mary got a dog. It liked to swim in lakes.,negation,1,1
Mary didn't get a dog. It liked to swim in lakes.,negation,1,0
Nancy got a dog. The dog loved cheese.,negation,0,1
Nancy didn't get a dog. The dog loved cheese.,negation,0,0
Nancy got a dog. It loved cheese.,negation,1,1
Nancy didn't get a dog. It loved cheese.,negation,1,0
Sarah bought a dog. The dog had a long tail.,negation,0,1
Sarah didn't buy a dog. The dog had a long tail.,negation,0,0
Sarah bought a dog. It had a long tail.,negation,1,1
Sarah didn't buy a dog. It had a long tail.,negation,1,0
Nancy bought a dog. The dog had a red collar.,negation,0,1
Nancy didn't buy a dog. The dog had a red collar.,negation,0,0
Nancy bought a dog. It had a red collar.,negation,1,1
Nancy didn't buy a dog. It had a red collar.,negation,1,0
Michael bought a dog. The dog had a blind eye.,negation,0,1
Michael didn't buy a dog. The dog had a blind eye.,negation,0,0
Michael bought a dog. It had a blind eye.,negation,1,1
Michael didn't buy a dog. It had a blind eye.,negation,1,0
Barbara bought a dog. The dog had a shrill voice.,negation,0,1
Barbara didn't buy a dog. The dog had a shrill voice.,negation,0,0
Barbara bought a dog. It had a shrill voice.,negation,1,1
Barbara didn't buy a dog. It had a shrill voice.,negation,1,0
Linda bought a dog. The dog had a colorful back.,negation,0,1
Linda didn't buy a dog. The dog had a colorful back.,negation,0,0
Linda bought a dog. It had a colorful back.,negation,1,1
Linda didn't buy a dog. It had a colorful back.,negation,1,0
Michael bought a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Michael didn't buy a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Michael bought a dog. It enjoyed frolicking in the forest.,negation,1,1
Michael didn't buy a dog. It enjoyed frolicking in the forest.,negation,1,0
Joseph bought a dog. The dog preferred fish over other food.,negation,0,1
Joseph didn't buy a dog. The dog preferred fish over other food.,negation,0,0
Joseph bought a dog. It preferred fish over other food.,negation,1,1
Joseph didn't buy a dog. It preferred fish over other food.,negation,1,0
Jennifer bought a dog. The dog's name was Fido.,negation,0,1
Jennifer didn't buy a dog. The dog's name was Fido.,negation,0,0
Jennifer bought a dog. Its name was Fido.,negation,1,1
Jennifer didn't buy a dog. Its name was Fido.,negation,1,0
Linda bought a dog. The dog liked to swim in lakes.,negation,0,1
Linda didn't buy a dog. The dog liked to swim in lakes.,negation,0,0
Linda bought a dog. It liked to swim in lakes.,negation,1,1
Linda didn't buy a dog. It liked to swim in lakes.,negation,1,0
Thomas bought a dog. The dog loved cheese.,negation,0,1
Thomas didn't buy a dog. The dog loved cheese.,negation,0,0
Thomas bought a dog. It loved cheese.,negation,1,1
Thomas didn't buy a dog. It loved cheese.,negation,1,0
Linda mentioned a dog. The dog had a long tail.,negation,0,1
Linda didn't mention a dog. The dog had a long tail.,negation,0,0
Linda mentioned a dog. It had a long tail.,negation,1,1
Linda didn't mention a dog. It had a long tail.,negation,1,0
David mentioned a dog. The dog had a red collar.,negation,0,1
David didn't mention a dog. The dog had a red collar.,negation,0,0
David mentioned a dog. It had a red collar.,negation,1,1
David didn't mention a dog. It had a red collar.,negation,1,0
Nancy mentioned a dog. The dog had a blind eye.,negation,0,1
Nancy didn't mention a dog. The dog had a blind eye.,negation,0,0
Nancy mentioned a dog. It had a blind eye.,negation,1,1
Nancy didn't mention a dog. It had a blind eye.,negation,1,0
Elizabeth mentioned a dog. The dog had a shrill voice.,negation,0,1
Elizabeth didn't mention a dog. The dog had a shrill voice.,negation,0,0
Elizabeth mentioned a dog. It had a shrill voice.,negation,1,1
Elizabeth didn't mention a dog. It had a shrill voice.,negation,1,0
Sarah mentioned a dog. The dog had a colorful back.,negation,0,1
Sarah didn't mention a dog. The dog had a colorful back.,negation,0,0
Sarah mentioned a dog. It had a colorful back.,negation,1,1
Sarah didn't mention a dog. It had a colorful back.,negation,1,0
Barbara mentioned a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Barbara didn't mention a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Barbara mentioned a dog. It enjoyed frolicking in the forest.,negation,1,1
Barbara didn't mention a dog. It enjoyed frolicking in the forest.,negation,1,0
Chris mentioned a dog. The dog preferred fish over other food.,negation,0,1
Chris didn't mention a dog. The dog preferred fish over other food.,negation,0,0
Chris mentioned a dog. It preferred fish over other food.,negation,1,1
Chris didn't mention a dog. It preferred fish over other food.,negation,1,0
Bob mentioned a dog. The dog's name was Fido.,negation,0,1
Bob didn't mention a dog. The dog's name was Fido.,negation,0,0
Bob mentioned a dog. Its name was Fido.,negation,1,1
Bob didn't mention a dog. Its name was Fido.,negation,1,0
Bill mentioned a dog. The dog liked to swim in lakes.,negation,0,1
Bill didn't mention a dog. The dog liked to swim in lakes.,negation,0,0
Bill mentioned a dog. It liked to swim in lakes.,negation,1,1
Bill didn't mention a dog. It liked to swim in lakes.,negation,1,0
Linda mentioned a dog. The dog loved cheese.,negation,0,1
Linda didn't mention a dog. The dog loved cheese.,negation,0,0
Linda mentioned a dog. It loved cheese.,negation,1,1
Linda didn't mention a dog. It loved cheese.,negation,1,0
Nancy visited a dog. The dog had a long tail.,negation,0,1
Nancy didn't visit a dog. The dog had a long tail.,negation,0,0
Nancy visited a dog. It had a long tail.,negation,1,1
Nancy didn't visit a dog. It had a long tail.,negation,1,0
Karen visited a dog. The dog had a red collar.,negation,0,1
Karen didn't visit a dog. The dog had a red collar.,negation,0,0
Karen visited a dog. It had a red collar.,negation,1,1
Karen didn't visit a dog. It had a red collar.,negation,1,0
John visited a dog. The dog had a blind eye.,negation,0,1
John didn't visit a dog. The dog had a blind eye.,negation,0,0
John visited a dog. It had a blind eye.,negation,1,1
John didn't visit a dog. It had a blind eye.,negation,1,0
David visited a dog. The dog had a shrill voice.,negation,0,1
David didn't visit a dog. The dog had a shrill voice.,negation,0,0
David visited a dog. It had a shrill voice.,negation,1,1
David didn't visit a dog. It had a shrill voice.,negation,1,0
Sarah visited a dog. The dog had a colorful back.,negation,0,1
Sarah didn't visit a dog. The dog had a colorful back.,negation,0,0
Sarah visited a dog. It had a colorful back.,negation,1,1
Sarah didn't visit a dog. It had a colorful back.,negation,1,0
Richard visited a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Richard didn't visit a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Richard visited a dog. It enjoyed frolicking in the forest.,negation,1,1
Richard didn't visit a dog. It enjoyed frolicking in the forest.,negation,1,0
Michael visited a dog. The dog preferred fish over other food.,negation,0,1
Michael didn't visit a dog. The dog preferred fish over other food.,negation,0,0
Michael visited a dog. It preferred fish over other food.,negation,1,1
Michael didn't visit a dog. It preferred fish over other food.,negation,1,0
Elizabeth visited a dog. The dog's name was Fido.,negation,0,1
Elizabeth didn't visit a dog. The dog's name was Fido.,negation,0,0
Elizabeth visited a dog. Its name was Fido.,negation,1,1
Elizabeth didn't visit a dog. Its name was Fido.,negation,1,0
James visited a dog. The dog liked to swim in lakes.,negation,0,1
James didn't visit a dog. The dog liked to swim in lakes.,negation,0,0
James visited a dog. It liked to swim in lakes.,negation,1,1
James didn't visit a dog. It liked to swim in lakes.,negation,1,0
Jennifer visited a dog. The dog loved cheese.,negation,0,1
Jennifer didn't visit a dog. The dog loved cheese.,negation,0,0
Jennifer visited a dog. It loved cheese.,negation,1,1
Jennifer didn't visit a dog. It loved cheese.,negation,1,0
Nancy met a dog. The dog had a long tail.,negation,0,1
Nancy didn't meet a dog. The dog had a long tail.,negation,0,0
Nancy met a dog. It had a long tail.,negation,1,1
Nancy didn't meet a dog. It had a long tail.,negation,1,0
Mary met a dog. The dog had a red collar.,negation,0,1
Mary didn't meet a dog. The dog had a red collar.,negation,0,0
Mary met a dog. It had a red collar.,negation,1,1
Mary didn't meet a dog. It had a red collar.,negation,1,0
David met a dog. The dog had a blind eye.,negation,0,1
David didn't meet a dog. The dog had a blind eye.,negation,0,0
David met a dog. It had a blind eye.,negation,1,1
David didn't meet a dog. It had a blind eye.,negation,1,0
Karen met a dog. The dog had a shrill voice.,negation,0,1
Karen didn't meet a dog. The dog had a shrill voice.,negation,0,0
Karen met a dog. It had a shrill voice.,negation,1,1
Karen didn't meet a dog. It had a shrill voice.,negation,1,0
Mary met a dog. The dog had a colorful back.,negation,0,1
Mary didn't meet a dog. The dog had a colorful back.,negation,0,0
Mary met a dog. It had a colorful back.,negation,1,1
Mary didn't meet a dog. It had a colorful back.,negation,1,0
Barbara met a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Barbara didn't meet a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Barbara met a dog. It enjoyed frolicking in the forest.,negation,1,1
Barbara didn't meet a dog. It enjoyed frolicking in the forest.,negation,1,0
Barbara met a dog. The dog preferred fish over other food.,negation,0,1
Barbara didn't meet a dog. The dog preferred fish over other food.,negation,0,0
Barbara met a dog. It preferred fish over other food.,negation,1,1
Barbara didn't meet a dog. It preferred fish over other food.,negation,1,0
Jennifer met a dog. The dog's name was Fido.,negation,0,1
Jennifer didn't meet a dog. The dog's name was Fido.,negation,0,0
Jennifer met a dog. Its name was Fido.,negation,1,1
Jennifer didn't meet a dog. Its name was Fido.,negation,1,0
Bill met a dog. The dog liked to swim in lakes.,negation,0,1
Bill didn't meet a dog. The dog liked to swim in lakes.,negation,0,0
Bill met a dog. It liked to swim in lakes.,negation,1,1
Bill didn't meet a dog. It liked to swim in lakes.,negation,1,0
Sarah met a dog. The dog loved cheese.,negation,0,1
Sarah didn't meet a dog. The dog loved cheese.,negation,0,0
Sarah met a dog. It loved cheese.,negation,1,1
Sarah didn't meet a dog. It loved cheese.,negation,1,0
Mary adopt a dog. The dog had a long tail.,negation,0,1
Mary didn't adopt a dog. The dog had a long tail.,negation,0,0
Mary adopt a dog. It had a long tail.,negation,1,1
Mary didn't adopt a dog. It had a long tail.,negation,1,0
Jessica adopt a dog. The dog had a red collar.,negation,0,1
Jessica didn't adopt a dog. The dog had a red collar.,negation,0,0
Jessica adopt a dog. It had a red collar.,negation,1,1
Jessica didn't adopt a dog. It had a red collar.,negation,1,0
Jessica adopt a dog. The dog had a blind eye.,negation,0,1
Jessica didn't adopt a dog. The dog had a blind eye.,negation,0,0
Jessica adopt a dog. It had a blind eye.,negation,1,1
Jessica didn't adopt a dog. It had a blind eye.,negation,1,0
John adopt a dog. The dog had a shrill voice.,negation,0,1
John didn't adopt a dog. The dog had a shrill voice.,negation,0,0
John adopt a dog. It had a shrill voice.,negation,1,1
John didn't adopt a dog. It had a shrill voice.,negation,1,0
John adopt a dog. The dog had a colorful back.,negation,0,1
John didn't adopt a dog. The dog had a colorful back.,negation,0,0
John adopt a dog. It had a colorful back.,negation,1,1
John didn't adopt a dog. It had a colorful back.,negation,1,0
Bill adopt a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Bill didn't adopt a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Bill adopt a dog. It enjoyed frolicking in the forest.,negation,1,1
Bill didn't adopt a dog. It enjoyed frolicking in the forest.,negation,1,0
Barbara adopt a dog. The dog preferred fish over other food.,negation,0,1
Barbara didn't adopt a dog. The dog preferred fish over other food.,negation,0,0
Barbara adopt a dog. It preferred fish over other food.,negation,1,1
Barbara didn't adopt a dog. It preferred fish over other food.,negation,1,0
Joseph adopt a dog. The dog's name was Fido.,negation,0,1
Joseph didn't adopt a dog. The dog's name was Fido.,negation,0,0
Joseph adopt a dog. Its name was Fido.,negation,1,1
Joseph didn't adopt a dog. Its name was Fido.,negation,1,0
Jessica adopt a dog. The dog liked to swim in lakes.,negation,0,1
Jessica didn't adopt a dog. The dog liked to swim in lakes.,negation,0,0
Jessica adopt a dog. It liked to swim in lakes.,negation,1,1
Jessica didn't adopt a dog. It liked to swim in lakes.,negation,1,0
Bob adopt a dog. The dog loved cheese.,negation,0,1
Bob didn't adopt a dog. The dog loved cheese.,negation,0,0
Bob adopt a dog. It loved cheese.,negation,1,1
Bob didn't adopt a dog. It loved cheese.,negation,1,0
Elizabeth owned an aardvark. The aardvark had a long tail.,negation,0,1
Elizabeth didn't own an aardvark. The aardvark had a long tail.,negation,0,0
Elizabeth owned an aardvark. It had a long tail.,negation,1,1
Elizabeth didn't own an aardvark. It had a long tail.,negation,1,0
Elizabeth owned an aardvark. The aardvark had a red collar.,negation,0,1
Elizabeth didn't own an aardvark. The aardvark had a red collar.,negation,0,0
Elizabeth owned an aardvark. It had a red collar.,negation,1,1
Elizabeth didn't own an aardvark. It had a red collar.,negation,1,0
Jennifer owned an aardvark. The aardvark had a blind eye.,negation,0,1
Jennifer didn't own an aardvark. The aardvark had a blind eye.,negation,0,0
Jennifer owned an aardvark. It had a blind eye.,negation,1,1
Jennifer didn't own an aardvark. It had a blind eye.,negation,1,0
John owned an aardvark. The aardvark had a shrill voice.,negation,0,1
John didn't own an aardvark. The aardvark had a shrill voice.,negation,0,0
John owned an aardvark. It had a shrill voice.,negation,1,1
John didn't own an aardvark. It had a shrill voice.,negation,1,0
Mary owned an aardvark. The aardvark had a colorful back.,negation,0,1
Mary didn't own an aardvark. The aardvark had a colorful back.,negation,0,0
Mary owned an aardvark. It had a colorful back.,negation,1,1
Mary didn't own an aardvark. It had a colorful back.,negation,1,0
Sarah owned an aardvark. The aardvark enjoyed frolicking in the forest.,negation,0,1
Sarah didn't own an aardvark. The aardvark enjoyed frolicking in the forest.,negation,0,0
Sarah owned an aardvark. It enjoyed frolicking in the forest.,negation,1,1
Sarah didn't own an aardvark. It enjoyed frolicking in the forest.,negation,1,0
Jessica owned an aardvark. The aardvark preferred fish over other food.,negation,0,1
Jessica didn't own an aardvark. The aardvark preferred fish over other food.,negation,0,0
Jessica owned an aardvark. It preferred fish over other food.,negation,1,1
Jessica didn't own an aardvark. It preferred fish over other food.,negation,1,0
Chris owned an aardvark. The aardvark's name was Fido.,negation,0,1
Chris didn't own an aardvark. The aardvark's name was Fido.,negation,0,0
Chris owned an aardvark. Its name was Fido.,negation,1,1
Chris didn't own an aardvark. Its name was Fido.,negation,1,0
Bob owned an aardvark. The aardvark liked to swim in lakes.,negation,0,1
Bob didn't own an aardvark. The aardvark liked to swim in lakes.,negation,0,0
Bob owned an aardvark. It liked to swim in lakes.,negation,1,1
Bob didn't own an aardvark. It liked to swim in lakes.,negation,1,0
Bill owned an aardvark. The aardvark loved cheese.,negation,0,1
Bill didn't own an aardvark. The aardvark loved cheese.,negation,0,0
Bill owned an aardvark. It loved cheese.,negation,1,1
Bill didn't own an aardvark. It loved cheese.,negation,1,0
Karen saw an aardvark. The aardvark had a long tail.,negation,0,1
Karen didn't see an aardvark. The aardvark had a long tail.,negation,0,0
Karen saw an aardvark. It had a long tail.,negation,1,1
Karen didn't see an aardvark. It had a long tail.,negation,1,0
David saw an aardvark. The aardvark had a red collar.,negation,0,1
David didn't see an aardvark. The aardvark had a red collar.,negation,0,0
David saw an aardvark. It had a red collar.,negation,1,1
David didn't see an aardvark. It had a red collar.,negation,1,0
Joseph saw an aardvark. The aardvark had a blind eye.,negation,0,1
Joseph didn't see an aardvark. The aardvark had a blind eye.,negation,0,0
Joseph saw an aardvark. It had a blind eye.,negation,1,1
Joseph didn't see an aardvark. It had a blind eye.,negation,1,0
Barbara saw an aardvark. The aardvark had a shrill voice.,negation,0,1
Barbara didn't see an aardvark. The aardvark had a shrill voice.,negation,0,0
Barbara saw an aardvark. It had a shrill voice.,negation,1,1
Barbara didn't see an aardvark. It had a shrill voice.,negation,1,0
Karen saw an aardvark. The aardvark had a colorful back.,negation,0,1
Karen didn't see an aardvark. The aardvark had a colorful back.,negation,0,0
Karen saw an aardvark. It had a colorful back.,negation,1,1
Karen didn't see an aardvark. It had a colorful back.,negation,1,0
John saw an aardvark. The aardvark enjoyed frolicking in the forest.,negation,0,1
John didn't see an aardvark. The aardvark enjoyed frolicking in the forest.,negation,0,0
John saw an aardvark. It enjoyed frolicking in the forest.,negation,1,1
John didn't see an aardvark. It enjoyed frolicking in the forest.,negation,1,0
Chris saw an aardvark. The aardvark preferred fish over other food.,negation,0,1
Chris didn't see an aardvark. The aardvark preferred fish over other food.,negation,0,0
Chris saw an aardvark. It preferred fish over other food.,negation,1,1
Chris didn't see an aardvark. It preferred fish over other food.,negation,1,0
Jennifer saw an aardvark. The aardvark's name was Fido.,negation,0,1
Jennifer didn't see an aardvark. The aardvark's name was Fido.,negation,0,0
Jennifer saw an aardvark. Its name was Fido.,negation,1,1
Jennifer didn't see an aardvark. Its name was Fido.,negation,1,0
Thomas saw an aardvark. The aardvark liked to swim in lakes.,negation,0,1
Thomas didn't see an aardvark. The aardvark liked to swim in lakes.,negation,0,0
Thomas saw an aardvark. It liked to swim in lakes.,negation,1,1
Thomas didn't see an aardvark. It liked to swim in lakes.,negation,1,0
Susan saw an aardvark. The aardvark loved cheese.,negation,0,1
