id,sent,expected,tokens,logprobs
1_dog_negation_negation_sref,John doesn't own a dog and Mark doesn't own a dog either. The dog is very cute.,0,John| doesn|'t| own| a| dog| and| Mark| doesn|'t| own| a| dog| either|.| The| dog| is| very| cute|.,"[-9.187785, -0.5447306, -5.2640867, -0.8500852, -4.4201508, -3.0926147, -7.741535, -1.16996, -0.013097181, -0.66518044, -0.08701813, -2.238816, -1.375606, -1.0802305, -3.5649862, -2.3466973, -1.745261, -3.8300574, -2.3735025, -1.0444664]"
1_dog_negation_negation_pref,John doesn't own a dog and Mark doesn't own a dog either. The dogs are very cute.,0,John| doesn|'t| own| a| dog| and| Mark| doesn|'t| own| a| dog| either|.| The| dogs| are| very| cute|.,"[-9.187785, -0.5447306, -5.2640867, -0.8500852, -4.4201508, -3.0926147, -7.741535, -1.16996, -0.013097181, -0.66518044, -0.08701813, -2.238816, -1.375606, -1.0802305, -3.5649862, -4.509049, -1.4673696, -3.8892589, -2.9020984, -1.1979673]"
1_dog_know_doubt_sref,I know that John owns a dog but I doubt that Mark owns a dog. The dog is very cute.,1,I| know| that| John| owns| a| dog| but| I| doubt| that| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-3.9132206, -2.423523, -7.9671545, -8.8076725, -1.0114752, -5.6074243, -3.6082692, -0.7747731, -6.0859795, -1.0204959, -7.7084837, -1.6297244, -0.58905715, -1.058605, -1.295908, -3.7688165, -3.1872618, -1.274484, -3.9249423, -2.101858, -0.9423649]"
1_dog_know_doubt_pref,I know that John owns a dog but I doubt that Mark owns a dog. The dogs are very cute.,0,I| know| that| John| owns| a| dog| but| I| doubt| that| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-3.9132206, -2.423523, -7.9671545, -8.8076725, -1.0114752, -5.6074243, -3.6082692, -0.7747731, -6.0859795, -1.0204959, -7.7084837, -1.6297244, -0.58905715, -1.058605, -1.295908, -3.7688165, -5.6219234, -1.4311016, -3.674604, -2.3431923, -1.0416911]"
1_dog_two_doubt_sref,I know that John owns two dogs but I doubt that Mark owns a dog. The dog is very cute.,0,I| know| that| John| owns| two| dogs| but| I| doubt| that| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-3.9132206, -2.423523, -7.9671545, -8.8076725, -4.5061126, -4.3122473, -3.8011603, -0.9374979, -5.667084, -0.9486641, -8.087144, -1.6003904, -2.1534977, -0.64304346, -1.1582654, -3.7887402, -3.8021605, -1.3750786, -4.1226416, -2.0067935, -0.8523189]"
1_dog_two_doubt_pref,I know that John owns two dogs but I doubt that Mark owns a dog. The dogs are very cute.,1,I| know| that| John| owns| two| dogs| but| I| doubt| that| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-3.9132206, -2.423523, -7.9671545, -8.8076725, -4.5061126, -4.3122473, -3.8011603, -0.9374979, -5.667084, -0.9486641, -8.087144, -1.6003904, -2.1534977, -0.64304346, -1.1582654, -3.7887402, -4.459998, -1.3257095, -4.2354555, -2.382599, -1.0835567]"
1_dog_know_know_sref,I know that John owns a dog and I know that Mark owns a dog as well. The dog is very cute.,0,I| know| that| John| owns| a| dog| and| I| know| that| Mark| owns| a| dog| as| well|.| The| dog| is| very| cute|.,"[-3.9132206, -2.423523, -7.9671545, -8.8076725, -1.0114752, -5.6074243, -2.1468177, -2.0035791, -1.6139156, -0.36047912, -6.2162247, -1.2927573, -0.1399988, -1.0936861, -3.7218485, -0.021106986, -0.62987727, -4.30579, -2.11301, -1.9659729, -3.8021302, -2.067772, -1.0399575]"
1_dog_know_know_pref,I know that John owns a dog and I know that Mark owns a dog as well. The dogs are very cute.,1,I| know| that| John| owns| a| dog| and| I| know| that| Mark| owns| a| dog| as| well|.| The| dogs| are| very| cute|.,"[-3.9132206, -2.423523, -7.9671545, -8.8076725, -1.0114752, -5.6074243, -2.1468177, -2.0035791, -1.6139156, -0.36047912, -6.2162247, -1.2927573, -0.1399988, -1.0936861, -3.7218485, -0.021106986, -0.62987727, -4.30579, -3.3124251, -0.9808925, -3.2305684, -2.9670343, -1.2204815]"
1_dog_doubt_know_sref,I doubt that John owns a dog but I know that Mark owns a dog. The dog is very cute.,1,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-7.8072996, -1.8339221, -7.972907, -9.295719, -1.0707219, -5.519925, -3.5934794, -1.6141444, -2.7557325, -1.2078314, -6.6057696, -2.61613, -0.6846222, -1.0772041, -0.9809397, -3.3611672, -2.6190357, -1.1334729, -3.5008261, -1.8607086, -0.99727917]"
1_dog_doubt_know_pref,I doubt that John owns a dog but I know that Mark owns a dog. The dogs are very cute.,0,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-7.8072996, -1.8339221, -7.972907, -9.295719, -1.0707219, -5.519925, -3.5934794, -1.6141444, -2.7557325, -1.2078314, -6.6057696, -2.61613, -0.6846222, -1.0772041, -0.9809397, -3.3611672, -5.039316, -1.7460607, -3.494731, -2.304329, -1.0560248]"
1_dog_doubt_two_sref,I doubt that John owns a dog but I know that Mark owns two dogs. The dog is very cute.,0,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| two| dogs|.| The| dog| is| very| cute|.,"[-7.8072996, -1.8339221, -7.972907, -9.295719, -1.0707219, -5.519925, -3.5934794, -1.6141444, -2.7557325, -1.2078314, -6.6057696, -2.61613, -2.2492976, -0.9553863, -0.9235742, -3.4367623, -3.0090356, -1.7126396, -3.285823, -1.8318926, -0.9043284]"
1_dog_doubt_two_pref,I doubt that John owns a dog but I know that Mark owns two dogs. The dogs are very cute.,1,I| doubt| that| John| owns| a| dog| but| I| know| that| Mark| owns| two| dogs|.| The| dogs| are| very| cute|.,"[-7.8072996, -1.8339221, -7.972907, -9.295719, -1.0707219, -5.519925, -3.5934794, -1.6141444, -2.7557325, -1.2078314, -6.6057696, -2.61613, -2.2492976, -0.9553863, -0.9235742, -3.4367623, -3.31113, -0.8242812, -3.306203, -1.9253166, -1.0497699]"
1_dog_doubt_doubt_sref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. The dog is very cute.,0,I| doubt| that| John| owns| a| dog| and| I| doubt| that| Mark| owns| a| dog| as| well|.| The| dog| is| very| cute|.,"[-7.8072996, -1.8339221, -7.972907, -9.295719, -1.0707219, -5.519925, -3.5722783, -1.5164814, -1.79106, -0.33573535, -6.7254796, -1.6306436, -0.15456475, -1.5389237, -4.3342605, -0.08486072, -0.6958779, -3.5077777, -3.5202081, -1.4648776, -4.2950006, -2.2433815, -1.4815058]"
1_dog_doubt_doubt_pref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. The dogs are very cute.,0,I| doubt| that| John| owns| a| dog| and| I| doubt| that| Mark| owns| a| dog| as| well|.| The| dogs| are| very| cute|.,"[-7.8072996, -1.8339221, -7.972907, -9.295719, -1.0707219, -5.519925, -3.5722783, -1.5164814, -1.79106, -0.33573535, -6.7254796, -1.6306436, -0.15456475, -1.5389237, -4.3342605, -0.08486072, -0.6958779, -3.5077777, -5.1634674, -1.4095436, -4.1147385, -2.8037608, -1.8478409]"
1_dog_managed_failed_sref,John managed to adopt a dog but Mark failed to adopt a dog. The dog is very cute.,1,John| managed| to| adopt| a| dog| but| Mark| failed| to| adopt| a| dog|.| The| dog| is| very| cute|.,"[-10.506925, -0.25039113, -10.481783, -1.2680712, -4.8753467, -5.0330467, -8.079002, -4.783662, -0.9557353, -2.8364139, -0.46635965, -1.1929121, -1.1367126, -3.0497036, -2.3130324, -2.559421, -4.1965685, -1.8038965, -1.3740953]"
1_dog_managed_failed_pref,John managed to adopt a dog but Mark failed to adopt a dog. The dogs are very cute.,0,John| managed| to| adopt| a| dog| but| Mark| failed| to| adopt| a| dog|.| The| dogs| are| very| cute|.,"[-10.506925, -0.25039113, -10.481783, -1.2680712, -4.8753467, -5.0330467, -8.079002, -4.783662, -0.9557353, -2.8364139, -0.46635965, -1.1929121, -1.1367126, -3.0497036, -5.2021084, -2.1140409, -3.736825, -2.3718762, -1.5864074]"
1_dog_two_failed_sref,John managed to adopt two dogs but Mark failed to adopt a dog. The dog is very cute.,0,John| managed| to| adopt| two| dogs| but| Mark| failed| to| adopt| a| dog|.| The| dog| is| very| cute|.,"[-10.506925, -0.25039113, -10.481783, -4.2975388, -3.9284635, -5.675867, -8.884405, -4.9726763, -0.50124687, -2.223117, -1.6002971, -0.75614685, -1.4975016, -2.7396739, -3.7484167, -3.2577286, -4.0049486, -1.8727144, -1.6838838]"
1_dog_two_failed_pref,John managed to adopt two dogs but Mark failed to adopt a dog. The dogs are very cute.,1,John| managed| to| adopt| two| dogs| but| Mark| failed| to| adopt| a| dog|.| The| dogs| are| very| cute|.,"[-10.506925, -0.25039113, -10.481783, -4.2975388, -3.9284635, -5.675867, -8.884405, -4.9726763, -0.50124687, -2.223117, -1.6002971, -0.75614685, -1.4975016, -2.7396739, -3.4085567, -2.1306314, -4.3269725, -2.3348827, -1.6705155]"
1_dog_managed_managed_sref,John managed to adopt a dog and Mark managed to adopt a dog as well. The dog is very cute.,0,John| managed| to| adopt| a| dog| and| Mark| managed| to| adopt| a| dog| as| well|.| The| dog| is| very| cute|.,"[-10.506925, -0.25039113, -10.481783, -1.2680712, -4.8753467, -2.3890572, -10.220481, -3.582936, -0.055219967, -2.7004566, -0.28306136, -1.6269786, -4.1297693, -0.045343008, -0.6853603, -3.7379785, -1.9924246, -1.7505432, -3.6161146, -1.3796178, -1.0565951]"
1_dog_managed_managed_pref,John managed to adopt a dog and Mark managed to adopt a dog as well. The dogs are very cute.,1,John| managed| to| adopt| a| dog| and| Mark| managed| to| adopt| a| dog| as| well|.| The| dogs| are| very| cute|.,"[-10.506925, -0.25039113, -10.481783, -1.2680712, -4.8753467, -2.3890572, -10.220481, -3.582936, -0.055219967, -2.7004566, -0.28306136, -1.6269786, -4.1297693, -0.045343008, -0.6853603, -3.7379785, -1.7884985, -1.2059916, -3.2812862, -1.6209986, -1.275534]"
1_dog_failed_managed_sref,John failed to adopt a dog but Mark managed to adopt a dog. The dog is very cute.,1,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| a| dog|.| The| dog| is| very| cute|.,"[-11.440814, -0.535941, -9.057139, -1.410002, -4.2865167, -4.423418, -8.602873, -4.7653046, -0.05211241, -1.9826599, -0.7854308, -0.70275354, -1.4312731, -3.0121827, -0.9964332, -1.5768505, -3.403551, -1.5429392, -1.2191411]"
1_dog_failed_managed_pref,John failed to adopt a dog but Mark managed to adopt a dog. The dogs are very cute.,0,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| a| dog|.| The| dogs| are| very| cute|.,"[-11.440814, -0.535941, -9.057139, -1.410002, -4.2865167, -4.423418, -8.602873, -4.7653046, -0.05211241, -1.9826599, -0.7854308, -0.70275354, -1.4312731, -3.0121827, -4.775838, -1.8583775, -3.5307355, -1.988108, -1.3173599]"
1_dog_failed_two_sref,John failed to adopt a dog but Mark managed to adopt two dogs. The dog is very cute.,0,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| two| dogs|.| The| dog| is| very| cute|.,"[-11.440814, -0.535941, -9.057139, -1.410002, -4.2865167, -4.423418, -8.602873, -4.7653046, -0.05211241, -1.9826599, -2.1101036, -1.3910183, -1.3560143, -2.9892573, -3.4399972, -2.6804917, -3.6471734, -1.7479384, -1.3350606]"
1_dog_failed_two_pref,John failed to adopt a dog but Mark managed to adopt two dogs. The dogs are very cute.,1,John| failed| to| adopt| a| dog| but| Mark| managed| to| adopt| two| dogs|.| The| dogs| are| very| cute|.,"[-11.440814, -0.535941, -9.057139, -1.410002, -4.2865167, -4.423418, -8.602873, -4.7653046, -0.05211241, -1.9826599, -2.1101036, -1.3910183, -1.3560143, -2.9892573, -2.2757497, -1.2972323, -3.8367608, -1.6267058, -1.3544791]"
1_dog_failed_failed_sref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dog is very cute.,0,John| failed| to| adopt| a| dog| and| Mark| failed| to| adopt| a| dog| as| well|.| The| dog| is| very| cute|.,"[-11.440814, -0.535941, -9.057139, -1.410002, -4.2865167, -2.9605293, -8.492011, -2.1172245, -0.06694304, -2.3701334, -0.15607995, -1.6788063, -4.3224564, -0.3597823, -0.7502337, -3.1250885, -3.2939622, -2.6780932, -3.705189, -2.0482726, -1.5743213]"
1_dog_failed_failed_pref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dogs are very cute.,0,John| failed| to| adopt| a| dog| and| Mark| failed| to| adopt| a| dog| as| well|.| The| dogs| are| very| cute|.,"[-11.440814, -0.535941, -9.057139, -1.410002, -4.2865167, -2.9605293, -8.492011, -2.1172245, -0.06694304, -2.3701334, -0.15607995, -1.6788063, -4.3224564, -0.3597823, -0.7502337, -3.1250885, -4.2010126, -2.2728233, -3.6540406, -1.9400299, -1.7688513]"
2_car_affirmative_negation_sref,Lucy has a car but Ethan doesn't have a car. The car has a self-driving mode.,1,Luc|y| has| a| car| but| Ethan| doesn|'t| have| a| car|.| The| car| has| a| self|-driving| mode|.,"[-1.2672312, -4.559124, -2.0504737, -7.3763742, -3.8350506, -9.798153, -1.7878168, -0.6761603, -2.489912, -0.5737586, -0.58641964, -1.0846485, -4.3095303, -2.3606403, -3.4059253, -1.3653591, -9.524759, -1.1157992, -1.8461223, -1.4086087]"
2_car_affirmative_negation_pref,Lucy has a car but Ethan doesn't have a car. The cars have a self-driving mode.,0,Luc|y| has| a| car| but| Ethan| doesn|'t| have| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-1.2672312, -4.559124, -2.0504737, -7.3763742, -3.8350506, -9.798153, -1.7878168, -0.6761603, -2.489912, -0.5737586, -0.58641964, -1.0846485, -4.3095303, -5.3834543, -3.435339, -2.6392434, -9.422388, -0.8970519, -1.7459589, -1.3692511]"
2_car_two_negation_sref,Lucy has two cars but Ethan doesn't have a car. The car has a self-driving mode.,0,Luc|y| has| two| cars| but| Ethan| doesn|'t| have| a| car|.| The| car| has| a| self|-driving| mode|.,"[-1.2672312, -4.559124, -4.988034, -7.5036087, -4.3345747, -11.037612, -2.8970094, -0.7837035, -1.0004168, -1.1823261, -0.163829, -1.050017, -3.8323374, -3.2666388, -3.8254776, -1.211247, -9.911916, -1.7386328, -1.8558649, -1.2434677]"
2_car_two_negation_pref,Lucy has two cars but Ethan doesn't have a car. The cars have a self-driving mode.,1,Luc|y| has| two| cars| but| Ethan| doesn|'t| have| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-1.2672312, -4.559124, -4.988034, -7.5036087, -4.3345747, -11.037612, -2.8970094, -0.7837035, -1.0004168, -1.1823261, -0.163829, -1.050017, -3.8323374, -2.9671993, -3.3127995, -2.6746876, -9.544274, -1.2953721, -1.7601355, -1.5617886]"
2_car_affirmative_affirmative_sref,Lucy has a car and Ethan has a car too. The car has a self-driving mode.,0,Luc|y| has| a| car| and| Ethan| has| a| car| too|.| The| car| has| a| self|-driving| mode|.,"[-1.2672312, -4.559124, -2.0504737, -7.3763742, -2.092845, -10.193108, -1.0858694, -0.33659562, -1.672395, -4.036665, -0.90964395, -4.200898, -2.5149686, -3.1149635, -1.3742042, -8.653365, -1.7049868, -1.8361605, -1.2384002]"
2_car_affirmative_affirmative_pref,Lucy has a car and Ethan has a car too. The cars have a self-driving mode.,1,Luc|y| has| a| car| and| Ethan| has| a| car| too|.| The| cars| have| a| self|-driving| mode|.,"[-1.2672312, -4.559124, -2.0504737, -7.3763742, -2.092845, -10.193108, -1.0858694, -0.33659562, -1.672395, -4.036665, -0.90964395, -4.200898, -2.398362, -2.686387, -2.4514258, -10.072937, -1.6226411, -1.6432645, -1.1855363]"
2_car_negation_affirmative_sref,Lucy doesn't have a car but Ethan has a car. The car has a self-driving mode.,1,Luc|y| doesn|'t| have| a| car| but| Ethan| has| a| car|.| The| car| has| a| self|-driving| mode|.,"[-1.2672312, -6.886158, -0.7186721, -2.3406513, -1.2973274, -4.9172482, -3.8944068, -10.0452175, -2.0500088, -0.96389, -1.1343396, -1.3357714, -4.309705, -2.2445335, -2.7403166, -1.0764085, -9.233434, -1.3953708, -1.6578857, -1.4037352]"
2_car_negation_affirmative_pref,Lucy doesn't have a car but Ethan has a car. The cars have a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| but| Ethan| has| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-1.2672312, -6.886158, -0.7186721, -2.3406513, -1.2973274, -4.9172482, -3.8944068, -10.0452175, -2.0500088, -0.96389, -1.1343396, -1.3357714, -4.309705, -6.1121783, -3.2926927, -2.1090605, -9.322097, -1.1683825, -1.4340581, -1.4447917]"
2_car_negation_two_sref,Lucy doesn't have a car but Ethan has two cars. The car has a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| but| Ethan| has| two| cars|.| The| car| has| a| self|-driving| mode|.,"[-1.2672312, -6.886158, -0.7186721, -2.3406513, -1.2973274, -4.9172482, -3.8944068, -10.0452175, -2.0500088, -4.0833473, -2.6926734, -1.1374983, -3.917767, -3.4846559, -4.177494, -1.2380292, -9.097727, -1.8809177, -1.764552, -1.4123015]"
2_car_negation_two_pref,Lucy doesn't have a car but Ethan has two cars. The cars have a self-driving mode.,1,Luc|y| doesn|'t| have| a| car| but| Ethan| has| two| cars|.| The| cars| have| a| self|-driving| mode|.,"[-1.2672312, -6.886158, -0.7186721, -2.3406513, -1.2973274, -4.9172482, -3.8944068, -10.0452175, -2.0500088, -4.0833473, -2.6926734, -1.1374983, -3.917767, -2.8280168, -3.163979, -2.0900695, -9.556561, -1.5605313, -1.6478485, -1.4874923]"
2_car_negation_negation_sref,Lucy doesn't have a car and Ethan doesn't have a car either. The car has a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| and| Ethan| doesn|'t| have| a| car| either|.| The| car| has| a| self|-driving| mode|.,"[-1.2672312, -6.886158, -0.7186721, -2.3406513, -1.2973274, -4.9172482, -2.3125367, -8.799261, -1.8821146, -0.013260462, -0.72985846, -0.42756265, -3.7648895, -2.748015, -0.8215644, -4.114019, -3.240428, -4.1807585, -2.2355518, -8.720804, -0.98146933, -1.8277112, -1.6970732]"
2_car_negation_negation_pref,Lucy doesn't have a car and Ethan doesn't have a car either. The cars have a self-driving mode.,0,Luc|y| doesn|'t| have| a| car| and| Ethan| doesn|'t| have| a| car| either|.| The| cars| have| a| self|-driving| mode|.,"[-1.2672312, -6.886158, -0.7186721, -2.3406513, -1.2973274, -4.9172482, -2.3125367, -8.799261, -1.8821146, -0.013260462, -0.72985846, -0.42756265, -3.7648895, -2.748015, -0.8215644, -4.114019, -5.586078, -3.9373446, -3.1045115, -8.508343, -0.8591743, -1.6674758, -1.782199]"
2_car_know_doubt_sref,I know that Lucy has a car but I doubt that Ethan has a car. The car has a self-driving mode.,1,I| know| that| Lucy| has| a| car| but| I| doubt| that| Ethan| has| a| car|.| The| car| has| a| self|-driving| mode|.,"[-3.9132206, -2.423523, -10.650152, -2.6769047, -1.9332733, -7.1116543, -3.0461023, -1.3819185, -4.6672564, -1.1363482, -9.092276, -1.6781505, -1.4438086, -0.4483266, -1.1512965, -4.297944, -3.2199528, -4.1034636, -2.0958831, -9.084042, -1.5709852, -2.090642, -1.9665494]"
2_car_know_doubt_pref,I know that Lucy has a car but I doubt that Ethan has a car. The cars have a self-driving mode.,0,I| know| that| Lucy| has| a| car| but| I| doubt| that| Ethan| has| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-3.9132206, -2.423523, -10.650152, -2.6769047, -1.9332733, -7.1116543, -3.0461023, -1.3819185, -4.6672564, -1.1363482, -9.092276, -1.6781505, -1.4438086, -0.4483266, -1.1512965, -4.297944, -6.0292606, -4.2508287, -3.1748266, -8.699736, -1.7580901, -2.087926, -2.1146955]"
2_car_two_doubt_sref,I know that Lucy has two cars but I doubt that Ethan has a car. The car has a self-driving mode.,0,I| know| that| Lucy| has| two| cars| but| I| doubt| that| Ethan| has| a| car|.| The| car| has| a| self|-driving| mode|.,"[-3.9132206, -2.423523, -10.650152, -2.6769047, -5.5363903, -6.887432, -3.6056337, -1.2459987, -5.5880275, -1.0239052, -9.857049, -1.5407752, -2.038055, -0.45887274, -1.2230793, -4.1195703, -3.5044534, -4.215296, -1.7532878, -9.906929, -1.7102942, -2.010559, -1.9302053]"
2_car_two_doubt_pref,I know that Lucy has two cars but I doubt that Ethan has a car. The cars have a self-driving mode.,1,I| know| that| Lucy| has| two| cars| but| I| doubt| that| Ethan| has| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-3.9132206, -2.423523, -10.650152, -2.6769047, -5.5363903, -6.887432, -3.6056337, -1.2459987, -5.5880275, -1.0239052, -9.857049, -1.5407752, -2.038055, -0.45887274, -1.2230793, -4.1195703, -4.7862883, -3.77215, -2.8161187, -9.335818, -2.0162141, -1.6982169, -2.1487079]"
2_car_know_know_sref,I know that Lucy has a car and I know that Ethan has a car as well. The car has a self-driving mode.,0,I| know| that| Lucy| has| a| car| and| I| know| that| Ethan| has| a| car| as| well|.| The| car| has| a| self|-driving| mode|.,"[-3.9132206, -2.423523, -10.650152, -2.6769047, -1.9332733, -7.1116543, -2.2743413, -2.0940294, -1.2904068, -0.41472253, -8.029542, -0.73744506, -0.30633402, -0.45213866, -3.593175, -0.02197175, -0.68963945, -4.86492, -3.0923731, -3.841619, -1.5241225, -8.554257, -1.2551978, -1.9306191, -1.7925756]"
2_car_know_know_pref,I know that Lucy has a car and I know that Ethan has a car as well. The cars have a self-driving mode.,1,I| know| that| Lucy| has| a| car| and| I| know| that| Ethan| has| a| car| as| well|.| The| cars| have| a| self|-driving| mode|.,"[-3.9132206, -2.423523, -10.650152, -2.6769047, -1.9332733, -7.1116543, -2.2743413, -2.0940294, -1.2904068, -0.41472253, -8.029542, -0.73744506, -0.30633402, -0.45213866, -3.593175, -0.02197175, -0.68963945, -4.86492, -4.1209574, -3.3272839, -2.7768488, -8.902861, -1.6215129, -1.714935, -1.8663582]"
2_car_doubt_know_sref,I doubt that Lucy has a car but I know that Ethan has a car. The car has a self-driving mode.,1,I| doubt| that| Lucy| has| a| car| but| I| know| that| Ethan| has| a| car|.| The| car| has| a| self|-driving| mode|.,"[-7.8072996, -1.8339221, -10.804901, -3.0655446, -2.3919013, -6.409645, -4.3648415, -1.6055058, -2.8173325, -1.1633767, -8.238448, -1.2820516, -0.9253972, -0.6376288, -1.076851, -4.1483502, -2.0040288, -3.8933578, -1.4364545, -10.049566, -1.8060195, -1.9124161, -1.7262629]"
2_car_doubt_know_pref,I doubt that Lucy has a car but I know that Ethan has a car. The cars have a self-driving mode.,0,I| doubt| that| Lucy| has| a| car| but| I| know| that| Ethan| has| a| car|.| The| cars| have| a| self|-driving| mode|.,"[-7.8072996, -1.8339221, -10.804901, -3.0655446, -2.3919013, -6.409645, -4.3648415, -1.6055058, -2.8173325, -1.1633767, -8.238448, -1.2820516, -0.9253972, -0.6376288, -1.076851, -4.1483502, -4.4785247, -3.8185081, -2.696131, -10.170405, -1.6090052, -1.5694933, -1.7866071]"
2_car_doubt_two_sref,I doubt that Lucy has a car but I know that Ethan has two cars. The car has a self-driving mode.,0,I| doubt| that| Lucy| has| a| car| but| I| know| that| Ethan| has| two| cars|.| The| car| has| a| self|-driving| mode|.,"[-7.8072996, -1.8339221, -10.804901, -3.0655446, -2.3919013, -6.409645, -4.3648415, -1.6055058, -2.8173325, -1.1633767, -8.238448, -1.2820516, -4.619615, -1.4195372, -1.1705492, -3.7763062, -3.3871806, -4.1661825, -1.3204658, -9.916993, -3.0730274, -1.8738068, -1.5434374]"
