id,sentence,type,pronoun,tokens,log_probs
1_dog_failed,John failed to adopt a dog. He doesn't have a big enough apartment.,failed,subj,John|##failed|##to|##adopt|##a|##dog|.|##He|##doesn|'t|##have|##a|##big|##enough|##apartment|.|<|endoftext|>,-9.936901|-10.041577|-8.874502|-10.93369|-9.348468|-6.96148|-10.073093|-13.094626|-15.482042|-12.518904|-11.679787|-10.238083|-7.5561085|-8.679841|-8.989401|-11.026295|-12.472684
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy|##has|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.915699|-9.342089|-9.28652|-8.726172|-9.059269|-7.4187765|-9.90865|-9.558988|-8.7091675|-10.17701|-8.894576|-13.789257|-7.380179|-10.786709|-12.574355
2_car_affirmative,Lucy has a car and she loves to go on roadtrips.,affirmative,subj,Lu|cy|##has|##a|##car|##and|##she|##loves|##to|##go|##on|##road|tri|ps|.|<|endoftext|>,-5.915699|-9.342089|-9.28652|-8.726172|-9.059269|-7.4187765|-9.550274|-13.226852|-9.545556|-7.846287|-7.545784|-11.848276|-20.272352|-17.293118|-10.595501|-12.530148
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.915699|-9.342089|-14.984311|-11.229253|-11.654607|-9.71587|-8.889434|-7.3614335|-10.381563|-10.599644|-8.530207|-9.911591|-9.327183|-13.817836|-7.5259333|-10.738188|-12.530185
2_car_negated,Lucy doesn't have a car and she only buys second-hand clothes.,negated,subj,Lu|cy|##doesn|'t|##have|##a|##car|##and|##she|##only|##buys|##second|-|hand|##clothes|.|<|endoftext|>,-5.915699|-9.342089|-14.984311|-11.229253|-11.654607|-9.71587|-8.889434|-7.3614335|-9.943673|-9.0595665|-11.725526|-11.870924|-11.648676|-14.055126|-11.59543|-11.031437|-12.515925
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-8.587569|-9.3413925|-8.759329|-8.549622|-10.185318|-14.532501|-9.600636|-8.569636|-11.150754|-7.9621973|-13.8763895|-7.529676|-10.9360485|-12.54155
2_car_know,I know that Lucy has a car. She loves to go on roadtrips.,know,subj,I|##know|##that|##Lucy|##has|##a|##car|.|##She|##loves|##to|##go|##on|##road|tri|ps|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-8.587569|-9.3413925|-8.759329|-8.549622|-10.185318|-13.235563|-13.797105|-9.558816|-7.7669215|-7.5575266|-12.0838375|-20.284296|-18.176588|-10.681157|-12.51189
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-8.645184|-9.732581|-9.379075|-7.7695026|-10.320227|-14.513499|-10.211004|-8.594282|-10.620194|-8.960011|-13.598688|-7.073456|-10.778662|-12.479566
2_car_doubt,I doubt that Lucy has a car. She also only buys second-hand clothes.,doubt,subj,I|##doubt|##that|##Lucy|##has|##a|##car|.|##She|##also|##only|##buys|##second|-|hand|##clothes|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-8.645184|-9.732581|-9.379075|-7.7695026|-10.320227|-13.428711|-8.205297|-8.765446|-11.770936|-11.774644|-11.409727|-14.0847025|-12.192187|-10.522869|-12.472924
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.915699|-9.342089|-12.879184|-8.440869|-11.354424|-9.161964|-8.99211|-7.4414115|-9.628274|-10.415438|-8.54942|-10.141849|-8.948152|-13.796451|-8.252157|-10.93704|-12.56695
2_car_modal,Lucy wants to have a car and she also wants to get a motorcycle.,modal,subj,Lu|cy|##wants|##to|##have|##a|##car|##and|##she|##also|##wants|##to|##get|##a|##motorcycle|.|<|endoftext|>,-5.915699|-9.342089|-12.879184|-8.440869|-11.354424|-9.161964|-8.99211|-7.4414115|-9.95189|-8.933241|-12.85685|-8.50007|-10.483843|-9.394794|-9.404905|-10.615149|-12.532165
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,Lu|cy|##managed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.915699|-9.342089|-12.265763|-8.648788|-10.3612585|-8.612697|-9.059093|-10.66019|-14.633414|-9.81027|-8.50377|-11.722322|-8.463736|-13.303557|-8.181206|-10.76693|-12.603994
2_car_managed,Lucy managed to rent a car. She found a place that was open late.,managed,subj,Lu|cy|##managed|##to|##rent|##a|##car|.|##She|##found|##a|##place|##that|##was|##open|##late|.|<|endoftext|>,-5.915699|-9.342089|-12.265763|-8.648788|-10.3612585|-8.612697|-9.059093|-10.66019|-13.7342825|-12.000823|-8.925699|-11.746517|-8.769232|-10.083584|-9.542781|-7.077531|-10.804022|-12.631472
2_car_failed,Lucy failed to rent a car. It has a self-driving mode.,failed,it,Lu|cy|##failed|##to|##rent|##a|##car|.|##It|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-5.915699|-9.342089|-10.238704|-9.264382|-10.018408|-9.2876|-9.475359|-10.319683|-14.56502|-10.6165905|-8.401603|-11.429136|-9.178256|-13.237765|-8.234533|-10.637704|-12.650417
2_car_failed,Lucy failed to rent a car. She couldn't find a place that was open late.,failed,subj,Lu|cy|##failed|##to|##rent|##a|##car|.|##She|##couldn|'t|##find|##a|##place|##that|##was|##open|##late|.|<|endoftext|>,-5.915699|-9.342089|-10.238704|-9.264382|-10.018408|-9.2876|-9.475359|-10.319683|-13.778315|-15.547715|-10.241616|-11.664963|-10.206064|-12.444778|-8.865597|-9.970527|-9.7255|-8.028768|-11.135115|-12.545439
3_bear_affirmative,Carol saw a bear at the zoo and it was taller than she expected.,affirmative,it,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.517218|-10.431097|-11.911658|-9.682954|-7.444815|-8.581024|-9.047111|-9.249393|-7.2752414|-9.699646|-9.637072|-12.617563|-11.423998|-10.344028|-12.621583|-10.31394|-12.616789
3_bear_affirmative,Carol saw a bear at the zoo and she took amazing pictures of it.,affirmative,subj,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##she|##took|##amazing|##pictures|##of|##it|.|<|endoftext|>,-7.517218|-10.431097|-11.911658|-9.682954|-7.444815|-8.581024|-9.047111|-9.249393|-7.2752414|-9.309973|-12.204585|-8.962101|-10.84335|-11.0611925|-9.043007|-10.000579|-12.646698
3_bear_negated,Carol didn't see a bear at the zoo and it was taller than she expected.,negated,it,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.517218|-10.431097|-14.309561|-11.371733|-11.103055|-10.333094|-7.755953|-9.155974|-9.29299|-10.735463|-7.6003494|-9.880871|-9.0711975|-12.527401|-11.367177|-10.760174|-12.457348|-10.470035|-12.622111
3_bear_negated,Carol didn't see a bear at the zoo and she went home disappointed.,negated,subj,Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##she|##went|##home|##disappointed|.|<|endoftext|>,-7.517218|-10.431097|-14.309561|-11.371733|-11.103055|-10.333094|-7.755953|-9.155974|-9.29299|-10.735463|-7.6003494|-9.503236|-13.161505|-8.235588|-12.661605|-10.629673|-12.678267
3_bear_know,I know that Carol saw a bear at the zoo. It was taller than she expected.,know,it,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-9.863473|-11.907536|-9.500104|-7.268918|-8.173066|-9.015538|-10.54265|-10.083952|-13.961325|-9.546061|-12.5866585|-11.247704|-11.194409|-13.521333|-10.598655|-12.568557
3_bear_know,I know that Carol saw a bear at the zoo. She took amazing pictures of it.,know,subj,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##She|##took|##amazing|##pictures|##of|##it|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-9.863473|-11.907536|-9.500104|-7.268918|-8.173066|-9.015538|-10.54265|-10.083952|-12.846611|-12.236144|-9.058646|-11.190023|-10.774061|-8.868725|-10.222816|-12.586592
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It was taller than she expected.,doubt,it,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-9.279825|-12.345337|-9.99346|-7.8207693|-8.980294|-9.227928|-10.4321995|-10.236401|-14.272434|-9.915685|-11.927265|-11.063748|-11.2866955|-13.096347|-10.7106905|-12.646369
3_bear_doubt,I doubt that Carol saw a bear at the zoo. She didn't get to see any other big animals either.,doubt,subj,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##She|##didn|'t|##get|##to|##see|##any|##other|##big|##animals|##either|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-9.279825|-12.345337|-9.99346|-7.8207693|-8.980294|-9.227928|-10.4321995|-10.236401|-13.226042|-14.682707|-12.3836975|-11.303953|-8.599859|-10.110238|-8.774644|-8.163982|-7.501595|-10.735892|-8.800484|-10.424234|-12.549099
3_bear_modal,Carol wants to see a bear at the zoo and it is taller than she expected.,modal,it,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|##is|##taller|##than|##she|##expected|.|<|endoftext|>,-7.517218|-10.431097|-13.218645|-8.627608|-10.940519|-9.046086|-7.3345523|-8.372889|-9.3680935|-10.393983|-7.288764|-9.156624|-8.839304|-11.785918|-10.759668|-10.124467|-12.518563|-9.896109|-12.6353445
3_bear_modal,Carol wants to see a bear at the zoo and she does not stop talking about it.,modal,subj,Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##she|##does|##not|##stop|##talking|##about|##it|.|<|endoftext|>,-7.517218|-10.431097|-13.218645|-8.627608|-10.940519|-9.046086|-7.3345523|-8.372889|-9.3680935|-10.393983|-7.288764|-10.061217|-13.184813|-8.481763|-10.486662|-10.271731|-9.197466|-9.623697|-9.889514|-12.649154
3_bear_managed,Carol managed to see a bear at the zoo. It was taller than she expected.,managed,it,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.517218|-10.431097|-12.459079|-8.622764|-10.044099|-9.501553|-7.270518|-8.006298|-8.777246|-9.205708|-10.089021|-13.829756|-9.1129465|-12.655419|-11.228408|-11.438894|-12.334651|-10.824214|-12.54995
3_bear_managed,Carol managed to see a bear at the zoo. She took amazing pictures of it.,managed,subj,Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##She|##took|##amazing|##pictures|##of|##it|.|<|endoftext|>,-7.517218|-10.431097|-12.459079|-8.622764|-10.044099|-9.501553|-7.270518|-8.006298|-8.777246|-9.205708|-10.089021|-12.687616|-12.261844|-9.183821|-11.398318|-10.754695|-9.231073|-10.029514|-12.586384
3_bear_failed,Carol failed to see a bear at the zoo. It was taller than she expected.,failed,it,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##taller|##than|##she|##expected|.|<|endoftext|>,-7.517218|-10.431097|-10.026301|-9.276487|-10.457516|-10.223777|-7.541703|-8.890465|-8.896811|-9.317611|-9.817765|-13.8123045|-9.037611|-12.377542|-11.000207|-11.251638|-12.7375145|-10.733431|-12.612573
3_bear_failed,Carol failed to see a bear at the zoo. She didn't get to see any other big animals either.,failed,subj,Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##She|##didn|'t|##get|##to|##see|##any|##other|##big|##animals|##either|.|<|endoftext|>,-7.517218|-10.431097|-10.026301|-9.276487|-10.457516|-10.223777|-7.541703|-8.890465|-8.896811|-9.317611|-9.817765|-12.976053|-14.579017|-12.291581|-11.071132|-8.524509|-10.4262295|-9.639653|-8.500511|-8.193795|-10.719566|-8.777061|-10.386972|-12.533863
4_book_affirmative,Susan published a book and it is a real page-turner.,affirmative,it,Susan|##published|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138726|-9.113344|-9.105878|-8.836121|-7.865804|-10.430431|-9.51021|-8.8046055|-7.6662726|-12.400946|-14.073086|-21.893976|-13.459438|-9.725474|-12.455497
4_book_affirmative,Susan published a book and she is going on tour later this year.,affirmative,subj,Susan|##published|##a|##book|##and|##she|##is|##going|##on|##tour|##later|##this|##year|.|<|endoftext|>,-13.138726|-9.113344|-9.105878|-8.836121|-7.865804|-9.050768|-9.504028|-13.095397|-6.5700417|-9.986978|-9.954565|-13.30765|-12.460167|-9.868915|-12.351059
4_book_negated,Susan didn't publish a book and it is a real page-turner.,negated,it,Susan|##didn|'t|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138726|-13.815824|-11.614626|-13.406666|-10.468625|-8.305965|-7.7077527|-10.417877|-8.958199|-9.558655|-10.266817|-10.998959|-12.281351|-21.43032|-13.06951|-9.707031|-12.476531
4_book_negated,Susan didn't publish a book and she doesn't intend to do so in the near future.,negated,subj,Susan|##didn|'t|##publish|##a|##book|##and|##she|##doesn|'t|##intend|##to|##do|##so|##in|##the|##near|##future|.|<|endoftext|>,-13.138726|-13.815824|-11.614626|-13.406666|-10.468625|-8.305965|-7.7077527|-9.705883|-15.622673|-11.762724|-16.603647|-6.910735|-11.936165|-7.3067794|-9.951548|-10.4834385|-9.760195|-15.205747|-10.791262|-12.565475
4_book_know,I know that Susan published a book. It is a real page-turner.,know,it,I|##know|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-6.86383|-9.826468|-9.425858|-8.668552|-10.082175|-14.239598|-9.763651|-8.854877|-8.016603|-11.163064|-12.409077|-20.942204|-13.670385|-9.945475|-12.47653
4_book_know,I know that Susan published a book. She is going on tour later this year.,know,subj,I|##know|##that|##Susan|##published|##a|##book|.|##She|##is|##going|##on|##tour|##later|##this|##year|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-6.86383|-9.826468|-9.425858|-8.668552|-10.082175|-13.652189|-9.797913|-13.385094|-6.4943395|-10.043594|-9.870419|-13.458982|-12.752326|-10.250858|-12.406069
4_book_doubt,I doubt that Susan published a book. It is a real page-turner.,doubt,it,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-6.627121|-10.20949|-9.87361|-8.458778|-10.293004|-13.9804|-9.283537|-9.083973|-9.274866|-10.418064|-11.714878|-21.033115|-12.827762|-9.596308|-12.524481
4_book_doubt,I doubt that Susan published a book. She also hasn't written any good articles lately.,doubt,subj,I|##doubt|##that|##Susan|##published|##a|##book|.|##She|##also|##hasn|'t|##written|##any|##good|##articles|##lately|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-6.627121|-10.20949|-9.87361|-8.458778|-10.293004|-13.607513|-8.120957|-17.38605|-15.2089615|-10.655481|-8.30459|-8.682615|-12.112845|-9.63814|-9.886696|-12.529184
4_book_modal,Susan wants to publish a book and it is a real page-turner.,modal,it,Susan|##wants|##to|##publish|##a|##book|##and|##it|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138726|-12.399619|-8.479561|-13.04635|-10.017933|-9.30435|-7.378447|-9.923578|-9.192329|-8.911783|-8.010161|-10.847895|-12.810154|-21.17089|-12.871905|-10.170035|-12.548841
4_book_modal,Susan wants to publish a book and she committed to writing at least 2 pages a day.,modal,subj,Susan|##wants|##to|##publish|##a|##book|##and|##she|##committed|##to|##writing|##at|##least|##2|##pages|##a|##day|.|<|endoftext|>,-13.138726|-12.399619|-8.479561|-13.04635|-10.017933|-9.30435|-7.378447|-10.381794|-11.120528|-7.4672174|-10.668897|-8.330842|-14.222289|-9.918744|-11.549216|-12.767426|-10.417713|-10.205436|-12.612293
4_book_managed,Susan managed to write a book. It is a real page-turner.,managed,it,Susan|##managed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138726|-12.089241|-8.764681|-12.271681|-8.698162|-8.4618845|-10.574294|-14.236297|-9.792374|-8.706123|-7.942405|-11.740471|-14.468387|-21.259117|-13.603422|-10.161768|-12.452966
4_book_managed,Susan managed to write a book. She is going on tour later this year.,managed,subj,Susan|##managed|##to|##write|##a|##book|.|##She|##is|##going|##on|##tour|##later|##this|##year|.|<|endoftext|>,-13.138726|-12.089241|-8.764681|-12.271681|-8.698162|-8.4618845|-10.574294|-13.706353|-9.44462|-13.601693|-7.15592|-9.62899|-10.366451|-13.357893|-12.740814|-10.098711|-12.386851
4_book_failed,Susan failed to write a book. It is a real page-turner.,failed,it,Susan|##failed|##to|##write|##a|##book|.|##It|##is|##a|##real|##page|-|turn|er|.|<|endoftext|>,-13.138726|-9.14715|-9.071262|-12.005272|-9.79154|-7.541416|-10.337441|-14.212595|-8.9432|-9.366936|-9.856092|-10.004071|-11.653671|-21.001226|-13.123215|-9.3867855|-12.334691
4_book_failed,Susan failed to write a book. She also hasn't written any good articles lately.,failed,subj,Susan|##failed|##to|##write|##a|##book|.|##She|##also|##hasn|'t|##written|##any|##good|##articles|##lately|.|<|endoftext|>,-13.138726|-9.14715|-9.071262|-12.005272|-9.79154|-7.541416|-10.337441|-13.727615|-8.339258|-17.59812|-15.479368|-10.648274|-8.462721|-8.1982565|-11.937571|-9.763654|-10.139334|-12.317302
5_shirt_affirmative,Mary found a shirt at the store and it looks amazing on her.,affirmative,it,Mary|##found|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-9.069285|-10.063805|-9.319231|-8.088966|-9.27755|-9.104721|-8.021875|-7.671521|-10.376131|-12.656824|-11.346214|-9.698672|-8.751448|-9.867707|-12.512133
5_shirt_affirmative,Mary found a shirt at the store and she wore it at the wedding.,affirmative,subj,Mary|##found|##a|##shirt|##at|##the|##store|##and|##she|##wore|##it|##at|##the|##wedding|.|<|endoftext|>,-9.069285|-10.063805|-9.319231|-8.088966|-9.27755|-9.104721|-8.021875|-7.671521|-9.015825|-15.910263|-8.839911|-10.176613|-9.530893|-9.07798|-9.902451|-12.507245
5_shirt_negated,Mary didn't find a shirt at the store and it looks amazing on her.,negated,it,Mary|##didn|'t|##find|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-9.069285|-11.043017|-11.449337|-11.793634|-9.956462|-8.770803|-8.979155|-9.019964|-9.277853|-7.6833177|-10.40015|-12.238985|-11.806167|-9.876871|-9.192117|-9.841381|-12.542728
5_shirt_negated,Mary didn't find a shirt at the store and she had to wear a t-shirt instead.,negated,subj,Mary|##didn|'t|##find|##a|##shirt|##at|##the|##store|##and|##she|##had|##to|##wear|##a|##t|-|shirt|##instead|.|<|endoftext|>,-9.069285|-11.043017|-11.449337|-11.793634|-9.956462|-8.770803|-8.979155|-9.019964|-9.277853|-7.6833177|-9.583319|-6.3437243|-9.20972|-10.861953|-8.120903|-12.477855|-12.344055|-14.059198|-7.8652697|-10.17905|-12.639777
5_shirt_know,I know that Mary found a shirt at the store. It looks amazing on her.,know,it,I|##know|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|##looks|##amazing|##on|##her|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-6.3934774|-10.6132|-8.934271|-8.86279|-8.920454|-9.059272|-8.713801|-10.265569|-14.1197815|-13.416411|-11.819363|-9.875919|-9.78116|-10.2288885|-12.561373
5_shirt_know,I know that Mary found a shirt at the store. She wore it at the wedding.,know,subj,I|##know|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##She|##wore|##it|##at|##the|##wedding|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-6.3934774|-10.6132|-8.934271|-8.86279|-8.920454|-9.059272|-8.713801|-10.265569|-12.91592|-14.472306|-8.415667|-9.433727|-9.39686|-9.3533535|-10.452412|-12.637891
5_shirt_doubt,I doubt that Mary found a shirt at the store. It looks amazing on her.,doubt,it,I|##doubt|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|##looks|##amazing|##on|##her|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-6.032134|-10.492983|-9.407153|-8.507583|-8.716796|-9.0300865|-9.226252|-10.401015|-14.238426|-12.626767|-11.920457|-9.520811|-9.598437|-10.049982|-12.556338
5_shirt_doubt,I doubt that Mary found a shirt at the store. She didn't manage to get any other nice clothes either.,doubt,subj,I|##doubt|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##She|##didn|'t|##manage|##to|##get|##any|##other|##nice|##clothes|##either|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-6.032134|-10.492983|-9.407153|-8.507583|-8.716796|-9.0300865|-9.226252|-10.401015|-13.041723|-14.838079|-12.02774|-13.806846|-8.916418|-10.934889|-7.418336|-8.313982|-8.520406|-11.4693165|-8.387085|-10.5966|-12.430942
5_shirt_modal,Mary wants to find a shirt at the store and it looks amazing on her.,modal,it,Mary|##wants|##to|##find|##a|##shirt|##at|##the|##store|##and|##it|##looks|##amazing|##on|##her|.|<|endoftext|>,-9.069285|-12.184751|-8.581942|-11.741823|-9.521562|-8.969076|-8.47809|-8.548965|-8.655863|-7.4520187|-9.468271|-13.046319|-12.209293|-9.949941|-8.688671|-10.17077|-12.589883
5_shirt_modal,Mary wants to find a shirt at the store and she checked that the store is open on Sundays. ,modal,subj,Mary|##wants|##to|##find|##a|##shirt|##at|##the|##store|##and|##she|##checked|##that|##the|##store|##is|##open|##on|##Sundays|.|<|endoftext|>,-9.069285|-12.184751|-8.581942|-11.741823|-9.521562|-8.969076|-8.47809|-8.548965|-8.655863|-7.4520187|-9.538819|-13.239818|-6.0000105|-7.5731125|-7.6299186|-10.0043125|-9.940647|-8.796139|-13.264561|-10.2807865|-12.6387615
