id,sentence,type,pronoun,tokens,continuation
4_book_affirmative,Susan published a book and it,affirmative,it,Susan|##published|##a|##book|##and|##it|##was|##a|##huge|##success|.|##She|##was|##a|##very|##successful|##author|.|##She|##was|##a|##very|##successful|##author|.|##She|##was|##a|##very|##successful,Susan published a book and it was a huge success. She was a very successful author. She was a very successful author. She was a very successful
4_book_negated,Susan didn't publish a book and it,negated,it,Susan|##didn|'t|##publish|##a|##book|##and|##it|##was|##a|##very|##difficult|##time|##for|##her|.|##She|##was|##very|##depressed|##and|##she|##was|##very|##lonely|.|##She|##was|##very|##lonely,Susan didn't publish a book and it was a very difficult time for her. She was very depressed and she was very lonely. She was very lonely
4_book_know,I know that Susan published a book. It,know,it,"I|##know|##that|##Susan|##published|##a|##book|.|##It|'s|##called|##""|The|##Secret|##Life|##of|##the|##American|##Teen|ager|.""|##It|'s|##a|##very|##good|##book|.|##I|##think","I know that Susan published a book. It's called ""The Secret Life of the American Teenager."" It's a very good book. I think"
4_book_doubt,I doubt that Susan published a book. It,doubt,it,I|##doubt|##that|##Susan|##published|##a|##book|.|##It|'s|##not|##like|##she|'s|##a|##journalist|.|##She|'s|##a|##writer|.|##She|'s|##a|##writer|##who|##writes|##about|##the,I doubt that Susan published a book. It's not like she's a journalist. She's a writer. She's a writer who writes about the
4_book_modal,Susan wants to publish a book and it,modal,it,Susan|##wants|##to|##publish|##a|##book|##and|##it|'s|##a|##book|##about|##the|##Holocaust|.|##She|'s|##a|##Holocaust|##survivor|.|##She|'s|##a|##Holocaust|##survivor|.|##She|'s|##a,Susan wants to publish a book and it's a book about the Holocaust. She's a Holocaust survivor. She's a Holocaust survivor. She's a
4_book_managed,Susan managed to write a book. It,managed,it,Susan|##managed|##to|##write|##a|##book|.|##It|##was|##a|##very|##good|##book|.|##It|##was|##a|##very|##good|##book|.|##It|##was|##a|##very|##good|##book|.|##It|##was,Susan managed to write a book. It was a very good book. It was a very good book. It was a very good book. It was
4_book_failed,Susan failed to write a book. It,failed,it,"Susan|##failed|##to|##write|##a|##book|.|##It|##was|##a|##failure|##of|##her|##imagination|.|Ċ|Ċ|""|I|##was|##a|##writer|,""|##she|##said|.|##""|I|##was|##a","Susan failed to write a book. It was a failure of her imagination.

""I was a writer,"" she said. ""I was a"
5_shirt_affirmative,Mary found a shirt at the store and it,affirmative,it,"Mary|##found|##a|##shirt|##at|##the|##store|##and|##it|##was|##the|##same|##one|##she|##had|##worn|##to|##the|##party|.|##She|##was|##wearing|##it|##to|##the|##party|,|##but|##she","Mary found a shirt at the store and it was the same one she had worn to the party. She was wearing it to the party, but she"
5_shirt_negated,Mary didn't find a shirt at the store and it,negated,it,Mary|##didn|'t|##find|##a|##shirt|##at|##the|##store|##and|##it|##was|##too|##big|##for|##her|.|##She|##was|##so|##upset|##that|##she|##cried|##and|##cried|##and|##cried|.|##She,Mary didn't find a shirt at the store and it was too big for her. She was so upset that she cried and cried and cried. She
5_shirt_know,I know that Mary found a shirt at the store. It,know,it,I|##know|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|'s|##a|##nice|##shirt|.|##I|##think|##it|'s|##a|##nice|##shirt|.|##I|##think|##it|'s|##a,I know that Mary found a shirt at the store. It's a nice shirt. I think it's a nice shirt. I think it's a
5_shirt_doubt,I doubt that Mary found a shirt at the store. It,doubt,it,I|##doubt|##that|##Mary|##found|##a|##shirt|##at|##the|##store|.|##It|'s|##not|##like|##she|##was|##going|##to|##wear|##it|##to|##work|.|##She|##was|##going|##to|##wear|##it,I doubt that Mary found a shirt at the store. It's not like she was going to wear it to work. She was going to wear it
5_shirt_modal,Mary wants to find a shirt at the store and it,modal,it,Mary|##wants|##to|##find|##a|##shirt|##at|##the|##store|##and|##it|'s|##not|##there|.|##She|##goes|##to|##the|##store|##and|##finds|##a|##shirt|##that|##she|##likes|.|##She|##goes,Mary wants to find a shirt at the store and it's not there. She goes to the store and finds a shirt that she likes. She goes
5_shirt_managed,Mary managed to find a shirt at the store. It,managed,it,Mary|##managed|##to|##find|##a|##shirt|##at|##the|##store|.|##It|##was|##a|##black|##one|##with|##a|##white|##collar|##and|##a|##white|##stripe|##down|##the|##front|.|##She|##put|##it,Mary managed to find a shirt at the store. It was a black one with a white collar and a white stripe down the front. She put it
5_shirt_failed,Mary failed to find a shirt at the store. It,failed,it,Mary|##failed|##to|##find|##a|##shirt|##at|##the|##store|.|##It|##was|##a|##black|##one|##with|##a|##white|##collar|.|##She|##was|##wearing|##a|##black|##skirt|##and|##black|##shoes|.,Mary failed to find a shirt at the store. It was a black one with a white collar. She was wearing a black skirt and black shoes.
6_rat_affirmative,Carla got a pet rat and it,affirmative,it,Car|la|##got|##a|##pet|##rat|##and|##it|##was|##a|##big|##one|.|##She|##was|##so|##excited|##to|##have|##a|##pet|##rat|.|##She|##was|##so|##excited|##to|##have|##a,Carla got a pet rat and it was a big one. She was so excited to have a pet rat. She was so excited to have a
6_rat_negated,Carla didn't get a pet rat and it,negated,it,Car|la|##didn|'t|##get|##a|##pet|##rat|##and|##it|##was|##a|##big|##deal|.|##She|##was|##a|##little|##upset|##that|##she|##didn|'t|##get|##a|##pet|##rat|.|##She,Carla didn't get a pet rat and it was a big deal. She was a little upset that she didn't get a pet rat. She
6_rat_know,I know that Carla got a pet rat. It,know,it,"I|##know|##that|##Car|la|##got|##a|##pet|##rat|.|##It|'s|##a|##little|##bit|##of|##a|##pain|##to|##get|##it|##out|##of|##the|##cage|,|##but|##it|'s|##a","I know that Carla got a pet rat. It's a little bit of a pain to get it out of the cage, but it's a"
6_rat_doubt,I doubt that Carla got a pet rat. It,doubt,it,I|##doubt|##that|##Car|la|##got|##a|##pet|##rat|.|##It|'s|##not|##like|##she|'s|##a|##rat|##person|.|##She|'s|##a|##cat|##person|.|##She|'s|##a|##dog,I doubt that Carla got a pet rat. It's not like she's a rat person. She's a cat person. She's a dog
6_rat_modal,Carla wants to get a pet rat and it,modal,it,"Car|la|##wants|##to|##get|##a|##pet|##rat|##and|##it|'s|##up|##to|##you|##to|##find|##it|.|Ċ|Ċ|The|##game|##is|##a|##bit|##of|##a|##puzzle|,|##but","Carla wants to get a pet rat and it's up to you to find it.

The game is a bit of a puzzle, but"
6_rat_managed,Carla managed to get a pet rat. It,managed,it,"Car|la|##managed|##to|##get|##a|##pet|##rat|.|##It|##was|##a|##little|##bit|##of|##a|##struggle|,|##but|##she|##managed|##to|##get|##it|##to|##the|##vet|.|##She|##was","Carla managed to get a pet rat. It was a little bit of a struggle, but she managed to get it to the vet. She was"
6_rat_failed,Carla failed to get a pet rat. It,failed,it,"Car|la|##failed|##to|##get|##a|##pet|##rat|.|##It|##was|##a|##good|##thing|##she|##didn|'t|.|Ċ|Ċ|""|I|##was|##so|##excited|##to|##get|##a|##pet|##rat","Carla failed to get a pet rat. It was a good thing she didn't.

""I was so excited to get a pet rat"
7_beer_affirmative,Sam ordered a beer at the bar and it,affirmative,it,Sam|##ordered|##a|##beer|##at|##the|##bar|##and|##it|##was|##a|##good|##one|.|##He|##ordered|##a|##beer|##at|##the|##bar|##and|##it|##was|##a|##good|##one|.|Ċ|Ċ,"Sam ordered a beer at the bar and it was a good one. He ordered a beer at the bar and it was a good one.

"
7_beer_negated,Sam didn't order a beer at the bar and it,negated,it,"Sam|##didn|'t|##order|##a|##beer|##at|##the|##bar|##and|##it|##was|##a|##good|##thing|##because|##he|##was|##going|##to|##be|##late|.|Ċ|Ċ|""|I|##was|##going|##to","Sam didn't order a beer at the bar and it was a good thing because he was going to be late.

""I was going to"
7_beer_know,I know that Sam ordered a beer at the bar. It,know,it,I|##know|##that|##Sam|##ordered|##a|##beer|##at|##the|##bar|.|##It|##was|##a|##beer|##that|##I|##had|##never|##heard|##of|##before|.|##I|##asked|##him|##what|##it|##was|##and,I know that Sam ordered a beer at the bar. It was a beer that I had never heard of before. I asked him what it was and
7_beer_doubt,I doubt that Sam ordered a beer at the bar. It,doubt,it,I|##doubt|##that|##Sam|##ordered|##a|##beer|##at|##the|##bar|.|##It|'s|##possible|##that|##he|##was|##just|##drunk|##and|##didn|'t|##want|##to|##be|##bothered|.|Ċ|Ċ|The,"I doubt that Sam ordered a beer at the bar. It's possible that he was just drunk and didn't want to be bothered.

The"
7_beer_modal,Sam wants to order a beer at the bar and it,modal,it,Sam|##wants|##to|##order|##a|##beer|##at|##the|##bar|##and|##it|'s|##not|##a|##problem|.|##He|'s|##a|##good|##guy|.|##He|'s|##a|##good|##guy|.|##He|'s,Sam wants to order a beer at the bar and it's not a problem. He's a good guy. He's a good guy. He's
7_beer_managed,Sam managed to order a beer at the bar. It,managed,it,"Sam|##managed|##to|##order|##a|##beer|##at|##the|##bar|.|##It|##was|##a|##beer|##that|##was|##made|##by|##a|##brewery|##in|##the|##United|##States|.|Ċ|Ċ|""|I|'m","Sam managed to order a beer at the bar. It was a beer that was made by a brewery in the United States.

""I'm"
7_beer_failed,Sam failed to order a beer at the bar. It,failed,it,"Sam|##failed|##to|##order|##a|##beer|##at|##the|##bar|.|##It|##was|##a|##Saturday|##night|,|##and|##the|##bar|##was|##packed|.|Ċ|Ċ|""|I|##was|##like|,|##'","Sam failed to order a beer at the bar. It was a Saturday night, and the bar was packed.

""I was like, '"
8_cake_affirmative,Michael baked a cake and it,affirmative,it,Michael|##baked|##a|##cake|##and|##it|##was|##delicious|.|##I|##had|##a|##great|##time|.|##I|##will|##definitely|##be|##back|.|Ċ|Ċ|I|##had|##a|##great|##time|##here|.,"Michael baked a cake and it was delicious. I had a great time. I will definitely be back.

I had a great time here."
8_cake_negated,Michael didn't bake a cake and it,negated,it,"Michael|##didn|'t|##bake|##a|##cake|##and|##it|##was|##a|##mistake|.|Ċ|Ċ|""|I|'m|##sorry|,|##I|'m|##sorry|,""|##he|##said|.|##""|I|'m|##sorry","Michael didn't bake a cake and it was a mistake.

""I'm sorry, I'm sorry,"" he said. ""I'm sorry"
8_cake_know,I know that Michael baked a cake. It,know,it,"I|##know|##that|##Michael|##baked|##a|##cake|.|##It|##was|##a|##cake|##that|##he|##baked|##for|##his|##wife|,|##and|##it|##was|##a|##cake|##that|##he|##baked|##for|##his|##wife","I know that Michael baked a cake. It was a cake that he baked for his wife, and it was a cake that he baked for his wife"
8_cake_doubt,I doubt that Michael baked a cake. It,doubt,it,I|##doubt|##that|##Michael|##baked|##a|##cake|.|##It|'s|##not|##like|##he|'s|##a|##baker|.|##He|'s|##a|##lawyer|.|##He|'s|##a|##lawyer|##who|##has|##a|##lot,I doubt that Michael baked a cake. It's not like he's a baker. He's a lawyer. He's a lawyer who has a lot
8_cake_modal,Michael wants to bake a cake and it,modal,it,Michael|##wants|##to|##bake|##a|##cake|##and|##it|'s|##a|##cake|##that|##he|##wants|##to|##bake|.|##He|##wants|##to|##bake|##a|##cake|##that|##he|##wants|##to|##bake|.|##He,Michael wants to bake a cake and it's a cake that he wants to bake. He wants to bake a cake that he wants to bake. He
8_cake_managed,Michael managed to bake a cake. It,managed,it,"Michael|##managed|##to|##bake|##a|##cake|.|##It|##was|##a|##cake|##that|##was|##a|##little|##bit|##too|##big|##for|##her|,|##but|##she|##was|##happy|##with|##it|.|Ċ|Ċ","Michael managed to bake a cake. It was a cake that was a little bit too big for her, but she was happy with it.

"
8_cake_failed,Michael failed to bake a cake. It,failed,it,Michael|##failed|##to|##bake|##a|##cake|.|##It|##was|##a|##cake|##that|##was|##not|##a|##cake|.|##It|##was|##a|##cake|##that|##was|##not|##a|##cake|.|##It|##was|##a,Michael failed to bake a cake. It was a cake that was not a cake. It was a cake that was not a cake. It was a
9_letter_affirmative,Carolyn wrote a letter to her parents and it,affirmative,it,"Car|olyn|##wrote|##a|##letter|##to|##her|##parents|##and|##it|##was|##sent|##to|##the|##school|.|Ċ|Ċ|""|I|##was|##very|##upset|##and|##I|##was|##very|##upset|##that|##I","Carolyn wrote a letter to her parents and it was sent to the school.

""I was very upset and I was very upset that I"
9_letter_negated,Carolyn didn't write a letter to her parents and it,negated,it,"Car|olyn|##didn|'t|##write|##a|##letter|##to|##her|##parents|##and|##it|##was|##never|##addressed|##to|##them|.|Ċ|Ċ|""|I|##was|##just|##a|##kid|,""|##she|##said|.","Carolyn didn't write a letter to her parents and it was never addressed to them.

""I was just a kid,"" she said."
9_letter_know,I know that Carolyn wrote a letter to her parents. It,know,it,I|##know|##that|##Carolyn|##wrote|##a|##letter|##to|##her|##parents|.|##It|##was|##a|##very|##emotional|##letter|.|##She|##was|##very|##upset|.|##She|##was|##very|##upset|.|##She|##was,I know that Carolyn wrote a letter to her parents. It was a very emotional letter. She was very upset. She was very upset. She was
9_letter_doubt,I doubt that Carolyn wrote a letter to her parents. It,doubt,it,"I|##doubt|##that|##Carolyn|##wrote|##a|##letter|##to|##her|##parents|.|##It|'s|##possible|##that|##she|##wrote|##a|##letter|##to|##her|##mother|,|##but|##I|##doubt|##that|##she|##wrote|##a","I doubt that Carolyn wrote a letter to her parents. It's possible that she wrote a letter to her mother, but I doubt that she wrote a"
9_letter_modal,Carolyn wants to write a letter to her parents and it,modal,it,Car|olyn|##wants|##to|##write|##a|##letter|##to|##her|##parents|##and|##it|'s|##a|##letter|##that|##she|'s|##been|##wanting|##to|##write|##for|##a|##long|##time|.|##She|'s|##been,Carolyn wants to write a letter to her parents and it's a letter that she's been wanting to write for a long time. She's been
9_letter_managed,Carolyn managed to write a letter to her parents. It,managed,it,"Car|olyn|##managed|##to|##write|##a|##letter|##to|##her|##parents|.|##It|##was|##a|##long|##letter|,|##but|##it|##was|##a|##letter|.|##She|##wrote|##about|##how|##she|##was|##going","Carolyn managed to write a letter to her parents. It was a long letter, but it was a letter. She wrote about how she was going"
9_letter_failed,Carolyn failed to write a letter to her parents. It,failed,it,"Car|olyn|##failed|##to|##write|##a|##letter|##to|##her|##parents|.|##It|##was|##a|##mistake|.|Ċ|Ċ|""|I|##was|##so|##angry|,""|##she|##said|.|##""|I|##was","Carolyn failed to write a letter to her parents. It was a mistake.

""I was so angry,"" she said. ""I was"
10_hat_affirmative,Chris knitted a hat and it,affirmative,it,Chris|##kn|itted|##a|##hat|##and|##it|##was|##a|##great|##hat|.|##I|##was|##very|##happy|##with|##it|.|##I|##was|##very|##happy|##with|##the|##hat|.|##I|##was|##very,Chris knitted a hat and it was a great hat. I was very happy with it. I was very happy with the hat. I was very
10_hat_negated,Chris didn't knit a hat and it,negated,it,Chris|##didn|'t|##knit|##a|##hat|##and|##it|##was|##a|##great|##idea|.|##I|'m|##not|##sure|##if|##I|##would|##have|##done|##it|##if|##I|##had|##known|##that|##it|##would,Chris didn't knit a hat and it was a great idea. I'm not sure if I would have done it if I had known that it would
10_hat_know,I know that Chris knitted a hat. It,know,it,I|##know|##that|##Chris|##kn|itted|##a|##hat|.|##It|'s|##a|##very|##nice|##hat|.|##I|##think|##it|'s|##a|##very|##nice|##hat|.|##I|##think|##it|'s|##a,I know that Chris knitted a hat. It's a very nice hat. I think it's a very nice hat. I think it's a
10_hat_doubt,I doubt that Chris knitted a hat. It,doubt,it,I|##doubt|##that|##Chris|##kn|itted|##a|##hat|.|##It|'s|##not|##like|##he|'s|##a|##kn|itter|.|##He|'s|##a|##designer|.|##He|'s|##a|##designer|##who|##makes,I doubt that Chris knitted a hat. It's not like he's a knitter. He's a designer. He's a designer who makes
10_hat_modal,Chris wants to knit a hat and it,modal,it,Chris|##wants|##to|##knit|##a|##hat|##and|##it|'s|##a|##great|##idea|.|##I|'m|##going|##to|##knit|##it|##and|##then|##I|'m|##going|##to|##knit|##a|##hat|##and|##then,Chris wants to knit a hat and it's a great idea. I'm going to knit it and then I'm going to knit a hat and then
10_hat_managed,Chris managed to knit a hat. It,managed,it,"Chris|##managed|##to|##knit|##a|##hat|.|##It|##was|##a|##simple|##hat|,|##but|##it|##was|##a|##hat|.|##It|##was|##a|##hat|##that|##was|##made|##of|##wool|##and|##it","Chris managed to knit a hat. It was a simple hat, but it was a hat. It was a hat that was made of wool and it"
10_hat_failed,Chris failed to knit a hat. It,failed,it,"Chris|##failed|##to|##knit|##a|##hat|.|##It|##was|##a|##very|##nice|##hat|,|##but|##it|##was|##a|##hat|.|Ċ|Ċ|""|I|##was|##very|##happy|##with|##the|##hat","Chris failed to knit a hat. It was a very nice hat, but it was a hat.

""I was very happy with the hat"
11_cod_affirmative,Sarah caught a cod and it,affirmative,it,Sarah|##caught|##a|##cod|##and|##it|##was|##delicious|.|##She|##was|##so|##full|##of|##it|##that|##she|##couldn|'t|##eat|##it|.|##She|##was|##so|##full|##of|##it|##that|##she,Sarah caught a cod and it was delicious. She was so full of it that she couldn't eat it. She was so full of it that she
11_cod_negated,Sarah didn't catch a cod and it,negated,it,"Sarah|##didn|'t|##catch|##a|##cod|##and|##it|##was|##a|##good|##day|.|Ċ|Ċ|""|I|'m|##going|##to|##go|##to|##the|##bathroom|,""|##she|##said|.|Ċ|Ċ","Sarah didn't catch a cod and it was a good day.

""I'm going to go to the bathroom,"" she said.

"
11_cod_know,I know that Sarah caught a cod. It,know,it,I|##know|##that|##Sarah|##caught|##a|##cod|.|##It|##was|##a|##big|##one|.|##I|'m|##not|##sure|##if|##it|##was|##a|##big|##one|##or|##not|.|##I|##don|'t,I know that Sarah caught a cod. It was a big one. I'm not sure if it was a big one or not. I don't
11_cod_doubt,I doubt that Sarah caught a cod. It,doubt,it,I|##doubt|##that|##Sarah|##caught|##a|##cod|.|##It|'s|##not|##like|##she|'s|##a|##fish|##person|.|##She|'s|##a|##fish|##person|##who|'s|##been|##around|##the|##block|##a,I doubt that Sarah caught a cod. It's not like she's a fish person. She's a fish person who's been around the block a
11_cod_modal,Sarah wants to catch a cod and it,modal,it,Sarah|##wants|##to|##catch|##a|##cod|##and|##it|'s|##not|##going|##to|##happen|.|##She|'s|##not|##going|##to|##get|##a|##cod|.|##She|'s|##not|##going|##to|##get|##a,Sarah wants to catch a cod and it's not going to happen. She's not going to get a cod. She's not going to get a
11_cod_managed,Sarah managed to catch a cod. It,managed,it,"Sarah|##managed|##to|##catch|##a|##cod|.|##It|##was|##a|##small|,|##white|##fish|,|##about|##the|##size|##of|##a|##small|##dog|.|##She|##took|##it|##to|##the|##kitchen|##and","Sarah managed to catch a cod. It was a small, white fish, about the size of a small dog. She took it to the kitchen and"
11_cod_failed,Sarah failed to catch a cod. It,failed,it,"Sarah|##failed|##to|##catch|##a|##cod|.|##It|##was|##a|##big|##one|.|Ċ|Ċ|""|I|'m|##sorry|,|##I|'m|##sorry|,""|##she|##said|.|##""|I|'m","Sarah failed to catch a cod. It was a big one.

""I'm sorry, I'm sorry,"" she said. ""I'm"
12_ticket_affirmative,Thomas booked a ticket in advance and it,affirmative,it,Thomas|##booked|##a|##ticket|##in|##advance|##and|##it|##was|##a|##great|##experience|.|##The|##food|##was|##great|##and|##the|##service|##was|##great|.|##I|##will|##definitely|##be|##back|.|Ċ,"Thomas booked a ticket in advance and it was a great experience. The food was great and the service was great. I will definitely be back.
"
12_ticket_negated,Thomas didn't book a ticket in advance and it,negated,it,Thomas|##didn|'t|##book|##a|##ticket|##in|##advance|##and|##it|##was|##a|##bit|##of|##a|##surprise|##when|##he|##got|##a|##call|##from|##the|##hotel|##saying|##he|##had|##to|##leave|.,Thomas didn't book a ticket in advance and it was a bit of a surprise when he got a call from the hotel saying he had to leave.
12_ticket_know,I know that Thomas booked a ticket in advance. It,know,it,I|##know|##that|##Thomas|##booked|##a|##ticket|##in|##advance|.|##It|'s|##not|##like|##he|'s|##going|##to|##be|##sitting|##in|##a|##car|##with|##a|##bunch|##of|##people|.|##He,I know that Thomas booked a ticket in advance. It's not like he's going to be sitting in a car with a bunch of people. He
12_ticket_doubt,I doubt that Thomas booked a ticket in advance. It,doubt,it,I|##doubt|##that|##Thomas|##booked|##a|##ticket|##in|##advance|.|##It|'s|##possible|##that|##he|##was|##in|##the|##area|##and|##just|##happened|##to|##be|##in|##the|##right|##place|##at|##the,I doubt that Thomas booked a ticket in advance. It's possible that he was in the area and just happened to be in the right place at the
12_ticket_modal,Thomas wants to book a ticket in advance and it,modal,it,"Thomas|##wants|##to|##book|##a|##ticket|##in|##advance|##and|##it|'s|##not|##clear|##if|##he|'ll|##be|##able|##to|.|Ċ|Ċ|""|I|'m|##not|##sure|##if|##I|##can","Thomas wants to book a ticket in advance and it's not clear if he'll be able to.

""I'm not sure if I can"
12_ticket_managed,Thomas managed to book a ticket. It,managed,it,"Thomas|##managed|##to|##book|##a|##ticket|.|##It|##was|##a|##long|##flight|,|##but|##he|##was|##able|##to|##get|##a|##seat|##on|##the|##plane|.|Ċ|Ċ|""|I|##was","Thomas managed to book a ticket. It was a long flight, but he was able to get a seat on the plane.

""I was"
12_ticket_failed,Thomas failed to book a ticket. It,failed,it,"Thomas|##failed|##to|##book|##a|##ticket|.|##It|##was|##a|##Saturday|##night|,|##and|##the|##only|##other|##person|##in|##the|##car|##was|##a|##friend|##of|##his|.|Ċ|Ċ|""","Thomas failed to book a ticket. It was a Saturday night, and the only other person in the car was a friend of his.

"""
