id,sentence,type,pronoun,tokens,log_probs,continuation
4_book_managed,Susan managed to write books. They,managed,it,Susan| managed| to| write| books|.| They| were| not| as| good| as| the| ones| she| had| written,-9.99577|-0.09541632|-6.20614|-7.774005|-4.0184712|-4.1232953|-1.2514077|-2.5243812|-2.407839|-1.0261232|-0.06645072|-2.05166|-1.021221|-0.9007845|-1.0610417|-0.92747635,Susan managed to write books. They were not as good as the ones she had written
4_book_failed,Susan failed to write books. They,failed,it,Susan| failed| to| write| books|.| They| were| not| her| for|te|.| She| was| a| great,-11.023036|-0.21683748|-5.9102583|-6.887488|-2.5321152|-5.1273723|-1.7671776|-2.8137507|-2.6825535|-2.2812107|-0.0012037387|-0.3403114|-1.4392234|-1.4957521|-1.2124779|-3.0252051,Susan failed to write books. They were not her forte. She was a great
5_shirt_affirmative,Mary found shirts at the store and they,affirmative,it,"Mary| found| shirts| at| the| store| and| they| were| able| to| get| back| to| the| house|.|
",-7.6194596|-13.219799|-4.198933|-1.0824496|-3.6964834|-2.1337817|-3.144585|-1.7335205|-2.8943272|-0.005830067|-1.5865386|-2.4197228|-0.6734876|-0.47493443|-1.955127|-1.6986891|-2.1668208,"Mary found shirts at the store and they were able to get back to the house.
"
5_shirt_negated,Mary didn't find shirts at the store and they,negated,it,Mary| didn|'t| find| shirts| at| the| store| and| they| were| out| of| stock| at| the| other| store|.| She,-7.4551835|-0.45375654|-5.7980075|-13.478244|-3.5845768|-1.1964227|-1.8785852|-3.2313294|-4.045698|-2.0517237|-2.0947235|-0.08233397|-1.7961183|-1.4299142|-0.66010815|-1.9783354|-1.3982378|-0.8009659|-1.5055889,Mary didn't find shirts at the store and they were out of stock at the other store. She
5_shirt_know,I know that Mary found shirts at the store. They,know,it,"I| know| that| Mary| found| shirts| at| the| store|.| They| were| on| sale|.|
|
|I| know| that| Mary",-4.262352|-2.3885374|-9.143673|-6.7670074|-12.717768|-3.0385926|-1.6024085|-3.5616775|-2.463315|-4.4866843|-1.2041637|-1.3509297|-0.16573447|-1.1878464|-1.5505785|-0.00095103995|-1.9161999|-0.4849598|-0.10129927|-0.48839456,"I know that Mary found shirts at the store. They were on sale.

I know that Mary"
5_shirt_doubt,I doubt that Mary found shirts at the store. They,doubt,it,"I| doubt| that| Mary| found| shirts| at| the| store|.| They| were| probably| made| by| her| mother|.|
|
|Mary",-8.072012|-1.9181265|-9.088932|-6.6432657|-13.530943|-3.816995|-1.4887143|-3.0258458|-1.8152863|-3.4121714|-1.7675745|-0.48017868|-2.3843167|-0.8636839|-1.3571187|-1.095833|-1.2113196|-1.5842135|-0.0027548044|-2.9011436,"I doubt that Mary found shirts at the store. They were probably made by her mother.

Mary"
5_shirt_modal,Mary wants to find shirts at the store and they,modal,it,Mary| wants| to| find| shirts| at| the| store| and| they| are| all| out| of| her| size|.| She| is| upset,-9.947539|-0.5215013|-4.6814723|-12.316426|-4.6374073|-1.5334876|-2.1047487|-4.00906|-4.2307224|-1.871224|-2.2786877|-1.8381288|-0.45628706|-0.6301483|-0.03577312|-0.2992114|-1.318051|-2.164243|-2.568912,Mary wants to find shirts at the store and they are all out of her size. She is upset
5_shirt_managed,Mary managed to find shirts at the store. They,managed,it,"Mary| managed| to| find| shirts| at| the| store|.| They| were| a| little| big|,| but| she| didn|'t| care",-10.077516|-0.2793577|-3.6577919|-11.245289|-4.3173566|-1.2318647|-3.4208548|-2.1223695|-2.9968662|-0.794546|-2.2843323|-0.80080247|-1.465703|-0.82992536|-0.100061916|-1.2808168|-1.978315|-0.21796864|-0.82101846,"Mary managed to find shirts at the store. They were a little big, but she didn't care"
5_shirt_failed,Mary failed to find shirts at the store. They,failed,it,"Mary| failed| to| find| shirts| at| the| store|.| They| were| all| too| big|.|
|
|Mary| failed| to",-11.524528|-0.30735037|-4.043945|-13.483342|-4.02817|-1.2491907|-2.2073996|-1.8624436|-4.782556|-1.2819539|-1.3751932|-0.93105435|-1.1935173|-0.6102325|-1.2408873|-0.0014391888|-1.3831027|-2.3192306|-0.019738393,"Mary failed to find shirts at the store. They were all too big.

Mary failed to"
6_rat_affirmative,Carla got pet rats and they,affirmative,it,Car|la| got| pet| rats| and| they| were| so| cute|.| I| was| jealous|.| I| wanted,-4.754235|-7.336033|-11.330627|-8.065153|-2.6075587|-3.1572642|-1.8282645|-2.5070784|-0.90308905|-1.2318138|-1.8454458|-2.677598|-2.363307|-1.1353503|-1.3095946|-1.68992,Carla got pet rats and they were so cute. I was jealous. I wanted
6_rat_negated,Carla didn't get pet rats and they,negated,it,"Car|la| didn|'t| get| pet| rats| and| they| were| not| allowed| to| be| in| the| house|.|
",-4.7530766|-5.885615|-0.2810215|-4.247388|-11.523924|-7.597609|-4.287023|-3.8474438|-2.0847363|-2.7110713|-2.9241083|-0.774279|-1.8282514|-1.5137036|-0.6915328|-0.9231046|-0.6393185|-1.9230376,"Carla didn't get pet rats and they were not allowed to be in the house.
"
6_rat_know,I know that Carla got pet rats. They,know,it,I| know| that| Car|la| got| pet| rats|.| They| were| so| cute|.| I| think| she| had| two| of,-4.2625704|-2.3891652|-9.504979|-2.0953681|-5.992834|-11.665789|-6.030572|-2.5502546|-2.6775172|-1.4168713|-2.8228595|-0.68702143|-0.9705509|-1.3351135|-2.7236052|-1.2425373|-1.8248241|-1.179086|-1.013688,I know that Carla got pet rats. They were so cute. I think she had two of
6_rat_doubt,I doubt that Carla got pet rats. They,doubt,it,I| doubt| that| Car|la| got| pet| rats|.| They|'re| not| exactly| the| most| popular| pet|.| I|'m,-8.071987|-1.9223529|-9.48205|-1.9990302|-5.5875134|-11.821439|-6.075518|-1.9400296|-3.0695987|-1.1668721|-1.9916843|-1.9967159|-1.5402999|-1.5529622|-1.6953018|-0.9098801|-1.6503869|-2.0323117|-1.9062814,I doubt that Carla got pet rats. They're not exactly the most popular pet. I'm
6_rat_modal,Carla wants to get pet rats and they,modal,it,Car|la| wants| to| get| pet| rats| and| they| are| so| cute|.| I| want| to| get| a| pet,-4.75377|-8.314785|-0.4855908|-3.4402971|-10.282836|-6.6461887|-2.7926025|-4.4961634|-1.6502663|-3.0021994|-0.6755389|-1.3858181|-1.8127021|-1.9483056|-0.86595714|-0.5351413|-1.2403601|-2.3922756,Carla wants to get pet rats and they are so cute. I want to get a pet
6_rat_managed,Carla managed to get pet rats. They,managed,it,Car|la| managed| to| get| pet| rats|.| They| were| so| cute|.| I| was| so| jealous|.| I,-4.754254|-10.335542|-0.38529548|-2.083691|-12.44899|-8.424905|-2.796474|-2.4573495|-1.2949569|-2.7525973|-0.9193446|-1.1602621|-1.8133131|-2.7757337|-2.5718827|-0.7912192|-0.58352816|-1.2662302,Carla managed to get pet rats. They were so cute. I was so jealous. I
6_rat_failed,Carla failed to get pet rats. They,failed,it,Car|la| failed| to| get| pet| rats|.| They| were| too| expensive|.| She| got| a| ham|ster| instead,-4.753673|-11.147278|-0.23526886|-3.3548286|-13.026628|-7.831532|-3.3326328|-3.9393065|-1.659146|-1.9296293|-1.2646105|-0.829451|-1.4723201|-2.3494623|-1.0552704|-2.1004324|-0.0010966838|-0.28167793,Carla failed to get pet rats. They were too expensive. She got a hamster instead
7_beer_affirmative,Sam ordered beers at the bar and they,affirmative,it,"Sam| ordered| beers| at| the| bar| and| they| took| a| table| in| the| corner|.|
|
|""",-9.449375|-8.4321165|-3.0363998|-0.17331974|-0.22789237|-0.94458175|-2.0902064|-1.8819684|-0.71724254|-0.58921945|-1.2428166|-0.28252986|-0.61193943|-0.5472333|-1.5981375|-0.000353232|-0.7733356,"Sam ordered beers at the bar and they took a table in the corner.

"""
7_beer_negated,Sam didn't order beers at the bar and they,negated,it,Sam| didn|'t| order| beers| at| the| bar| and| they| didn|'t| go| to| a| table|.| They| stood| in,-7.0193605|-0.28129226|-9.271524|-8.928959|-3.713899|-0.73882455|-0.6194329|-3.5988028|-2.4283957|-1.2378834|-0.0010522894|-2.424595|-0.74324954|-0.8599411|-0.28476247|-0.52616733|-1.1554645|-2.1723561|-1.8137119,Sam didn't order beers at the bar and they didn't go to a table. They stood in
7_beer_know,I know that Sam ordered beers at the bar. They,know,it,"I| know| that| Sam| ordered| beers| at| the| bar|.| They| were| served| in| tall| glasses|,| and| I| remember| that",-4.261593|-2.3901029|-8.488113|-9.267272|-10.392135|-3.1679382|-0.47436962|-0.69492465|-1.8096493|-4.173409|-1.5414284|-2.5107703|-0.6819425|-2.0265217|-0.9700157|-1.360372|-1.5667108|-1.9589372|-2.2732255|-1.5161622,"I know that Sam ordered beers at the bar. They were served in tall glasses, and I remember that"
7_beer_doubt,I doubt that Sam ordered beers at the bar. They,doubt,it,"I| doubt| that| Sam| ordered| beers| at| the| bar|.| They| were| probably| served| to| him| by| the| bartender|.|
",-8.072357|-1.9217082|-8.651535|-9.895556|-11.697582|-3.2120988|-1.055088|-1.1165695|-1.3886422|-4.198316|-1.9428395|-0.76391613|-2.7903798|-1.3102294|-0.67516977|-1.8502271|-1.147796|-1.3871068|-0.94959164|-1.7589248,"I doubt that Sam ordered beers at the bar. They were probably served to him by the bartender.
"
7_beer_modal,Sam wants to order beers at the bar and they,modal,it,"Sam| wants| to| order| beers| at| the| bar| and| they|'re| all| out| of| beer|.|
|
|Sam|:",-8.37808|-0.40596014|-8.018745|-7.9809613|-2.9995801|-0.5590423|-0.37421963|-2.5504909|-4.6428885|-2.4615343|-2.4716666|-0.7293697|-0.44162872|-1.8450406|-0.768997|-1.7419496|-0.0013993168|-1.6907805|-1.534531,"Sam wants to order beers at the bar and they're all out of beer.

Sam:"
7_beer_managed,Sam managed to order beers at the bar. They,managed,it,"Sam| managed| to| order| beers| at| the| bar|.| They| were| served| in| frost|ed| glasses|,| and| the| foam",-9.609608|-0.13900305|-8.373603|-8.684558|-3.2232237|-0.33755833|-0.33572936|-2.3142402|-2.865982|-1.4444101|-2.2937546|-0.8514188|-2.2022395|-0.25061214|-0.71467775|-1.4726654|-1.2035587|-1.7489132|-2.222412,"Sam managed to order beers at the bar. They were served in frosted glasses, and the foam"
7_beer_failed,Sam failed to order beers at the bar. They,failed,it,Sam| failed| to| order| beers| at| the| bar|.| They| were| served| to| him| in| a| frost|ed| glass|.,-11.335543|-0.36897922|-8.517813|-9.679587|-3.1181355|-0.572748|-0.76301295|-1.3032688|-4.3205037|-1.9174604|-3.057659|-1.6564882|-1.148068|-1.6810528|-1.5397094|-2.406635|-0.5410814|-1.0033656|-1.2126921,Sam failed to order beers at the bar. They were served to him in a frosted glass.
8_cake_affirmative,Michael baked cakes and they,affirmative,it,"Michael| baked| cakes| and| they| were| delicious|.|
|
|I| was| so| happy| to",-13.238699|-6.073831|-1.871235|-5.205753|-1.67752|-1.9405937|-0.6706335|-1.4676125|-0.0028899538|-2.4939742|-3.0383153|-3.086367|-1.9566272|-1.3446385,"Michael baked cakes and they were delicious.

I was so happy to"
8_cake_negated,Michael didn't bake cakes and they,negated,it,"Michael| didn|'t| bake| cakes| and| they| didn|'t| have| a| dog|.|
|
|""|I",-6.964642|-0.29203805|-12.185942|-3.8481796|-3.6963224|-5.3005257|-1.1957105|-0.00089985156|-1.1321837|-1.3377566|-2.559143|-0.7986041|-1.5322926|-0.0008356018|-1.8723627|-1.9820173,"Michael didn't bake cakes and they didn't have a dog.

""I"
8_cake_know,I know that Michael baked cakes. They,know,it,I| know| that| Michael| baked| cakes|.| They| were| delicious|.| I| know| that| he| was| a| good,-4.262303|-2.3906283|-8.552139|-11.961956|-4.7146072|-2.8320556|-4.699309|-1.0774764|-2.2822096|-0.7987381|-1.8149322|-2.3684301|-0.42841613|-1.2284012|-2.222066|-1.3447311|-1.836569,I know that Michael baked cakes. They were delicious. I know that he was a good
8_cake_doubt,I doubt that Michael baked cakes. They,doubt,it,"I| doubt| that| Michael| baked| cakes|.| They| were| probably| bought| from| a| bakery|.|
|
|I",-8.072716|-1.9201941|-8.698228|-12.180413|-5.4037924|-2.2663572|-5.408901|-1.5868468|-1.1712164|-2.133784|-1.2467059|-0.69102854|-1.1383955|-1.0727966|-1.9248315|-0.0019963782|-2.6497223,"I doubt that Michael baked cakes. They were probably bought from a bakery.

I"
8_cake_modal,Michael wants to bake cakes and they,modal,it,"Michael| wants| to| bake| cakes| and| they| are| all| delicious|.|
|
|Michael| wants| to| bake",-9.169137|-0.4879547|-9.4806385|-4.6288958|-1.9607464|-6.3083143|-2.1115773|-2.7376268|-2.4953818|-0.87691605|-1.5337276|-0.0029990503|-2.6203003|-2.0276697|-0.059313472|-0.819652,"Michael wants to bake cakes and they are all delicious.

Michael wants to bake"
8_cake_managed,Michael managed to bake cakes. They,managed,it,Michael| managed| to| bake| cakes|.| They| were| not| as| good| as| the| ones| his| mother| made,-9.136803|-0.20726703|-10.740409|-5.2968364|-3.7869506|-4.2396193|-1.0555829|-2.5703201|-1.8479131|-0.84178764|-0.037014533|-1.9990451|-0.5841344|-1.9255297|-0.88587004|-0.984654,Michael managed to bake cakes. They were not as good as the ones his mother made
8_cake_failed,Michael failed to bake cakes. They,failed,it,"Michael| failed| to| bake| cakes|.| They| were| all| burnt|.|
|
|Michael| failed| to| bake",-10.14842|-0.33935633|-11.993453|-4.7746644|-2.9024127|-5.1329107|-1.3478539|-2.3551025|-2.2076108|-0.6731243|-0.97596824|-0.0028008292|-1.9832574|-1.6587213|-0.056384332|-0.70067286,"Michael failed to bake cakes. They were all burnt.

Michael failed to bake"
9_letter_affirmative,Carolyn wrote letters to her husband and they,affirmative,it,Car|olyn| wrote| letters| to| her| husband| and| they| were| returned| to| her| un|opened|.| She| was| not,-6.365723|-8.076578|-7.000133|-0.5815664|-1.6318985|-2.6742766|-1.8289741|-6.1657596|-0.6660721|-2.1619275|-1.1322227|-0.12321135|-0.7249896|-0.044318758|-0.29981115|-1.331014|-2.1745665|-2.4340577,Carolyn wrote letters to her husband and they were returned to her unopened. She was not
9_letter_negated,Carolyn didn't write letters to her husband and they,negated,it,Car|olyn| didn|'t| write| letters| to| her| husband| and| they| didn|'t| have| a| phone|.| She| had| no| way,-6.3651624|-6.816657|-0.3128473|-7.8424916|-5.7674394|-2.3172045|-1.4129479|-2.8437133|-3.7522094|-5.292176|-1.2645206|-0.002265352|-1.7867334|-0.9147196|-1.3482927|-1.0511538|-1.6962769|-2.3306136|-1.4617422|-0.5701604,Carolyn didn't write letters to her husband and they didn't have a phone. She had no way
9_letter_know,I know that Carolyn wrote letters to her husband. They,know,it,I| know| that| Carolyn| wrote| letters| to| her| husband|.| They| were| in| the| box|.| I| read| them|.| I,-4.262354|-2.388538|-11.130702|-6.91252|-5.164874|-0.50374806|-1.9054002|-3.2989259|-2.8401668|-3.9103549|-0.9486168|-2.6453853|-1.059471|-2.5411468|-1.8341576|-1.353635|-2.5914497|-0.36736968|-0.9078016|-1.3865824,I know that Carolyn wrote letters to her husband. They were in the box. I read them. I
9_letter_doubt,I doubt that Carolyn wrote letters to her husband. They,doubt,it,"I| doubt| that| Carolyn| wrote| letters| to| her| husband|.| They| were| probably| written| by| her| mother|.|
|
|I",-8.072716|-1.914936|-11.421613|-8.1353445|-6.9665265|-0.87570083|-1.8712013|-3.1202097|-1.8493942|-4.0020223|-1.3268491|-2.1369715|-1.8696018|-0.254434|-1.8204619|-1.6810901|-1.4294317|-1.9819793|-0.002862875|-2.432038,"I doubt that Carolyn wrote letters to her husband. They were probably written by her mother.

I"
9_letter_modal,Carolyn wants to write letters to her parents and they,modal,it,Car|olyn| wants| to| write| letters| to| her| parents| and| they| are| not| allowed| to| send| them|.| She| wants| to,-6.365686|-8.318798|-0.48941863|-5.4909573|-6.077088|-0.54042757|-1.6374602|-3.5094664|-1.6480217|-6.116201|-2.1506777|-2.9346309|-1.988528|-0.27098662|-1.982377|-1.0077404|-0.7958155|-1.8400934|-1.945388|-0.1781132,Carolyn wants to write letters to her parents and they are not allowed to send them. She wants to
9_letter_managed,Carolyn managed to write letters to her husband. They,managed,it,Car|olyn| managed| to| write| letters| to| her| husband|.| They| were| smuggled| out| of| the| camp| and| delivered| to| him,-6.36526|-9.5529|-0.48377866|-6.705553|-5.848302|-0.65263516|-1.1631078|-2.5679421|-3.4721985|-3.1523407|-0.48716232|-2.627364|-0.25317544|-0.6992911|-0.45517573|-1.0661575|-1.2371515|-1.4236568|-0.20631118|-0.9304019,Carolyn managed to write letters to her husband. They were smuggled out of the camp and delivered to him
