id,sentence,type,expected,order,tokens,log_probs,pronoun_log_prob,critical_token_idx
2_car_know_doubt,I know that Lucy has a car but I doubt that she has a bike. The car,know_doubt,1,1,I|##know|##that|##Lucy|##has|##a|##car|##but|##I|##doubt|##that|##she|##has|##a|##bike|.|##The|##car|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-8.58757|-9.341393|-8.759329|-8.54962|-8.578176|-10.215519|-14.65991|-5.110429|-10.72422|-9.301212|-9.465143|-7.642241|-9.979634|-11.568285|-7.200756|-12.588504,-7.200756,17
2_car_know_doubt,I know that Lucy has a car but I doubt that she has a bike. The bike,know_doubt,0,1,I|##know|##that|##Lucy|##has|##a|##car|##but|##I|##doubt|##that|##she|##has|##a|##bike|.|##The|##bike|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-8.58757|-9.341393|-8.759329|-8.54962|-8.578176|-10.215519|-14.65991|-5.110429|-10.72422|-9.301212|-9.465143|-7.642241|-9.979634|-11.568285|-6.0561924|-12.593717,-6.0561924,17
2_car_know_doubt,I know that Lucy has a bike but I doubt that she has a car. The bike,know_doubt,1,2,I|##know|##that|##Lucy|##has|##a|##bike|##but|##I|##doubt|##that|##she|##has|##a|##car|.|##The|##bike|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-8.58757|-9.341393|-8.759329|-6.6434774|-8.452539|-10.285245|-14.678339|-5.3093247|-10.938482|-9.30057|-9.077761|-7.7821198|-10.127065|-11.699669|-6.1232023|-12.596817,-6.1232023,17
2_car_know_doubt,I know that Lucy has a bike but I doubt that she has a car. The car,know_doubt,0,2,I|##know|##that|##Lucy|##has|##a|##bike|##but|##I|##doubt|##that|##she|##has|##a|##car|.|##The|##car|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-8.58757|-9.341393|-8.759329|-6.6434774|-8.452539|-10.285245|-14.678339|-5.3093247|-10.938482|-9.30057|-9.077761|-7.7821198|-10.127065|-11.699669|-7.5849104|-12.592323,-7.5849104,17
2_car_doubt_know,I doubt that Lucy has a car but I know that she has a bike. The bike,doubt_know,1,1,I|##doubt|##that|##Lucy|##has|##a|##car|##but|##I|##know|##that|##she|##has|##a|##bike|.|##The|##bike|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-8.645184|-9.73258|-9.379074|-7.7695026|-9.377424|-10.489809|-12.177277|-6.158376|-10.091711|-9.162434|-8.8683815|-7.914577|-9.937515|-11.408979|-6.025509|-12.59318,-6.025509,17
2_car_doubt_know,I doubt that Lucy has a car but I know that she has a bike. The car,doubt_know,0,1,I|##doubt|##that|##Lucy|##has|##a|##car|##but|##I|##know|##that|##she|##has|##a|##bike|.|##The|##car|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-8.645184|-9.73258|-9.379074|-7.7695026|-9.377424|-10.489809|-12.177277|-6.158376|-10.091711|-9.162434|-8.8683815|-7.914577|-9.937515|-11.408979|-7.5812845|-12.586792,-7.5812845,17
2_car_doubt_know,I doubt that Lucy has a bike but I know that she has a car. The car,doubt_know,1,2,I|##doubt|##that|##Lucy|##has|##a|##bike|##but|##I|##know|##that|##she|##has|##a|##car|.|##The|##car|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-8.645184|-9.73258|-9.379074|-6.1199856|-9.157139|-10.540786|-11.983335|-6.0814786|-10.222526|-9.2260895|-8.876113|-7.7044587|-10.024777|-11.347771|-7.5175076|-12.587767,-7.5175076,17
2_car_doubt_know,I doubt that Lucy has a bike but I know that she has a car. The bike,doubt_know,0,2,I|##doubt|##that|##Lucy|##has|##a|##bike|##but|##I|##know|##that|##she|##has|##a|##car|.|##The|##bike|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-8.645184|-9.73258|-9.379074|-6.1199856|-9.157139|-10.540786|-11.983335|-6.0814786|-10.222526|-9.2260895|-8.876113|-7.7044587|-10.024777|-11.347771|-6.0935144|-12.592432,-6.0935144,17
2_car_affirmative_modal,Peter has a car but he wants to have a bike. The car,affirmative_modal,1,1,Peter|##has|##a|##car|##but|##he|##wants|##to|##have|##a|##bike|.|##The|##car|<|endoftext|>,-11.788133|-8.307171|-8.850384|-9.030485|-9.254052|-9.712521|-13.949741|-8.583488|-10.94934|-8.9652195|-7.4688478|-10.878291|-11.504435|-7.196476|-12.71802,-7.196476,13
2_car_affirmative_modal,Peter has a car but he wants to have a bike. The bike,affirmative_modal,0,1,Peter|##has|##a|##car|##but|##he|##wants|##to|##have|##a|##bike|.|##The|##bike|<|endoftext|>,-11.788133|-8.307171|-8.850384|-9.030485|-9.254052|-9.712521|-13.949741|-8.583488|-10.94934|-8.9652195|-7.4688478|-10.878291|-11.504435|-6.896566|-12.722151,-6.896566,13
2_car_affirmative_modal,Peter has a bike but he wants to have a car. The bike,affirmative_modal,1,2,Peter|##has|##a|##bike|##but|##he|##wants|##to|##have|##a|##car|.|##The|##bike|<|endoftext|>,-11.788133|-8.307171|-8.850384|-6.7557034|-9.175425|-9.736136|-14.258269|-8.490845|-11.003257|-8.747978|-9.15527|-11.00873|-11.525239|-6.324339|-12.744202,-6.324339,13
2_car_affirmative_modal,Peter has a bike but he wants to have a car. The car,affirmative_modal,0,2,Peter|##has|##a|##bike|##but|##he|##wants|##to|##have|##a|##car|.|##The|##car|<|endoftext|>,-11.788133|-8.307171|-8.850384|-6.7557034|-9.175425|-9.736136|-14.258269|-8.490845|-11.003257|-8.747978|-9.15527|-11.00873|-11.525239|-7.8583217|-12.740293,-7.8583217,13
2_car_modal_affirmative,Peter wants to have a car but he has a bike. The bike,modal_affirmative,1,1,Peter|##wants|##to|##have|##a|##car|##but|##he|##has|##a|##bike|.|##The|##bike|<|endoftext|>,-11.788133|-11.59649|-8.621793|-10.592078|-8.823378|-8.991233|-9.151242|-10.053757|-9.930976|-9.138224|-8.31149|-10.571128|-11.806733|-7.285972|-12.771366,-7.285972,13
2_car_modal_affirmative,Peter wants to have a car but he has a bike. The car,modal_affirmative,0,1,Peter|##wants|##to|##have|##a|##car|##but|##he|##has|##a|##bike|.|##The|##car|<|endoftext|>,-11.788133|-11.59649|-8.621793|-10.592078|-8.823378|-8.991233|-9.151242|-10.053757|-9.930976|-9.138224|-8.31149|-10.571128|-11.806733|-7.427386|-12.768624,-7.427386,13
2_car_modal_affirmative,Peter wants to have a bike but he has a car. The car,modal_affirmative,1,2,Peter|##wants|##to|##have|##a|##bike|##but|##he|##has|##a|##car|.|##The|##car|<|endoftext|>,-11.788133|-11.59649|-8.621793|-10.592078|-8.823378|-6.962516|-9.020241|-10.150086|-10.011378|-9.20434|-9.331628|-10.595441|-11.790605|-7.6567945|-12.776623,-7.6567945,13
2_car_modal_affirmative,Peter wants to have a bike but he has a car. The bike,modal_affirmative,0,2,Peter|##wants|##to|##have|##a|##bike|##but|##he|##has|##a|##car|.|##The|##bike|<|endoftext|>,-11.788133|-11.59649|-8.621793|-10.592078|-8.823378|-6.962516|-9.020241|-10.150086|-10.011378|-9.20434|-9.331628|-10.595441|-11.790605|-6.3197837|-12.785705,-6.3197837,13
2_car_managed_failed,Lucy managed to rent a car but she failed to rent a bike. The car,managed_failed,1,1,Lu|cy|##managed|##to|##rent|##a|##car|##but|##she|##failed|##to|##rent|##a|##bike|.|##The|##car|<|endoftext|>,-5.9156957|-9.34209|-12.265764|-8.648788|-10.361259|-8.612699|-9.059096|-9.738955|-9.623678|-12.894397|-9.675075|-10.548181|-9.39782|-8.563997|-10.50502|-11.1453905|-8.25857|-12.654298,-8.25857,16
2_car_managed_failed,Lucy managed to rent a car but she failed to rent a bike. The bike,managed_failed,0,1,Lu|cy|##managed|##to|##rent|##a|##car|##but|##she|##failed|##to|##rent|##a|##bike|.|##The|##bike|<|endoftext|>,-5.9156957|-9.34209|-12.265764|-8.648788|-10.361259|-8.612699|-9.059096|-9.738955|-9.623678|-12.894397|-9.675075|-10.548181|-9.39782|-8.563997|-10.50502|-11.1453905|-7.679606|-12.65527,-7.679606,16
2_car_managed_failed,Lucy managed to rent a bike but she failed to rent a car. The bike,managed_failed,1,2,Lu|cy|##managed|##to|##rent|##a|##bike|##but|##she|##failed|##to|##rent|##a|##car|.|##The|##bike|<|endoftext|>,-5.9156957|-9.34209|-12.265764|-8.648788|-10.361259|-8.612699|-8.23357|-9.594662|-9.628529|-12.848829|-9.469183|-11.488234|-8.836153|-9.973613|-10.41231|-11.080293|-7.094012|-12.681223,-7.094012,16
2_car_managed_failed,Lucy managed to rent a bike but she failed to rent a car. The car,managed_failed,0,2,Lu|cy|##managed|##to|##rent|##a|##bike|##but|##she|##failed|##to|##rent|##a|##car|.|##The|##car|<|endoftext|>,-5.9156957|-9.34209|-12.265764|-8.648788|-10.361259|-8.612699|-8.23357|-9.594662|-9.628529|-12.848829|-9.469183|-11.488234|-8.836153|-9.973613|-10.41231|-11.080293|-9.055012|-12.67928,-9.055012,16
2_car_failed_managed,Lucy failed to rent a car but she managed to rent a bike. The bike,failed_managed,1,1,Lu|cy|##failed|##to|##rent|##a|##car|##but|##she|##managed|##to|##rent|##a|##bike|.|##The|##bike|<|endoftext|>,-5.9156957|-9.34209|-10.238707|-9.264381|-10.018408|-9.287601|-9.475362|-9.757464|-9.346523|-12.519919|-8.65159|-10.207251|-8.648722|-8.734172|-10.422631|-11.274785|-7.186682|-12.689824,-7.186682,16
2_car_failed_managed,Lucy failed to rent a car but she managed to rent a bike. The car,failed_managed,0,1,Lu|cy|##failed|##to|##rent|##a|##car|##but|##she|##managed|##to|##rent|##a|##bike|.|##The|##car|<|endoftext|>,-5.9156957|-9.34209|-10.238707|-9.264381|-10.018408|-9.287601|-9.475362|-9.757464|-9.346523|-12.519919|-8.65159|-10.207251|-8.648722|-8.734172|-10.422631|-11.274785|-8.750518|-12.687089,-8.750518,16
2_car_failed_managed,Lucy failed to rent a bike but she managed to rent a car. The car,failed_managed,1,2,Lu|cy|##failed|##to|##rent|##a|##bike|##but|##she|##managed|##to|##rent|##a|##car|.|##The|##car|<|endoftext|>,-5.9156957|-9.34209|-10.238707|-9.264381|-10.018408|-9.287601|-7.8066735|-9.457358|-9.447119|-12.670608|-8.340812|-10.975346|-8.037659|-8.534389|-10.520635|-11.106634|-8.41327|-12.681812,-8.41327,16
2_car_failed_managed,Lucy failed to rent a bike but she managed to rent a car. The bike,failed_managed,0,2,Lu|cy|##failed|##to|##rent|##a|##bike|##but|##she|##managed|##to|##rent|##a|##car|.|##The|##bike|<|endoftext|>,-5.9156957|-9.34209|-10.238707|-9.264381|-10.018408|-9.287601|-7.8066735|-9.457358|-9.447119|-12.670608|-8.340812|-10.975346|-8.037659|-8.534389|-10.520635|-11.106634|-7.344636|-12.683099,-7.344636,16
