id,sentence,type,pronoun,tokens,log_probs,continuation
5_shirt_failed,Mary failed to find a shirt at the store. It,failed,it,"Mary| failed| to| find| a| shirt| at| the| store|.| It| was| too| expensive|.|
|
|Mary| didn|'t| find",-11.523121|-0.30822527|-4.050956|-1.315845|-9.183521|-4.9443574|-0.78302014|-2.2286415|-1.5837786|-4.6069183|-0.8292015|-1.9733447|-0.72141284|-0.2634147|-0.9277128|-0.000957005|-1.1976137|-2.0446217|-0.62321514|-0.8584621,"Mary failed to find a shirt at the store. It was too expensive.

Mary didn't find"
6_rat_affirmative,Carla got a pet rat and it,affirmative,it,"Car|la| got| a| pet| rat| and| it| was| so| cute|.| I| was| like|,|bytes: \xe2\x80|bytes:\x98",-4.753673|-7.332936|-2.645692|-7.880026|-4.0184665|-2.5972357|-3.6833959|-1.8912619|-2.4359815|-0.7816228|-1.2704428|-1.9999664|-2.6876378|-2.1802475|-0.42723367|-0.9995504|-0.46256065,"Carla got a pet rat and it was so cute. I was like, ‘"
6_rat_negated,Carla didn't get a pet rat and it,negated,it,Car|la| didn|'t| get| a| pet| rat| and| it|'s| not| because| she|'s| a| cat| person|.| She,-4.7537456|-5.8892727|-0.285361|-4.2436404|-2.1731546|-8.735098|-5.2711983|-4.0483885|-4.0518923|-1.4721166|-1.5865107|-1.6409067|-0.44528645|-1.0331873|-1.6191801|-2.1835809|-0.4450761|-0.59828043|-1.4412999,Carla didn't get a pet rat and it's not because she's a cat person. She
6_rat_know,I know that Carla got a pet rat. It,know,it,I| know| that| Car|la| got| a| pet| rat|.| It|'s| a| girl| rat|.| I| don|'t| know| what,-4.2614527|-2.3930783|-9.506623|-2.075819|-5.997555|-2.0180495|-8.699467|-3.75385|-2.3553777|-3.0133836|-1.1784104|-2.1879241|-2.886971|-0.69917095|-1.2129645|-1.7440268|-2.0411723|-0.0027562384|-0.37149185|-1.2297435,I know that Carla got a pet rat. It's a girl rat. I don't know what
6_rat_doubt,I doubt that Carla got a pet rat. It,doubt,it,I| doubt| that| Car|la| got| a| pet| rat|.| It|'s| not| like| she|'s| a| kid|.| She|'s,-8.071987|-1.9223529|-9.48205|-1.9990302|-5.5875134|-2.4839687|-8.282653|-4.845986|-2.1539066|-3.3995936|-1.1971684|-1.9988925|-1.5162674|-1.0288343|-1.3879608|-1.783059|-2.4204276|-1.3480126|-1.5007672|-0.62805533,I doubt that Carla got a pet rat. It's not like she's a kid. She's
6_rat_modal,Carla wants to get a pet rat and it,modal,it,Car|la| wants| to| get| a| pet| rat| and| it|'s| driving| me| crazy|.| I|'m| not| sure| if,-4.754254|-8.334556|-0.48556608|-3.4406736|-2.5837827|-4.8135405|-5.462251|-2.8083012|-4.9836226|-1.3713818|-2.3342896|-1.1663866|-0.81722295|-0.80214477|-1.3117995|-2.0866709|-1.83|-1.4999299|-1.6556858,Carla wants to get a pet rat and it's driving me crazy. I'm not sure if
6_rat_managed,Carla managed to get a pet rat. It,managed,it,"Car|la| managed| to| get| a| pet| rat|.| It| was| a| white| rat|,| and| it| was| named| Snow",-4.7539606|-10.324629|-0.38506833|-2.0831883|-2.2355845|-9.372627|-5.658142|-2.4313087|-2.3879137|-1.0433716|-1.4641635|-3.1493888|-0.5743409|-1.3238429|-1.1334461|-1.250036|-0.8477511|-2.077|-2.3379326,"Carla managed to get a pet rat. It was a white rat, and it was named Snow"
6_rat_failed,Carla failed to get a pet rat. It,failed,it,"Car|la| failed| to| get| a| pet| rat|.| It| was| a| shame|,| because| she| really| wanted| one|.",-4.754254|-11.155668|-0.23713131|-3.3549376|-1.9572585|-9.895447|-7.164448|-2.6736445|-4.3521976|-1.3029835|-1.9301869|-3.1956|-1.3080999|-1.5460248|-0.8845112|-1.6253862|-0.36656082|-0.40419152|-0.3949404,"Carla failed to get a pet rat. It was a shame, because she really wanted one."
7_beer_affirmative,Sam ordered a beer at the bar and it,affirmative,it,Sam| ordered| a| beer| at| the| bar| and| it| was| served| to| him| in| a| frost|ed| glass|.,-9.451277|-1.3145113|-3.2069805|-3.7531276|-0.13326994|-0.24705938|-0.8145089|-7.188279|-0.88659763|-2.0541546|-1.1079249|-0.023621874|-0.7221324|-0.2468761|-1.7832949|-0.2817137|-0.71448857|-0.6824492,Sam ordered a beer at the bar and it was served to him in a frosted glass.
7_beer_negated,Sam didn't order a beer at the bar and it,negated,it,Sam| didn|'t| order| a| beer| at| the| bar| and| it| was| a| good| thing| because| he| didn|'t| have| any,-7.0194597|-0.28063214|-9.268126|-2.349324|-3.2000916|-4.1677527|-0.76124257|-0.45697296|-3.1602263|-4.903889|-1.370197|-2.25868|-1.5693578|-0.083345465|-1.273754|-1.5154995|-1.6213244|-0.0010067648|-0.582845|-1.1617471,Sam didn't order a beer at the bar and it was a good thing because he didn't have any
7_beer_know,I know that Sam ordered a beer at the bar. It,know,it,I| know| that| Sam| ordered| a| beer| at| the| bar|.| It| was| a| Bud| Light|.| I| know| that| because| I,-4.262303|-2.3915043|-8.490983|-9.262706|-1.7988062|-5.480776|-3.5394878|-0.4807144|-0.6466777|-1.770497|-3.7535386|-1.0543344|-1.4671472|-3.1385682|-0.9597713|-0.9592515|-1.4932733|-1.6911974|-0.58871394|-1.6132956|-0.8865648,I know that Sam ordered a beer at the bar. It was a Bud Light. I know that because I
7_beer_doubt,I doubt that Sam ordered a beer at the bar. It,doubt,it,I| doubt| that| Sam| ordered| a| beer| at| the| bar|.| It|'s| more| likely| that| he| was| served| a| beer| by,-8.071886|-1.919403|-8.638399|-9.916132|-2.981824|-5.480597|-3.0924656|-1.226112|-1.212066|-1.3251566|-3.606301|-1.4404603|-1.7762098|-0.13182712|-0.4271034|-0.628056|-2.2081585|-2.4221041|-0.79513305|-2.0293195|-1.4201417,I doubt that Sam ordered a beer at the bar. It's more likely that he was served a beer by
7_beer_modal,Sam wants to order a beer at the bar and it,modal,it,Sam| wants| to| order| a| beer| at| the| bar| and| it|'s| a| good| thing| he|'s| not| driving|.| He,-8.37808|-0.40596014|-8.018745|-1.2419094|-3.7953625|-3.6489532|-0.53858197|-0.3489297|-2.9406774|-5.45815|-1.399389|-2.4930806|-2.6813195|-0.9421884|-1.411988|-1.2603394|-1.8045835|-1.9474084|-1.2679157|-1.4926564,Sam wants to order a beer at the bar and it's a good thing he's not driving. He
7_beer_managed,Sam managed to order a beer at the bar. It,managed,it,"Sam| managed| to| order| a| beer| at| the| bar|.| It| was| a| good| thing| he| was| a| big| guy|,",-9.61142|-0.13968699|-8.378368|-1.5180062|-3.5165088|-2.8631725|-0.3012351|-0.37779942|-2.146042|-2.9531968|-0.78368145|-1.7290771|-2.9169724|-1.2031512|-1.4209548|-1.4565698|-2.5058167|-2.6555111|-0.46666276|-1.0298251,"Sam managed to order a beer at the bar. It was a good thing he was a big guy,"
7_beer_failed,Sam failed to order a beer at the bar. It,failed,it,"Sam| failed| to| order| a| beer| at| the| bar|.| It| was| a| mistake| he| would| not| make| again|.|
",-11.337137|-0.36360887|-8.505166|-1.901235|-6.1533537|-2.8572068|-0.57653385|-0.64732695|-1.2804874|-4.5674767|-0.86450344|-1.7982296|-3.1264205|-1.4032624|-1.5411701|-1.0803943|-0.4799717|-0.28353775|-0.18017808|-1.027334,"Sam failed to order a beer at the bar. It was a mistake he would not make again.
"
8_cake_affirmative,Michael baked a cake and it,affirmative,it,"Michael| baked| a| cake| and| it| was| delicious|.|
|
|I|'m| not| sure| if",-13.237388|-2.126052|-1.4586686|-2.437098|-3.7696729|-0.88840777|-1.4213163|-0.6888477|-0.98263615|-0.0022433698|-2.4411824|-2.6136894|-1.9262617|-1.9120449|-1.7985713,"Michael baked a cake and it was delicious.

I'm not sure if"
8_cake_negated,Michael didn't bake a cake and it,negated,it,"Michael| didn|'t| bake| a| cake| and| it| was| a| bit| of| a| let| down|.|
|
",-6.9622073|-0.29535696|-12.186083|-3.1601067|-0.3988021|-4.1346884|-3.9081986|-1.46682|-2.2001655|-3.1328745|-1.336676|-0.14999914|-2.4284377|-0.55998117|-0.8947693|-1.5519097|-0.0024079639,"Michael didn't bake a cake and it was a bit of a let down.

"
8_cake_know,I know that Michael baked a cake. It,know,it,I| know| that| Michael| baked| a| cake|.| It| was| a| chocolate| cake|.| I| know| that| Michael| baked,-4.262452|-2.389607|-8.557275|-11.956174|-2.1616905|-0.78628486|-2.609902|-3.3776515|-1.3107957|-1.8649188|-1.6040055|-0.15112385|-1.0728012|-1.8240274|-1.66289|-0.42452848|-1.2297556|-1.6399014,I know that Michael baked a cake. It was a chocolate cake. I know that Michael baked
8_cake_doubt,I doubt that Michael baked a cake. It,doubt,it,"I| doubt| that| Michael| baked| a| cake|.| It|'s| more| likely| that| he| bought| one|.|
|
",-8.07201|-1.9216126|-8.699879|-12.211846|-2.798081|-0.52513427|-2.1514254|-3.615741|-1.276904|-1.9605434|-0.15024778|-0.2732347|-0.8992947|-0.96475023|-0.4243306|-1.5627953|-1.1958697|-0.00150109,"I doubt that Michael baked a cake. It's more likely that he bought one.

"
8_cake_modal,Michael wants to bake a cake and it,modal,it,Michael| wants| to| bake| a| cake| and| it|'s| a| big| deal|.| He|'s| been| talking| about,-9.16841|-0.48859495|-9.471925|-1.0793248|-0.44368356|-3.2421155|-4.0266047|-1.5487187|-2.4146044|-2.1431816|-1.1929673|-1.1975329|-1.5616437|-1.2416517|-2.327211|-1.9554317|-0.042275276,Michael wants to bake a cake and it's a big deal. He's been talking about
8_cake_managed,Michael managed to bake a cake. It,managed,it,"Michael| managed| to| bake| a| cake|.| It| was| a| bit| burnt|,| but| it| was| still| edible",-9.137158|-0.20508933|-10.737193|-1.3819687|-0.90608245|-2.7054737|-3.108546|-1.1271118|-1.4072428|-2.4127593|-1.6776922|-1.2509087|-0.1342417|-1.3253274|-0.70426977|-1.2998608|-1.3148211,"Michael managed to bake a cake. It was a bit burnt, but it was still edible"
8_cake_failed,Michael failed to bake a cake. It,failed,it,"Michael| failed| to| bake| a| cake|.| It| was| a| disaster|.|
|
|Michael| failed| to| bake",-10.149539|-0.33998144|-11.983405|-1.5534099|-0.53541034|-2.483337|-4.388465|-1.1461593|-1.5495167|-1.9066918|-0.5146485|-1.1005886|-0.0020104146|-2.2272959|-1.6518098|-0.04945353|-0.2606257,"Michael failed to bake a cake. It was a disaster.

Michael failed to bake"
9_letter_affirmative,Carolyn wrote a letter to her parents and it,affirmative,it,"Car|olyn| wrote| a| letter| to| her| parents| and| it| was| published| in| the| local| newspaper|.|
|
|I",-6.3650203|-8.061207|-2.5174|-2.730937|-0.3893202|-1.8107772|-3.0649533|-2.4110365|-4.984276|-0.75621563|-2.0998259|-0.22097597|-0.41374183|-2.2502894|-0.5566403|-0.5823328|-1.7826587|-0.0071586715|-2.7366557,"Carolyn wrote a letter to her parents and it was published in the local newspaper.

I"
9_letter_negated,Carolyn didn't write a letter to her parents and it,negated,it,Car|olyn| didn|'t| write| a| letter| to| her| parents| and| it| was| a| long| time| before| she| wrote| to| her| sister,-6.365686|-6.819684|-0.31129536|-7.8381624|-2.6966724|-2.9967728|-1.3887919|-1.7618726|-2.3213928|-3.7560937|-4.8805566|-1.2339307|-2.1513708|-1.8941361|-0.14335558|-0.14793648|-0.49486968|-2.2623882|-0.8326893|-1.6199385|-1.424741,Carolyn didn't write a letter to her parents and it was a long time before she wrote to her sister
9_letter_know,I know that Carolyn wrote a letter to her parents. It,know,it,I| know| that| Carolyn| wrote| a| letter| to| her| parents|.| It| was| a| very| long| letter|.| She| wrote| it| in,-4.262452|-2.389607|-11.133659|-6.910283|-1.6416254|-1.8128154|-0.54494065|-2.5278127|-2.7974236|-2.5214589|-3.0734785|-1.1167583|-2.1215003|-1.9799803|-1.5647837|-0.26371256|-1.1022805|-1.5625404|-1.795343|-1.3679069|-1.4705331,I know that Carolyn wrote a letter to her parents. It was a very long letter. She wrote it in
9_letter_doubt,I doubt that Carolyn wrote a letter to her parents. It,doubt,it,I| doubt| that| Carolyn| wrote| a| letter| to| her| parents|.| It|'s| more| likely| that| she| called| them|.| I|'m,-8.072134|-1.9202967|-11.421832|-8.137801|-2.9997978|-2.1269|-1.0130727|-2.269624|-2.8477669|-1.8952667|-3.14708|-1.704697|-1.7757888|-0.14194149|-0.24708037|-0.8221755|-2.407495|-0.3537141|-1.4392961|-2.1974914|-2.210279,I doubt that Carolyn wrote a letter to her parents. It's more likely that she called them. I'm
