id,sentence,type,pronoun,tokens,log_probs,pronoun_log_prob
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John| managed| to| adopt| a| dog|.| It| follows| him| everywhere| he| goes|.,-10.893376|-0.40246937|-10.020765|-0.53583664|-8.607207|-3.0150683|-2.7342658|-8.4515085|-2.0447857|-1.2113837|-2.6708584|-0.024231428|-0.65793216,-8.4515085
1_dog_managed,John managed to adopt a dog. He only needed permission from his landlord.,managed,subj,John| managed| to| adopt| a| dog|.| He| only| needed| permission| from| his| landlord|.,-10.89243|-0.4040793|-10.025998|-0.53484404|-8.739405|-3.012427|-2.006885|-7.3803825|-3.9960158|-6.212735|-0.35024238|-1.2984906|-2.229571|-1.2421218,-7.3803825
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John| failed| to| adopt| a| dog|.| It| follows| him| everywhere| he| goes|.,-11.397698|-0.61530447|-8.952257|-1.5589466|-5.869363|-2.4809606|-4.8543262|-6.582747|-7.1651187|-2.085459|-2.0062325|-0.020565458|-0.47998604,-6.582747
1_dog_failed,John failed to adopt a dog. He doesn't have a big enough apartment.,failed,subj,John| failed| to| adopt| a| dog|.| He| doesn|'t| have| a| big| enough| apartment|.,-11.397368|-0.6166331|-8.957917|-1.5563893|-5.849098|-2.4770424|-2.9696422|-4.526425|-0.314582|-1.7749788|-1.2670827|-5.0963793|-1.5271542|-2.1551504|-0.59676737,-4.526425
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy| has| a| car| and| it| has| a| self|-|driving| mode|.,-1.6443694|-5.2085123|-1.9237721|-7.1928034|-2.5580132|-3.8995998|-3.7734723|-1.2854453|-8.252166|-0.2174035|-1.3171858|-1.2457087|-1.0081623,-3.7734723
2_car_affirmative,Lucy has a car and she loves to go on roadtrips.,affirmative,subj,Lu|cy| has| a| car| and| she| loves| to| go| on| road|tri|ps|.,-1.6437887|-5.2111707|-1.9215121|-7.185139|-2.5554614|-1.9002202|-3.9628382|-0.68113124|-2.8915567|-2.4000883|-1.3110491|-2.5230708|-0.00025849018|-0.6925691,-3.9628382
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy| doesn|'t| have| a| car| and| it| has| a| self|-|driving| mode|.,-1.6447488|-7.299044|-0.40128085|-2.6942658|-1.3786206|-4.051017|-2.8281674|-3.7723448|-5.439362|-3.9934537|-9.3277855|-0.31799364|-1.4853765|-1.2011014|-1.2693555,-5.439362
2_car_negated,Lucy doesn't have a car and she only buys second-hand clothes.,negated,subj,Lu|cy| doesn|'t| have| a| car| and| she| only| buys| second|-|hand| clothes|.,-1.6447488|-7.299044|-0.40128085|-2.6942658|-1.3786206|-4.051017|-2.8281674|-1.9500487|-5.1997457|-6.003279|-4.0556393|-0.74033386|-0.026797969|-0.7065399|-0.89042664,-5.1997457
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,I| know| that| Lucy| has| a| car|.| It| has| a| self|-|driving| mode|.,-4.262303|-2.3906283|-8.977656|-2.560508|-2.061155|-6.543975|-1.7728661|-3.1724312|-4.216518|-1.4022212|-9.122929|-0.09202897|-1.9456165|-2.135554|-1.1641358,-4.216518
2_car_know,I know that Lucy has a car. She loves to go on roadtrips.,know,subj,I| know| that| Lucy| has| a| car|.| She| loves| to| go| on| road|tri|ps|.,-4.2627354|-2.3906894|-8.999995|-2.5606325|-2.0617676|-6.5490117|-1.7731291|-1.9244096|-5.1973276|-1.4685649|-3.3271751|-2.523928|-1.2279251|-3.5802898|-0.00012143587|-0.9988169,-5.1973276
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,I| doubt| that| Lucy| has| a| car|.| It| has| a| self|-|driving| mode|.,-8.072716|-1.9201941|-10.261462|-3.196496|-2.7084243|-5.754576|-1.3831434|-3.4587927|-5.5827255|-3.3911276|-8.491327|-0.11930242|-3.2578008|-1.5887406|-1.7899956,-5.5827255
2_car_doubt,I doubt that Lucy has a car. She also only buys second-hand clothes.,doubt,subj,I| doubt| that| Lucy| has| a| car|.| She| also| only| buys| second|-|hand| clothes|.,-8.071802|-1.9226406|-10.24752|-3.190027|-2.7067251|-5.749441|-1.3813107|-1.7627084|-7.5709343|-6.6269245|-7.1459346|-3.795334|-0.790573|-0.07760223|-1.0511653|-1.1355793,-7.5709343
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,Lu|cy| wants| to| have| a| car| and| it| has| a| self|-|driving| mode|.,-1.6440685|-7.673662|-0.47071156|-4.148833|-1.0007828|-7.353951|-2.9576552|-5.496451|-3.940507|-3.5491693|-8.51523|-0.3703635|-0.6531026|-1.9503205|-1.0106515,-3.940507
2_car_modal,Lucy wants to have a car and she also wants to get a motorcycle.,modal,subj,Lu|cy| wants| to| have| a| car| and| she| also| wants| to| get| a| motorcycle|.,-1.6437902|-7.67419|-0.46887678|-4.1487017|-1.0000387|-7.355049|-2.9525654|-2.2552116|-3.9476976|-0.2653145|-0.33670902|-2.798306|-1.2940395|-5.929803|-1.9199364,-3.9476976
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,Lu|cy| managed| to| rent| a| car|.| It| has| a| self|-|driving| mode|.,-1.6443694|-9.063756|-0.42823538|-10.123808|-0.50157195|-2.3614597|-3.0105772|-2.7217352|-6.607046|-1.2475903|-8.25227|-0.05669073|-1.4273223|-2.495404|-1.1877391,-6.607046
2_car_managed,Lucy managed to rent a car. She found a place that was open late.,managed,subj,Lu|cy| managed| to| rent| a| car|.| She| found| a| place| that| was| open| late|.,-1.6444104|-9.06187|-0.43122837|-10.127188|-0.50085896|-2.3565183|-3.009536|-1.418615|-4.330304|-1.2408277|-2.9524174|-3.3235343|-2.0108223|-2.2855413|-3.2584007|-1.7039578,-4.330304
2_car_failed,Lucy failed to rent a car. It has a self-driving mode.,failed,it,Lu|cy| failed| to| rent| a| car|.| It| has| a| self|-|driving| mode|.,-1.6440682|-10.955421|-0.25688237|-10.814612|-1.607735|-1.8442812|-2.3696673|-4.2841144|-5.2424774|-2.8376753|-6.9500213|-0.13309528|-2.0509017|-2.1098564|-2.1874716,-5.2424774
2_car_failed,Lucy failed to rent a car. She couldn't find a place that was open late.,failed,subj,Lu|cy| failed| to| rent| a| car|.| She| couldn|'t| find| a| place| that| was| open| late|.,-1.6444104|-10.95623|-0.25654957|-10.81222|-1.6022758|-1.848489|-2.37074|-1.873786|-3.6309588|-0.33266854|-2.1823475|-1.1312282|-2.2298045|-1.6104192|-2.119198|-1.168479|-3.6459572|-1.405094,-3.6309588
3_bear_affirmative,Carol saw a bear at the zoo and it was taller than she expected.,affirmative,it,Car|ol| saw| a| bear| at| the| zoo| and| it| was| taller| than| she| expected|.,-4.5737367|-8.110033|-2.500281|-8.365383|-4.0776052|-0.92324924|-2.9543676|-2.6120636|-2.7667277|-0.98374087|-6.190494|-0.06513706|-1.556501|-4.9434376|-0.50389457,-0.98374087
3_bear_affirmative,Carol saw a bear at the zoo and she took amazing pictures of it.,affirmative,subj,Car|ol| saw| a| bear| at| the| zoo| and| she| took| amazing| pictures| of| it|.,-4.5737367|-8.129835|-2.5041075|-8.365346|-4.0711417|-0.9226526|-2.9102046|-2.6142013|-2.2742527|-5.191931|-9.912148|-0.52640307|-0.998006|-0.3043135|-0.51045287,-5.191931
3_bear_negated,Carol didn't see a bear at the zoo and it was taller than she expected.,negated,it,Car|ol| didn|'t| see| a| bear| at| the| zoo| and| it| was| taller| than| she| expected|.,-4.5725837|-6.225158|-0.34072477|-4.1523952|-3.541847|-7.0228987|-3.4289126|-1.9017516|-3.809218|-3.938169|-3.8610442|-1.5257062|-10.536182|-0.1410514|-2.239919|-2.1826756|-0.5751035,-1.5257062
3_bear_negated,Carol didn't see a bear at the zoo and she went home disappointed.,negated,subj,Car|ol| didn|'t| see| a| bear| at| the| zoo| and| she| went| home| disappointed|.,-4.5730276|-6.209187|-0.33820012|-4.149102|-3.5434206|-7.01525|-3.4220383|-1.9075991|-3.8136544|-3.9354584|-1.7428259|-4.723752|-2.2975674|-2.8414543|-0.349106,-4.723752
3_bear_know,I know that Carol saw a bear at the zoo. It was taller than she expected.,know,it,I| know| that| Carol| saw| a| bear| at| the| zoo|.| It| was| taller| than| she| expected|.,-4.262303|-2.3906283|-10.522614|-7.201077|-2.9780464|-6.7243743|-3.5591426|-0.9542017|-4.230998|-1.6930002|-4.1060724|-0.77858734|-6.7966747|-0.042915054|-1.8147378|-5.399541|-0.5191043,-0.77858734
3_bear_know,I know that Carol saw a bear at the zoo. She took amazing pictures of it.,know,subj,I| know| that| Carol| saw| a| bear| at| the| zoo|.| She| took| amazing| pictures| of| it|.,-4.262452|-2.3897927|-10.556178|-7.197235|-2.984135|-6.7303653|-3.557765|-0.9530259|-4.2303824|-1.697262|-3.1306148|-5.1731806|-9.610285|-0.43481183|-0.9008287|-0.27348953|-0.71887636,-5.1731806
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It was taller than she expected.,doubt,it,I| doubt| that| Carol| saw| a| bear| at| the| zoo|.| It| was| taller| than| she| expected|.,-8.072716|-1.9201941|-11.00887|-6.7466288|-3.4757202|-6.68221|-3.0665205|-2.0450506|-4.9339633|-1.132134|-3.4912674|-1.3424839|-10.609052|-0.13796736|-1.9078053|-5.732481|-0.48064435,-1.3424839
3_bear_doubt,I doubt that Carol saw a bear at the zoo. She didn't get to see any other big animals either.,doubt,subj,I| doubt| that| Carol| saw| a| bear| at| the| zoo|.| She| didn|'t| get| to| see| any| other| big| animals| either|.,-8.072716|-1.9201941|-11.00887|-6.7466288|-3.4757202|-6.68221|-3.0665205|-2.0450506|-4.9339614|-1.1321371|-2.9421265|-3.7706044|-0.41514954|-4.6697216|-2.3818204|-1.0881385|-1.9308248|-4.7470546|-6.308725|-0.17883042|-3.2102227|-0.40771878,-3.7706044
3_bear_modal,Carol wants to see a bear at the zoo and it is taller than she expected.,modal,it,Car|ol| wants| to| see| a| bear| at| the| zoo| and| it| is| taller| than| she| expected|.,-4.5730276|-8.497736|-0.49431348|-3.5744572|-3.1367393|-8.216367|-4.5338817|-0.7078278|-0.5456057|-3.342083|-4.3778315|-1.6752536|-12.968426|-0.073226415|-1.6541353|-2.7269719|-0.39532727,-1.6752536
3_bear_modal,Carol wants to see a bear at the zoo and she does not stop talking about it.,modal,subj,Car|ol| wants| to| see| a| bear| at| the| zoo| and| she| does| not| stop| talking| about| it|.,-4.5725837|-8.4969015|-0.49553382|-3.58068|-3.13655|-8.199489|-4.547136|-0.7074141|-0.55126154|-3.33833|-2.731137|-4.3233347|-2.6837082|-5.85204|-1.9227053|-0.11978607|-0.16121855|-0.63939315,-4.3233347
3_bear_managed,Carol managed to see a bear at the zoo. It was taller than she expected.,managed,it,Car|ol| managed| to| see| a| bear| at| the| zoo|.| It| was| taller| than| she| expected|.,-4.5730557|-9.519463|-0.41234782|-5.8904963|-2.6636147|-9.50217|-3.8361292|-1.1523604|-2.2523837|-1.7433202|-3.2384768|-0.39197275|-8.08771|-0.058249023|-0.9708899|-3.3222215|-0.86828196,-0.39197275
3_bear_managed,Carol managed to see a bear at the zoo. She took amazing pictures of it.,managed,subj,Car|ol| managed| to| see| a| bear| at| the| zoo|.| She| took| amazing| pictures| of| it|.,-4.5725837|-9.506661|-0.4126607|-5.89211|-2.6637862|-9.529355|-3.839982|-1.1498936|-2.244973|-1.7420192|-2.5528734|-4.284301|-8.1213455|-0.7788488|-1.1607338|-0.8285344|-0.646466,-4.284301
3_bear_failed,Carol failed to see a bear at the zoo. It was taller than she expected.,failed,it,Car|ol| failed| to| see| a| bear| at| the| zoo|.| It| was| taller| than| she| expected|.,-4.5737367|-11.28164|-0.22705548|-3.2182853|-3.71484|-7.493188|-3.9546096|-1.1669668|-2.500908|-1.2137628|-4.477209|-0.8158008|-9.004487|-0.09910709|-1.7549741|-1.6926361|-0.38566533,-0.8158008
3_bear_failed,Carol failed to see a bear at the zoo. She didn't get to see any other big animals either.,failed,subj,Car|ol| failed| to| see| a| bear| at| the| zoo|.| She| didn|'t| get| to| see| any| other| big| animals| either|.,-4.573072|-11.275909|-0.22812417|-3.226481|-3.7153258|-7.486206|-3.9638066|-1.170348|-2.4887104|-1.2161572|-2.491315|-3.2480464|-0.43157992|-3.632068|-0.49715307|-0.55286795|-2.100151|-5.6426177|-6.440207|-0.22145018|-1.0947382|-0.32028016,-3.2480464
4_book_affirmative,Susan published a book and it is a real page-turner.,affirmative,it,Susan| published| a| book| and| it| is| a| real| page|-|turn|er|.,-9.221773|-1.5179437|-1.4281752|-5.0052085|-3.816746|-1.7337818|-2.2883224|-3.9031267|-1.7116026|-1.1415745|-0.007486562|-0.004380723|-0.6720063,-1.7337818
4_book_affirmative,Susan published a book and she is going on tour later this year.,affirmative,subj,Susan| published| a| book| and| she| is| going| on| tour| later| this| year|.,-9.221795|-1.513046|-1.4314772|-5.013329|-3.7640219|-2.123458|-3.5575423|-1.6729113|-1.3351086|-7.1047845|-0.14370096|-0.7030518|-0.7087373,-2.123458
4_book_negated,Susan didn't publish a book and it is a real page-turner.,negated,it,Susan| didn|'t| publish| a| book| and| it| is| a| real| page|-|turn|er|.,-6.321185|-0.336518|-10.214664|-2.579831|-1.9047859|-4.4162416|-4.3373985|-3.027974|-2.893844|-3.6467736|-6.2024484|-1.1846389|-0.007997962|-0.006759293|-0.70902365,-3.027974
4_book_negated,Susan didn't publish a book and she doesn't intend to do so in the near future.,negated,subj,Susan| didn|'t| publish| a| book| and| she| doesn|'t| intend| to| do| so| in| the| near| future|.,-6.3208404|-0.33623824|-10.227524|-2.575806|-1.9028217|-4.4105115|-1.8099643|-3.0165563|-0.006764574|-5.158237|-0.025953505|-3.0098174|-0.22081962|-2.5285983|-0.059534103|-1.4860665|-0.011242672|-0.39954692,-3.0165563
4_book_know,I know that Susan published a book. It is a real page-turner.,know,it,I| know| that| Susan| published| a| book|.| It| is| a| real| page|-|turn|er|.,-4.2621636|-2.392852|-9.865981|-11.798197|-1.0700653|-1.3252198|-3.1528862|-2.9594154|-2.22954|-2.208|-5.063954|-2.475016|-0.7755863|-0.008190007|-0.0033663746|-0.64220554,-2.22954
4_book_know,I know that Susan published a book. She is going on tour later this year.,know,subj,I| know| that| Susan| published| a| book|.| She| is| going| on| tour| later| this| year|.,-4.262303|-2.3906283|-9.829051|-11.810422|-1.069316|-1.3239169|-3.158524|-2.7462537|-2.649648|-3.8323183|-3.9547021|-1.8961582|-5.504165|-0.19916995|-0.617993|-0.7087501,-2.649648
4_book_doubt,I doubt that Susan published a book. It is a real page-turner.,doubt,it,I| doubt| that| Susan| published| a| book|.| It| is| a| real| page|-|turn|er|.,-8.071802|-1.9226406|-9.434195|-12.688352|-2.623844|-1.7207849|-2.5055134|-3.4419568|-1.6676195|-3.0374045|-4.885007|-3.9778776|-0.48456967|-0.009570972|-0.0013913795|-0.6259329,-1.6676195
4_book_doubt,I doubt that Susan published a book. She also hasn't written any good articles lately.,doubt,subj,I| doubt| that| Susan| published| a| book|.| She| also| hasn|'t| written| any| good| articles| lately|.,-8.071886|-1.9193996|-9.437427|-12.705481|-2.6275625|-1.7310636|-2.505311|-2.1803246|-6.555165|-5.1606545|-0.37151167|-2.740849|-2.1980453|-6.0813227|-2.834755|-3.1276913|-0.5195363,-6.555165
4_book_modal,Susan wants to publish a book and it is a real page-turner.,modal,it,Susan| wants| to| publish| a| book| and| it| is| a| real| page|-|turn|er|.,-7.7599397|-0.3844042|-7.7716|-0.99647826|-1.0036063|-3.2515826|-4.811751|-1.6526399|-2.4550471|-4.487329|-4.0252075|-0.9473809|-0.012143823|-0.007452153|-0.57163054,-1.6526399
4_book_modal,Susan wants to publish a book and she committed to writing at least 2 pages a day.,modal,subj,Susan| wants| to| publish| a| book| and| she| committed| to| writing| at| least| 2| pages| a| day|.,-7.7611866|-0.38697767|-7.753602|-0.99850094|-1.0051724|-3.2430036|-2.590494|-12.055446|-0.34156847|-1.9411211|-3.537614|-0.021716967|-3.0959556|-2.9183586|-0.9867365|-0.1024714|-0.5579004,-12.055446
4_book_managed,Susan managed to write a book. It is a real page-turner.,managed,it,Susan| managed| to| write| a| book|.| It| is| a| real| page|-|turn|er|.,-9.99459|-0.095603295|-6.200098|-1.3641039|-2.8973386|-3.4425738|-2.5856094|-2.3159869|-1.7571869|-4.523743|-1.0591089|-0.65607667|-0.011857943|-0.0023279008|-0.5083791,-2.3159869
4_book_managed,Susan managed to write a book. She is going on tour later this year.,managed,subj,Susan| managed| to| write| a| book|.| She| is| going| on| tour| later| this| year|.,-9.995475|-0.09640998|-6.197834|-1.3634819|-2.9008226|-3.4450464|-2.3327107|-2.9088671|-3.4494157|-4.869086|-3.547756|-5.7281146|-0.22178948|-0.6812916|-0.8018527,-2.9088671
4_book_failed,Susan failed to write a book. It is a real page-turner.,failed,it,Susan| failed| to| write| a| book|.| It| is| a| real| page|-|turn|er|.,-11.023036|-0.21613957|-5.9085755|-1.8362076|-2.7473018|-2.3333817|-4.351515|-2.1277754|-2.3660982|-5.289713|-4.910307|-0.70463234|-0.014654832|-0.0039120163|-0.475443,-2.1277754
4_book_failed,Susan failed to write a book. She also hasn't written any good articles lately.,failed,subj,Susan| failed| to| write| a| book|.| She| also| hasn|'t| written| any| good| articles| lately|.,-11.021873|-0.21699566|-5.9206085|-1.83163|-2.7448025|-2.336752|-2.2411842|-4.3062696|-4.9853697|-0.527373|-1.6846819|-2.166678|-5.9239345|-2.6339183|-2.4328024|-0.39526594,-4.3062696
5_shirt_affirmative,Mary found a shirt at the store and it looks amazing on her.,affirmative,it,Mary| found| a| shirt| at| the| store| and| it| looks| amazing| on| her|.,-7.618597|-2.2553608|-7.88153|-4.8877096|-0.5946271|-4.846481|-1.759874|-3.4710398|-3.9207008|-4.1232104|-1.0158072|-0.306783|-0.57598734,-3.9207008
5_shirt_affirmative,Mary found a shirt at the store and she wore it at the wedding.,affirmative,subj,Mary| found| a| shirt| at| the| store| and| she| wore| it| at| the| wedding|.,-7.618597|-2.2553608|-7.88153|-4.8877096|-0.5946271|-4.846481|-1.759874|-4.122533|-2.9384553|-0.38392717|-4.9969306|-0.9172462|-3.725095|-0.5855897,-2.9384553
5_shirt_negated,Mary didn't find a shirt at the store and it looks amazing on her.,negated,it,Mary| didn|'t| find| a| shirt| at| the| store| and| it| looks| amazing| on| her|.,-7.4545255|-0.4543319|-5.8025126|-2.9605846|-7.8894143|-4.823375|-1.0068188|-2.1807458|-2.8716629|-4.660459|-3.6390061|-8.603533|-0.6863225|-0.5009101|-0.8708738,-3.6390061
5_shirt_negated,Mary didn't find a shirt at the store and she had to wear a t-shirt instead.,negated,subj,Mary| didn|'t| find| a| shirt| at| the| store| and| she| had| to| wear| a| t|-|shirt| instead|.,-7.4552894|-0.45325893|-5.7962675|-2.96163|-7.8756967|-4.8198915|-1.0091888|-2.1765115|-2.8718562|-2.1509414|-3.020107|-0.5173528|-1.4951158|-1.5777766|-3.0236485|-0.11875624|-0.012152754|-2.9053855|-0.37927428,-3.020107
5_shirt_know,I know that Mary found a shirt at the store. It looks amazing on her.,know,it,I| know| that| Mary| found| a| shirt| at| the| store|.| It| looks| amazing| on| her|.,-4.2624497|-2.3896077|-9.144076|-6.7898374|-2.3331265|-8.12663|-3.564637|-1.0276077|-3.0344012|-2.623328|-3.5443437|-4.71424|-6.7637386|-0.5258895|-0.1736451|-0.6784645,-4.71424
5_shirt_know,I know that Mary found a shirt at the store. She wore it at the wedding.,know,subj,I| know| that| Mary| found| a| shirt| at| the| store|.| She| wore| it| at| the| wedding|.,-4.2624264|-2.3895333|-9.147237|-6.7703876|-2.3377671|-8.12886|-3.5716772|-1.0267626|-3.039286|-2.626069|-2.7361221|-3.6278667|-0.07704784|-3.710582|-0.9369457|-4.247535|-0.75924814,-3.6278667
5_shirt_doubt,I doubt that Mary found a shirt at the store. It looks amazing on her.,doubt,it,I| doubt| that| Mary| found| a| shirt| at| the| store|.| It| looks| amazing| on| her|.,-8.071785|-1.9196118|-9.095981|-6.647992|-3.5902512|-9.645931|-4.212423|-1.2416973|-2.7780962|-1.9012012|-3.2414389|-3.4453738|-8.940185|-1.048406|-1.1359541|-0.75986546,-3.4453738
5_shirt_doubt,I doubt that Mary found a shirt at the store. She didn't manage to get any other nice clothes either.,doubt,subj,I| doubt| that| Mary| found| a| shirt| at| the| store|.| She| didn|'t| manage| to| get| any| other| nice| clothes| either|.,-8.072626|-1.9209077|-9.086842|-6.6384296|-3.5929286|-9.653277|-4.2165008|-1.2423986|-2.7825582|-1.9084624|-2.28176|-4.149471|-0.4908805|-8.246029|-0.30276364|-1.4819552|-2.9854317|-3.8390048|-7.304762|-0.70318645|-3.6051736|-0.48174277,-4.149471
5_shirt_modal,Mary wants to find a shirt at the store and it looks amazing on her.,modal,it,Mary| wants| to| find| a| shirt| at| the| store| and| it| looks| amazing| on| her|.,-9.9474945|-0.5222349|-4.67863|-1.3667129|-7.901321|-5.2917|-1.1778669|-1.9078604|-3.5676746|-4.1677437|-4.910089|-6.9227457|-0.71181273|-0.25866264|-0.66684556,-4.910089
5_shirt_modal,Mary wants to find a shirt at the store and she checked that the store is open on Sundays. ,modal,subj,Mary| wants| to| find| a| shirt| at| the| store| and| she| checked| that| the| store| is| open| on| Sundays|.,-9.948085|-0.5247328|-4.6877775|-1.369285|-7.9054503|-5.3049088|-1.177545|-1.9222802|-3.5699017|-2.3108342|-9.45479|-4.3276005|-1.450186|-2.3154173|-1.8657967|-0.700487|-3.0128148|-3.73792|-0.37411034,-9.45479
5_shirt_managed,Mary managed to find a shirt at the store. It looks amazing on her.,managed,it,Mary| managed| to| find| a| shirt| at| the| store|.| It| looks| amazing| on| her|.,-10.076783|-0.2798531|-3.6592736|-1.1057677|-7.063361|-5.060202|-0.72869974|-4.777958|-1.961762|-2.5872555|-6.0031266|-5.978563|-0.6535238|-0.22823498|-0.6968403,-6.0031266
5_shirt_managed,Mary managed to find a shirt at the store. She wore it at the wedding.,managed,subj,Mary| managed| to| find| a| shirt| at| the| store|.| She| wore| it| at| the| wedding|.,-10.076193|-0.28020886|-3.656125|-1.1049906|-7.0620475|-5.0680156|-0.7283698|-4.7603226|-1.964619|-2.625588|-4.468295|-0.5068379|-5.372693|-0.96642864|-4.17317|-0.9064263,-4.468295
5_shirt_failed,Mary failed to find a shirt at the store. It looks amazing on her.,failed,it,Mary| failed| to| find| a| shirt| at| the| store|.| It| looks| amazing| on| her|.,-11.52434|-0.3086113|-4.0497894|-1.3123716|-9.178092|-4.9518404|-0.78063637|-2.2294533|-1.5842555|-4.6111107|-4.673947|-7.04855|-0.79579693|-3.2554898|-0.39815718,-4.673947
5_shirt_failed,Mary failed to find a shirt at the store. She didn't manage to get any other nice clothes either.,failed,subj,Mary| failed| to| find| a| shirt| at| the| store|.| She| didn|'t| manage| to| get| any| other| nice| clothes| either|.,-11.523782|-0.30915362|-4.047627|-1.3143203|-9.17874|-4.9469686|-0.7794363|-2.2330449|-1.5795318|-2.275441|-3.173656|-0.40117142|-5.894765|-0.047872163|-1.789453|-2.949841|-6.223317|-7.3948903|-0.8035645|-1.7974167|-0.22697575,-3.173656
6_rat_affirmative,Carla got a pet rat and it is very noisy at night.,affirmative,it,Car|la| got| a| pet| rat| and| it| is| very| noisy| at| night|.,-4.753594|-7.3339334|-2.6466377|-7.8806286|-4.0171094|-2.604734|-3.6861637|-2.9473546|-3.291568|-6.31341|-3.2205732|-0.112691544|-0.67903304,-2.9473546
6_rat_affirmative,Carla got a pet rat and she constantly posts photos of it.,affirmative,subj,Car|la| got| a| pet| rat| and| she| constantly| posts| photos| of| it|.,-4.7537456|-7.346726|-2.6484592|-7.889499|-4.012185|-2.6019237|-3.6798127|-9.416459|-4.925312|-2.1589196|-0.27649647|-0.47419617|-2.0467267,-9.416459
6_rat_negated,Carla didn't get a pet rat and it is very noisy at night.,negated,it,Car|la| didn|'t| get| a| pet| rat| and| it| is| very| noisy| at| night|.,-4.7537456|-5.8892727|-0.285361|-4.243636|-2.173154|-8.735103|-5.2712|-4.052086|-4.0384955|-3.1128504|-3.721902|-9.172821|-2.83547|-0.6235033|-0.93023473,-3.1128504
